variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-S*dA+P
75.0024*P-314.001*qc^2*x0^2*w^4
points:
2.30022e-21-5.7645e-21*ii, -.218268+.189262*ii, .023082-.629268*ii, .724399+.106346*ii, .338393-.0796176*ii, .0854472-.26443*ii, -4.37878e-20+9.2567e-21*ii, 0, .443809-.0677647*ii, .127928-.726575*ii
-1.3174e-28-5.0161e-29*ii, 1.73543-.025741*ii, .0987233+.0497225*ii, -.87196+1.27905*ii, .537466-.006231*ii, .131126-.972894*ii, 1.7903e-28-1.24764e-28*ii, 3.28641e-10-1.88462e-10*ii, -1.12871+.412372*ii, .262882-1.38016*ii
-3.01941e-47-1.10497e-47*ii, 1.19982-.883481*ii, 1.05039+.198117*ii, -.0291377+.216211*ii, .0879361-.23036*ii, .229495-1.14871*ii, 2.47463e-45+3.35985e-45*ii, 2.44539e-17-1.83035e-17*ii, .85186+1.30669*ii, 1.74674-1.40016*ii
-5.51653e-46-1.07408e-45*ii, 2.56155-1.2162*ii, -1.6053-2.24098*ii, .71151-8.61606*ii, 2.74884-.925424*ii, -7.88997+1.55319*ii, -1.13188e-44+1.986e-47*ii, -1.48637e-16-2.23923e-16*ii, 4.10348+1.42752*ii, .36618+.318845*ii
1.74261e-29-3.57687e-29*ii, 1.17431-1.94161*ii, -.755276-.212892*ii, -1.487+1.22777*ii, -.3876+1.03031*ii, 1.46343+3.80364*ii, 1.80014e-29+7.45837e-29*ii, 2.32898e-10-1.5274e-10*ii, -.411527+.0956622*ii, .769576+2.58048*ii
-1.34037e-36+4.17493e-37*ii, .239911-.22466*ii, .516893+.461718*ii, .187179-.45141*ii, -.62511-.545592*ii, -.190215-.100673*ii, -6.2429e-38+6.83201e-37*ii, -1.73889e-13-3.68681e-13*ii, .850488+1.66816*ii, -.973069+.280421*ii
-3.10956e-44-3.28101e-44*ii, 2.52904+5.4938*ii, 4.42842+3.76448*ii, .587973+1.36124*ii, 1.42034+.437152*ii, -3.13104+2.04244*ii, -6.27755e-41+1.56499e-40*ii, -2.78466e-16-3.70016e-17*ii, -3.94265-7.63181*ii, 5.82075+.753315*ii
6.00964e-41-5.01297e-41*ii, .312551-2.21084*ii, -.367777+1.06032*ii, .679193+1.46259*ii, 1.03607+1.25765*ii, -1.29021+.824631*ii, 1.15201e-40+5.32077e-41*ii, -1.48847e-14-1.34943e-15*ii, -.430291-2.52526*ii, -.423143+.602967*ii
-1.39423e-44+5.89705e-45*ii, -.705843+.526661*ii, -6.5025+6.59179*ii, -4.29821-5.8143*ii, 4.23175+19.7244*ii, -8.62378-6.57454*ii, -1.36081e-37+6.44638e-38*ii, -4.1586e-16-4.13392e-16*ii, 12.9419-6.43244*ii, -7.91565+6.59122*ii
-2.89723e-35-1.00501e-35*ii, -1.08592+3.46666*ii, -.696778+2.20211*ii, -3.39989+1.10621*ii, -.550552-1.10422*ii, -2.15217-.699998*ii, 1.0953e-34+9.227e-37*ii, -2.99287e-13+5.55952e-13*ii, .101168+2.45293*ii, 2.63551-2.07377*ii
-1.03668e-29+1.35596e-29*ii, -.721075-2.26917*ii, .255895-.100896*ii, .516869-1.13748*ii, 1.04758+.834407*ii, .940162-.076346*ii, 1.00655e-29+1.88005e-29*ii, 2.0245e-12-1.50729e-10*ii, .694726-.482643*ii, .49506-.389536*ii
4.73966e-48+5.34469e-48*ii, .897218+.502821*ii, .590463+.413379*ii, -.874567-1.11778*ii, -.528405-.017093*ii, .53091+1.89447*ii, 2.30628e-49-4.47462e-48*ii, -7.0816e-18-9.58645e-17*ii, 1.54739+.254548*ii, .0120193+.212406*ii
5.80966e-37+5.76763e-38*ii, 1.30538-1.76015*ii, -.134424-7.86616*ii, 2.34894-9.51033*ii, -5.79306+.493337*ii, 1.7854-1.86833*ii, 1.91317e-36-5.38971e-36*ii, -2.72796e-14+5.90351e-14*ii, -5.57814+.48733*ii, 6.03209-3.43383*ii
-5.55889e-45-2.34726e-44*ii, -.63706+1.37782*ii, -.0562118-.16869*ii, 2.42798+1.07407*ii, .247056+1.27615*ii, .151251-.124486*ii, 1.17144e-44-6.29616e-44*ii, -6.98476e-16+4.69413e-16*ii, .338878-.598311*ii, -1.52391-.09252*ii
-5.31247e-43+6.82306e-43*ii, .21723+1.92748*ii, -1.6703+1.10329*ii, .731162-.537096*ii, 1.41321-.938669*ii, .342532-.417847*ii, -2.1964e-44+7.84207e-43*ii, -5.79731e-16+9.74292e-16*ii, .769974-.704644*ii, 2.20483-.329479*ii
-1.14471e-44-1.62983e-44*ii, -.464431-.638785*ii, -.124911-.912051*ii, .597959+.406399*ii, -.727684+.635384*ii, .127272-2.12285*ii, -6.3806e-44+1.3514e-42*ii, 1.30129e-15-2.3903e-15*ii, .472489-.806388*ii, -2.49311+.929268*ii
2.387e-37+1.02651e-37*ii, -1.37098-1.51031*ii, 1.68084-.446929*ii, -2.46656+2.84701*ii, -2.45906+3.52288*ii, .0077905+.483078*ii, -8.81016e-37+4.26387e-37*ii, 1.25982e-13+8.20085e-14*ii, -1.68657-2.46103*ii, -.335923+4.28874*ii
4.96757e-47+3.21084e-46*ii, -3.31428+1.26598*ii, .766901+1.86458*ii, .999747+.034877*ii, .3123+.128098*ii, .386607-2.00178*ii, 4.31002e-44-6.37106e-44*ii, -1.09491e-17+1.3816e-17*ii, 1.38332+.628511*ii, 4.06887+1.22155*ii
3.36751e-48+4.49402e-48*ii, .192181-3.54188*ii, -.305108+.306204*ii, .099325-.771326*ii, -2.64646+1.08666*ii, -.729169+1.67616*ii, 1.35505e-45+2.66346e-45*ii, 7.61328e-18+6.25833e-18*ii, -1.3975-1.07207*ii, -1.67504+1.35702*ii
-1.09639e-42-2.92961e-42*ii, -1.79257-1.84697*ii, .55901+1.88868*ii, -.358926-.145364*ii, -.911534-.630699*ii, .996837+.439239*ii, -7.6932e-44+1.38787e-42*ii, -2.29649e-15+1.20063e-15*ii, .930158+.124841*ii, .674117-1.32748*ii
