variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
-9.37131e-24-2.27757e-24*ii, .60054-1.64984*ii, 1.31261+.416895*ii, -8.32201e-28-1.8634e-29*ii, .077377+.935035*ii, -.882737-.120713*ii, 2.99401e-23+2.20645e-23*ii, .030052-.561086*ii, -.15831+1.10536*ii
-2.32097e-77-8.63617e-78*ii, -1.4479-1.12638*ii, .722967+2.20052*ii, -1.04029e-31+5.38916e-31*ii, -.488597+.662846*ii, 1.01244+3.06049*ii, 3.34652e-77-1.07952e-77*ii, -.509251+2.48717*ii, -.358463-1.66511*ii
4.77334e-152-1.90934e-152*ii, .101636-.151746*ii, -.381656-.576518*ii, 5.62873e-32-9.71057e-32*ii, 1.15523-.23788*ii, -.281739-.368658*ii, 9.54668e-153-4.77334e-152*ii, 1.06032+.527818*ii, -.78596-.682392*ii
-2.87814e-60-1.2446e-60*ii, 1.93826+1.62146*ii, -2.50257+2.74174*ii, 0, -1.88737-.653481*ii, -.70872-.87308*ii, 4.20054e-60+7.7788e-62*ii, -.213133+1.25053*ii, -1.14486+1.8191*ii
-3.63335e-179+3.96865e-180*ii, -.288582-1.04843*ii, -.70838+1.30874*ii, 1.86226e-31-1.68888e-31*ii, 1.72863-.681443*ii, .994126+.386705*ii, -4.53065e-179-2.79551e-179*ii, 1.32849-.125391*ii, 2.40973+2.12931*ii
0, -.021459-1.01323*ii, .26125-.0082274*ii, 0, -.537866+.553*ii, -.931498-1.16237*ii, 2.53794e-114+5.07588e-115*ii, -.471697+.757391*ii, .048167+.957686*ii
0, -2.49369-2.22183*ii, -1.19013+.778851*ii, 0, 1.41164+1.11731*ii, -.295472+3.40814*ii, 2.7905e-104-1.81382e-103*ii, -4.4467+1.18036*ii, 2.37632-2.56089*ii
-8.57153e-172+8.97585e-172*ii, 17.2192-23.023*ii, 10.6083-2.27474*ii, 0, 15.0177+1.2792*ii, 19.5979+5.67525*ii, -2.57752e-173+2.0974e-173*ii, 14.2421-.13102*ii, -4.1385+27.3154*ii
2.53336e-110, -1.6096+.524576*ii, -3.50395-1.19535*ii, 0, 1.14747-.801665*ii, 1.46836+2.23013*ii, 1.01127e-108-4.25796e-109*ii, .61847+.327243*ii, -1.91125+.802268*ii
7.55665e-78+1.61928e-78*ii, -1.47055-.353004*ii, .694317-1.3051*ii, 0, 2.61487-.161045*ii, -2.74596+.564397*ii, -1.94314e-77-2.37495e-77*ii, -.259425+.604131*ii, -1.66527-1.2264*ii
-3.68984e-195, -.499904+.455772*ii, -1.59092+.752104*ii, 0, -.330049-.513079*ii, -.151757-.402736*ii, -1.54112e-194-1.36988e-194*ii, .23841+1.31976*ii, -1.62209-3.2496*ii
1.12989e-195*ii, 1.25859+1.55378*ii, .964807-.821858*ii, 1.78176e-31+2.02031e-31*ii, -.08658-.613242*ii, -.955561+1.44733*ii, -1.12373e-195-8.56176e-196*ii, 1.32068-1.85689*ii, -1.64979-.323949*ii
7.31595e-199-5.22568e-199*ii, -3.22059-2.01608*ii, .192796-1.88717*ii, 0, 2.41816-.705008*ii, -1.02207+1.52581*ii, -4.18054e-199-2.50833e-198*ii, .342187-.319753*ii, 2.93619+5.37474*ii
-4.0482e-78+3.23856e-78*ii, .300546-.0216628*ii, -.398996-.689704*ii, 0, -.824366+.117278*ii, .583877+1.61319*ii, -5.39761e-79-2.6988e-78*ii, .404555-1.06267*ii, .135741+.0881049*ii
-2.01015e-84, 4.91468-4.02683*ii, -6.0548+1.38237*ii, 0, -1.10893-.836211*ii, 1.99065-.910835*ii, 2.3164e-84+3.60329e-84*ii, 1.43043+1.24008*ii, -1.34792-3.66763*ii
4.71637e-92+3.35316e-92*ii, .872745+2.16093*ii, 1.60667+.224661*ii, 0, .829824-2.05654*ii, -1.15114+.190219*ii, 9.20455e-92-1.53409e-92*ii, .492678+1.5616*ii, .090473+3.33124*ii
9.08564e-33-4.80676e-32*ii, -.872264+2.0944*ii, 1.36574+.953475*ii, 0, .229466-1.82152*ii, -.359447+.405223*ii, 8.42828e-32-8.87276e-32*ii, .8577-.252636*ii, 1.06708+1.72609*ii
0, .688403+.032056*ii, -.692865+.687611*ii, 0, -.146404+.568289*ii, 1.51586+.598684*ii, 0, -.0251794-.266762*ii, 1.51636-2.15803*ii
6.53531e-192-6.73747e-193*ii, 1.72086+.497178*ii, .480749-.873019*ii, 0, -.62506+1.26875*ii, -1.74958-.022397*ii, -3.50689e-192-7.01379e-192*ii, -.732735+.250689*ii, -.260108+.204674*ii
-1.18973e-78, .426158-.941509*ii, .328388+.0361051*ii, 0, -1.28887+1.66499*ii, -.177939+.879779*ii, 1.07952e-78+1.07952e-78*ii, -.676633+.160843*ii, .364589+1.29262*ii
4.8617e-63-9.2069e-62*ii, .730254-2.43476*ii, 2.31679-.81427*ii, 1.05125e-31+5.5526e-31*ii, .980689+.857043*ii, .582539+1.37932*ii, -9.96655e-62-1.94469e-62*ii, -.849679-.222864*ii, .515919-1.23113*ii
-6.63258e-75-1.60287e-74*ii, .314171+.453268*ii, .300528-3.61588*ii, 1.94235e-31-1.73416e-31*ii, -2.56184+1.7502*ii, 2.48512-2.18074*ii, 8.84344e-75-1.92068e-74*ii, -1.11758+.512309*ii, 3.09686-4.14159*ii
3.14648e-121-1.9363e-121*ii, .257197+1.1457*ii, .216704+1.47147*ii, 0, 1.05515+.596039*ii, -1.09572-.344184*ii, -1.02866e-121+6.0509e-123*ii, .563142+3.78622*ii, -2.36291+2.92179*ii
0, .254425+2.83256*ii, -.697112+1.48611*ii, 0, .098003+.559453*ii, .213836+4.52236*ii, -6.0974e-106-1.74406e-105*ii, -.441114+1.75994*ii, -.001477-1.75685*ii
2.75938e-33+6.4766e-33*ii, -.156192-.0093767*ii, 1.5146-.148888*ii, 0, .180126-.120382*ii, .923435+.317895*ii, 5.68765e-33-2.88613e-32*ii, -.203572-.661209*ii, -.310778-1.01032*ii
