variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj

component_1:
equations:
-sintheta*g+ad
T*omega-2*Pi
omega^2*d-ad
-4.04*d*L*j^2*Pi^2+1.01*d*g*Tj^2
points:
1.32276e-26-2.96927e-27*ii, -1.60776-1.86612*ii, -1.94271-2.10388*ii, 2.69382+1.54408*ii, 3.43198-1.43879*ii, -7.42811e-28-2.00371e-27*ii, 4.78996e-27+5.96379e-28*ii, -1.70477+.789069*ii, 4.27868-2.23628*ii, -.401341+3.50394*ii, -.5228+4.23707*ii
-5.3226e-26-4.2914e-26*ii, -.142497-.671661*ii, -.192182-1.03334*ii, 1.50577+.758554*ii, .41552+.36639*ii, 1.77336e-26+1.94502e-26*ii, -4.49572e-26+5.09162e-26*ii, -.370812+.158492*ii, 1.22375-.489638*ii, -.333334+.138164*ii, -.349789+1.13392*ii
-4.16249e-258-8.32489e-258*ii, 3.56491+1.81532*ii, 2.10469+3.40934*ii, 7.01367+.607718*ii, 3.27029+5.43075*ii, 2.59821e-298-1.79933e-298*ii, -2.60156e-257-9.36561e-258*ii, -1.25121-1.47766*ii, -.752771-2.7118*ii, .656991+7.98735*ii, -6.10137+.711625*ii
-1.16569e-31+5.06711e-32*ii, 2.70924+.261084*ii, .660611+.221086*ii, .405444-1.55937*ii, 1.03404+.187177*ii, -1.65814e-74+2.33522e-74*ii, -1.00566e-31+6.72069e-32*ii, -.557964-.920499*ii, 1.50413+.798214*ii, .866016+.385725*ii, 1.51038+.607114*ii
-3.24747e-30-1.45484e-30*ii, -3.24545+1.97918*ii, -1.34956-.930587*ii, -9.51082+3.31507*ii, -.25797-2.97968*ii, 1.8259e-142+2.16866e-142*ii, 5.78275e-31-1.03981e-30*ii, 2.363-9.30119*ii, -.107283-2.89859*ii, 3.11087+.174568*ii, 3.41672-13.2755*ii
-1.1e-100-1.17042e-95*ii, -1.58133+12.5332*ii, -1.48761+1.40906*ii, 3.1169+1.44649*ii, -4.8357-8.63488*ii, 8.33126e-186+4.36673e-185*ii, 4.86894e-95-7.49068e-95*ii, -3.79052-15.4089*ii, -17.1039-13.8163*ii, -7.6538-10.4363*ii, 8.13226-.65614*ii
6.37237e-58*ii, -.995786+1.08055*ii, -1.19703+.694806*ii, 1.73434-1.50248*ii, 2.3459-.882737*ii, -1.32172e-175+4.32783e-176*ii, 1.02993e-55+1.53255e-55*ii, .474615+.0081351*ii, -3.00548+1.5034*ii, .220607-.992666*ii, -1.98009-.537899*ii
-1.13106e-87+1.25673e-88*ii, -5.43215-1.61401*ii, -4.66527+4.05775*ii, -4.42723+5.71226*ii, 4.75429-1.5711*ii, -7.6994e-176-6.61359e-176*ii, 3.77018e-88+7.14764e-88*ii, -1.05032+2.7476*ii, 7.88387+.301695*ii, 15.9459-7.25625*ii, -2.29587-.56574*ii
-2.68978e-43-2.559e-46*ii, -10.2988-12.3523*ii, .682535+.008199*ii, -12.6357-8.24849*ii, -2.06759-3.45919*ii, -1.69903e-52+1.77815e-53*ii, 2.69049e-42-2.25105e-41*ii, -1.77217-9.96885*ii, -10.7686+8.77145*ii, -3.464-4.25767*ii, .197239-6.62498*ii
8.89103e-162-4.16767e-162*ii, -1.13937-2.30211*ii, -1.65948+1.63194*ii, -.191633-.48818*ii, -1.92655+.585139*ii, 7.64073e-163+1.31976e-162*ii, -5.41797e-162+2.77845e-163*ii, 1.86436-.118499*ii, .521449-1.2104*ii, 2.82384+.980463*ii, .133453-2.89481*ii
-1.83943e-72-4.24485e-73*ii, -1.36258+.494039*ii, .981675-.123171*ii, .195821-1.51344*ii, .821091+.960026*ii, -1.02584e-72-1.30883e-72*ii, -1.44203e-72+8.84344e-73*ii, .483988+.185607*ii, 1.06489-.992997*ii, -.638382+.326408*ii, .992365-.255437*ii
-2.27894e-64+4.17805e-64*ii, 2.16069-1.56964*ii, .951219+.893838*ii, 2.21855+5.32425*ii, 1.94931+1.73366*ii, -2.26493e-83+2.67673e-83*ii, 1.14896e-63+1.0635e-63*ii, .523442-.668031*ii, -1.02499-.705421*ii, 1.72914+.219118*ii, -1.50788+1.36573*ii
5.99928e-31-2.48326e-31*ii, .822896-.78575*ii, -3.15755-.850157*ii, 1.62461+.518526*ii, 2.41919+.107562*ii, -3.39306e-109-1.62168e-110*ii, 2.42943e-31-1.1345e-31*ii, .192157-1.9792*ii, 2.49523-1.91895*ii, -1.63317+.890726*ii, -2.10863+.178445*ii
1.2446e-60+6.22302e-61*ii, 1.9461+.253139*ii, .187083-1.03091*ii, -1.68096+1.14345*ii, -2.3039+.083757*ii, 4.08437e-88+1.88509e-88*ii, -6.22302e-61-1.55575e-60*ii, -.32613-.167068*ii, -2.25122-.027649*ii, .312523-.979446*ii, -.0504002-.484014*ii
4.8577e-100+3.66113e-101*ii, -1.0013+3.32244*ii, 2.39521-.630569*ii, 1.36925+.210443*ii, -3.82907+2.0969*ii, -9.20237e-225-1.36136e-225*ii, -4.57195e-100-1.37158e-99*ii, -1.48627+.583735*ii, -1.2504-.329022*ii, -.151648+4.29468*ii, 2.04354-1.00887*ii
0, -1.27914+3.06634*ii, 2.80842+5.12496*ii, 1.01416-17.4911*ii, 21.366+6.73767*ii, -2.94683e-230, 5.66922e-98, -17.9341+11.8316*ii, -25.3325-7.49308*ii, -9.65363+1.02801*ii, -9.99588+21.8838*ii
-5.73146e-31+1.94214e-31*ii, .562219-5.2013*ii, 5.1816+2.33813*ii, 4.39402-5.15023*ii, 4.66249-.28444*ii, -5.66117e-234-1.22265e-233*ii, -1.25003e-31+3.40287e-32*ii, 2.79291+1.94308*ii, -.799022+4.04799*ii, 7.53727-12.8183*ii, 2.59933+8.80873*ii
5.40015e-32+9.87822e-32*ii, -.35999-1.70606*ii, 1.15112-.342429*ii, 2.6102-.186194*ii, .369359-.597688*ii, -6.34782e-51-1.33638e-50*ii, -7.91947e-32+1.39291e-31*ii, .539225-.560001*ii, -.057563+.845405*ii, -.499298-.920306*ii, -.111178-.638559*ii
