variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
75.89*P-319.1*qc^2*x0^2*w^4
points:
.106408+.923707*ii, .584906+.348763*ii, -.019121-.753281*ii, -2.69012e-23+1.53365e-24*ii, .447893-.0057059*ii, -2.35011e-16-2.10076e-16*ii, 2.41187e-17+1.61765e-17*ii, 1.05586e-16-3.13835e-16*ii, -.030241-1.00654*ii, 1.18263+.531803*ii
-.816715+1.00512*ii, 1.59475+1.78736*ii, 2.41144-.905416*ii, -7.38387e-29+1.52393e-28*ii, -2.05736-2.15413*ii, 1.60336e-10-1.86594e-10*ii, -9.28676e-29-1.98678e-28*ii, 5.5852e-12+6.17169e-11*ii, -1.02292+.305992*ii, -.317101+1.59786*ii
-3.98225+7.97301*ii, 16.5105+.67305*ii, -3.28977+2.52395*ii, -2.50453e-32+7.05906e-32*ii, 3.27436-7.41882*ii, 6.45635e-13+5.98135e-12*ii, -4.63082e-31-4.80796e-31*ii, -6.24401e-14-8.07563e-14*ii, 6.15747+6.1955*ii, -4.5133-6.52897*ii
1.44594-.527849*ii, -.575202-2.41936*ii, 1.26615-1.36572*ii, 1.97978e-28+8.74743e-29*ii, 2.52981+1.14983*ii, -7.18302e-11+7.8244e-12*ii, 3.32438e-28+2.19801e-29*ii, 3.19632e-11-2.38825e-10*ii, 1.17847+3.95669*ii, -.323898-.160971*ii
.051283-.82622*ii, .124957-2.09801*ii, -1.74028+2.60945*ii, -3.68605e-19+2.77878e-20*ii, 2.30759+2.15061*ii, -8.52629e-8+1.10509e-7*ii, 4.0562e-21+3.05973e-19*ii, -5.8061e-9-4.54672e-9*ii, 2.49116+.378934*ii, 3.32424-.370619*ii
-.0387657-.134418*ii, -.902227-.751138*ii, -1.0106+.030657*ii, -1.00925e-18+2.21466e-18*ii, -.583583-.002269*ii, 1.68544e-7-1.83258e-7*ii, 3.36814e-19+4.98113e-20*ii, -1.15652e-7+2.79845e-8*ii, -.896289-1.08659*ii, -.738613-.077333*ii
-1.57807+1.08423*ii, -.0035354+.280153*ii, -1.28785-1.9952*ii, 1.3102e-30-1.43727e-30*ii, -1.40722+.367798*ii, -3.96533e-11+5.523e-11*ii, -5.09259e-31+3.68867e-30*ii, -1.45774e-10-8.18798e-11*ii, 1.11508+1.04852*ii, .0500328-.238895*ii
1.68643-.02038*ii, 1.3678-1.29653*ii, -.473906+1.16806*ii, -4.35439e-26+1.19332e-26*ii, -.375256+.69099*ii, -1.06238e-11-5.75179e-10*ii, -7.31906e-26+2.1012e-26*ii, -3.63685e-10-1.29078e-10*ii, .746597+1.07218*ii, 1.19204+.356634*ii
-.852508-1.19787*ii, 2.26051+1.54599*ii, .271254+2.08357*ii, -2.90541e-41+4.71318e-40*ii, 1.22084+4.59841*ii, -5.48609e-15+6.42442e-15*ii, 5.89348e-40-3.66999e-40*ii, 1.6601e-17-9.97704e-16*ii, -2.52703+1.02011*ii, -2.62367-6.28298*ii
2.2026+.246813*ii, -.388467+1.88049*ii, -.323099+.2528*ii, 6.7384e-38+4.72342e-38*ii, .33512-.742712*ii, -8.72214e-14-1.15569e-13*ii, 1.36762e-37+1.20669e-37*ii, 1.50829e-14-1.95081e-14*ii, -1.23805+1.65495*ii, -.052926+2.21453*ii
2.1506-.880051*ii, -.82879+2.74702*ii, .669042-1.32274*ii, -1.95036e-23+9.48879e-24*ii, -.972761-.542459*ii, -3.657e-9+4.43163e-9*ii, -3.35936e-23+3.75707e-23*ii, -5.58256e-9+2.08494e-10*ii, .456369+.5682*ii, .776185+1.57288*ii
1.65888+1.38914*ii, 1.4471+1.0818*ii, -.229215+.973901*ii, -6.43206e-30+6.52201e-30*ii, .758443+.734318*ii, -3.87678e-12+5.3899e-11*ii, -1.973e-29+1.8842e-30*ii, 2.84353e-10-2.06121e-10*ii, 1.16619+.009499*ii, .191447+.0742258*ii
-1.69758+2.26399*ii, -1.79951+.388665*ii, .736979-.205193*ii, 1.5979e-25-3.6595e-25*ii, .163664-.509277*ii, -3.47851e-9-3.53043e-10*ii, 5.57253e-25+9.82991e-25*ii, -2.26841e-9-9.14245e-10*ii, .465286+.0842873*ii, 2.00052+.960162*ii
.135276-.2912*ii, .090312+.713733*ii, -1.14272+.705507*ii, -1.19329e-39+6.66273e-39*ii, 1.09673-.605022*ii, -1.3413e-14-6.05103e-14*ii, 1.69268e-39+1.23199e-39*ii, -1.7513e-16+5.56829e-15*ii, -1.2501-1.56211*ii, -.792199-3.01879*ii
1.48921+1.44655*ii, .119117-2.1742*ii, .260376+1.47333*ii, 1.46712e-24-4.47568e-24*ii, 1.16473-1.66807*ii, 3.17238e-9+4.06652e-10*ii, 8.65913e-24-4.54297e-24*ii, 1.47319e-10+1.20337e-9*ii, 2.21516-1.05975*ii, -2.45525-1.77569*ii
1.24264+2.17566*ii, .329635+.282044*ii, -.794227-.101527*ii, -4.71496e-26-5.04095e-26*ii, -.804541+1.06025*ii, -6.22643e-10+1.53127e-10*ii, 5.10837e-26-1.65222e-25*ii, -1.52866e-9-4.39072e-10*ii, -.28572-.29401*ii, .912313-.022143*ii
1.19323-2.10982*ii, -2.30343+1.24767*ii, -.672388-2.73962*ii, 9.26301e-34+1.19141e-33*ii, -1.5365+.842127*ii, 2.21303e-12+1.6558e-13*ii, 3.61895e-33-5.32708e-34*ii, -4.10126e-14+9.9308e-14*ii, -1.49169+5.34927*ii, 1.78379+4.65937*ii
-.901846-.28755*ii, 3.96267-1.04636*ii, .317547-1.78193*ii, 7.24642e-33+1.8824e-32*ii, -2.78184+2.6285*ii, -3.94307e-12+1.56832e-12*ii, -1.12231e-33-1.90601e-32*ii, 5.61108e-13-6.60508e-14*ii, 1.46174-2.86445*ii, -1.28788-2.79611*ii
