variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u

component_1:
equations:
dt*F-1
c*dt0-2*L0
-dt*u+dt0*u0
c^2*dt-2*c*L-dt*v^2
1.00016*c^2*F0^2-.999984*c^2*F^2-1.00003*v^2*F0^2
.999922*c^2*m0^2*u0-1.00019*c^2*u0*m^2+1.00029*v^2*u0*m^2
.999933*c^2*L0^2-.999994*c^2*L^2-.999986*v^2*L0^2
points:
-.320198+.873102*ii, .0342309-.25004*ii, 1.81368-1.19201*ii, -1.1215+1.31769*ii, .537445+3.92578*ii, -.374571-.440091*ii, .252091-.0930612*ii, .225925-.572366*ii, -.111934-.54914*ii, -.428643+.338731*ii, -.146157+.196249*ii, -.076059+1.24873*ii
-.433827+.172066*ii, .044919-.58109*ii, -1.59368-.089134*ii, .440834-.267289*ii, .132239+1.71068*ii, -1.65863-1.00566*ii, .446299+.075445*ii, .894001-1.21243*ii, -1.50221+1.09339*ii, .0383319-.0750187*ii, -.496708-.254638*ii, -.165296-.226466*ii
-4.49509+6.76691*ii, 1.05422-1.94289*ii, 3.1736-6.15334*ii, -.533362-.57645*ii, .215755+.397628*ii, .864714-.934469*ii, 1.21825+5.02598*ii, -.035059+2.978*ii, -2.37129+1.28692*ii, 3.88184+.005865*ii, -3.43756+3.18215*ii, 2.16576+.555343*ii
-171.757-102.377*ii, -499.881-127.503*ii, -171.768-102.384*ii, -923.694+443.371*ii, -.00187828+.000479086*ii, -1.21851+4.77721*ii, 349.182-347.886*ii, -4.69576-4.71325*ii, 11.9033+1.16272*ii, -782.541-336.997*ii, -77.958+798.091*ii, -3.22058+7.47851*ii
.834293+2.36314*ii, -5.71422-1.64905*ii, -.834271-2.36307*ii, 11.968-3.45381*ii, -.161548+.0466207*ii, -3.91111+23.0648*ii, -28.8841+5.00017*ii, -.0000231532-.000395793*ii, .0595408+.0452539*ii, -.808555+5.05752*ii, 7.13856-9.39226*ii, 20.1254+.91732*ii
-.183169+.7658*ii, .0172478-.21338*ii, 2.01595-1.23231*ii, -.935912+1.23752*ii, .376355+4.65605*ii, -.38876-.514039*ii, .23243-.101778*ii, .318365-.694385*ii, -.24366-.630108*ii, -.353226+.309957*ii, .078867-.210043*ii, -.172715+1.40421*ii
.000739+.66726*ii, -.344958-.91047*ii, .655428+.128209*ii, .191896-.707254*ii, -.363899+.960461*ii, .357309+1.31692*ii, -.439231+.119695*ii, .628934-.107198*ii, .237386+.0294025*ii, .173791-.292327*ii, -.170593-.0044365*ii, -.282185+.384116*ii
-.91358-2.22488*ii, .885085-.163354*ii, .541421+.987572*ii, 1.23739+.189058*ii, 1.09262+.201657*ii, -.789666+.120649*ii, .494926+.823346*ii, -.416456-.743932*ii, -1.03001-.735171*ii, 1.20836+.89642*ii, -1.18543-.79199*ii, -1.04739-.828374*ii
.337343+1.31484*ii, 7.06979+.406167*ii, .337334+1.3148*ii, 10.4441-.60035*ii, .140982-.0080996*ii, -2.90068+1.19271*ii, -1.27337-1.70578*ii, .00004919+.000250964*ii, -.0373265-.0180226*ii, 6.57326+2.72028*ii, 2.84413-5.88834*ii, -3.14591+.173566*ii
-.760653+.794281*ii, -1.2408+1.98468*ii, .492957-1.20361*ii, .427426+.093119*ii, -.226483-.362264*ii, -2.23355+.486508*ii, .656267-1.07207*ii, 1.19697-.272498*ii, .070028+1.79955*ii, 1.08186-.383198*ii, 1.36865+1.2353*ii, 1.00578+.494781*ii
50.5349+61.9746*ii, 205.626-232.374*ii, -50.5382-61.9786*ii, -12.2634-319.733*ii, .00213572+.00241353*ii, 2.22072+1.96511*ii, -4.7814+118.468*ii, -1.59907-.064540*ii, 2.0031-3.89877*ii, 145.831-199.81*ii, -261.403-134.303*ii, 1.90952+1.39366*ii
69.2277-132.627*ii, -.537564+.779608*ii, -69.2259+132.623*ii, 44.4091+64.4048*ii, -.599449-.869358*ii, 2.74153+3.10366*ii, 300.709-74.37*ii, .00176047+.00333211*ii, .293812-.403748*ii, 16.014-64.865*ii, 63.6891+46.3474*ii, -258.386-136.38*ii
.306613+3.42709*ii, -2.56999+5.54093*ii, -.306605-3.427*ii, -5.10345-11.0031*ii, -.0688881-.148524*ii, 18.4823+5.30825*ii, -6.26248+32.484*ii, -.00052608-.000189091*ii, .0406853-.0697144*ii, 4.72993+4.71053*ii, -10.9971-6.41788*ii, 12.3601-16.9972*ii
-.367759+.123095*ii, -1.08588+1.61264*ii, .006507+.484354*ii, -.231903-.233335*ii, -.287288-.426654*ii, -2.14274+2.15595*ii, .261313-.528316*ii, .55698-.734123*ii, 1.01643+1.77078*ii, .397595-.50435*ii, .851905+.989521*ii, .759175-.657171*ii
-3.82885-2.69926*ii, -.0819473-.0647368*ii, 7.79708-.906976*ii, -1.33061+5.48909*ii, -7.51382+5.93577*ii, -.041708-.172065*ii, -.152378+.385697*ii, -.606549+.355504*ii, -2.27634-5.71029*ii, -.22211+1.33305*ii, 3.1334+1.82354*ii, -1.68988+1.54708*ii
-.0442564+.0946738*ii, -.149446-.288921*ii, -1.17192+.057483*ii, -.223864+.156601*ii, -1.4124+2.73058*ii, -2.99924-2.09807*ii, .165684-.0955482*ii, 1.15167-1.81805*ii, -1.50683+.952061*ii, .0139187+.039495*ii, .157861-.0127302*ii, .345115+.320826*ii
-3.8236+3.61885*ii, 7.60917+5.26562*ii, 3.8235-3.61876*ii, 6.58301-4.55614*ii, .088865-.0614954*ii, 3.13886-.227293*ii, -5.5896+6.11408*ii, -.00128102+.000196363*ii, -.0527755+.00944181*ii, 7.53472+4.22176*ii, -1.48702-8.32606*ii, 2.89656-.487993*ii
-.0226695-.00270931*ii, .951623+1.67508*ii, -.0237256+.0496801*ii, -.0470889+.195898*ii, .2564-.451324*ii, 1.15997+4.82574*ii, -.00661073-.05627*ii, .0238015-.144006*ii, 2.44448-.130911*ii, -.320761-.876696*ii, .897472-.311675*ii, -.168225-2.39912*ii
