variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
2.14472e-30-4.93038e-31*ii, 4.78634+.276499*ii, 3.62708+4.30914*ii, -1.15927+4.03265*ii, -6.12148-7.15427*ii, -4.1946-2.93262*ii, -4.73317e-30-4.53595e-30*ii, .486154+.500885*ii, 5.35032-4.46417*ii
1.43706e-199+1.5677e-199*ii, -.721945-.312341*ii, .233086-.24857*ii, .955032+.063772*ii, 1.36883+.385356*ii, .391095-.710448*ii, -1.04514e-198-2.71735e-198*ii, -.018835+.729366*ii, -.936703-.85414*ii
-3.60661e-32-3.65174e-32*ii, -.632067+2.03945*ii, -.028934+1.70704*ii, .603133-.332408*ii, 1.44283+.621114*ii, -.219038+.0242552*ii, -5.36949e-31+5.3926e-33*ii, -.402568-.170596*ii, -1.60181+.301336*ii
6.94036e-201-3.26605e-201*ii, -2.83823+.460597*ii, -1.74472-.210007*ii, 1.09351-.670604*ii, -.616261-.41458*ii, -.416808+2.28161*ii, -4.08256e-202+2.44954e-201*ii, .304153+.650512*ii, -.732886+1.15588*ii
-2.33363e-59+7.46762e-60*ii, -1.01765-2.37943*ii, .269745-1.881*ii, 1.2874+.498428*ii, 1.85009-2.47779*ii, .43373+.255428*ii, -2.22473e-59+5.60071e-60*ii, 1.20423+.272218*ii, .900973+.107752*ii
1.00736e-31-9.6114e-32*ii, -.860461+.385883*ii, -1.09396+.757228*ii, -.233501+.371345*ii, -.0765162-.087446*ii, -1.10362+.630901*ii, 1.49776e-31+1.10334e-31*ii, .937014-.786703*ii, -.792708+.818923*ii
3.48533e-119+1.611e-118*ii, -.026964-.637869*ii, -.0485956-.247137*ii, -.0216316+.390732*ii, .842266+.047548*ii, 1.54439-.10675*ii, 2.47846e-119-6.19615e-120*ii, -1.39221-2.89709*ii, 1.15491-2.21697*ii
1.18727e-196-5.64374e-197*ii, .38813+1.53525*ii, -.608168+1.0944*ii, -.996298-.440855*ii, -.770553-2.09981*ii, -1.76601+.960583*ii, 5.14207e-197+2.67555e-197*ii, 2.56994+.065884*ii, 1.41325+1.81195*ii
1.61928e-77+4.53399e-77*ii, .122069-.0749694*ii, -.0645+2.08926*ii, -.186569+2.16423*ii, -2.56699+1.51389*ii, 1.62767-.31494*ii, 2.15904e-78-3.23856e-78*ii, -2.61793+.919389*ii, -.227236-.731261*ii
1.36561e-207, -1.06579+.542514*ii, -.602928+.242705*ii, .462859-.299809*ii, -1.1895-.668709*ii, -.441739-.149627*ii, -6.2295e-206+7.4754e-206*ii, -.0225786+.147209*ii, -.170592+.211429*ii
-1.04547e-58-1.2446e-58*ii, -.114875+2.47036*ii, .391994+3.08999*ii, .506869+.619635*ii, 1.37661-.568833*ii, -2.241+1.0462*ii, -1.31461e-59-5.60071e-60*ii, -8.57591-2.56326*ii, 2.01462+2.32987*ii
-1.17055e-197, .3192-1.18001*ii, .287538-.234734*ii, -.031662+.94528*ii, -1.14897-1.44893*ii, 2.8425+1.21126*ii, 2.2993e-198-5.01665e-198*ii, -.963016-1.86479*ii, .880339-.429486*ii
1.04527e-61-1.84746e-61*ii, -.325379-.942678*ii, -.219591-1.29441*ii, .105789-.351734*ii, -.380913+.512994*ii, -.654201+1.12039*ii, -7.7788e-62-1.01124e-60*ii, -.61071-.202407*ii, -.355537-.242037*ii
-1.41495e-71+4.98062e-71*ii, 1.44513+.734185*ii, 1.61146+.030996*ii, .166321-.703189*ii, .64505-1.10991*ii, -.589288+2.14973*ii, 2.49031e-71-4.75423e-71*ii, .681381+2.10843*ii, -1.51319+1.7309*ii
-6.21804e-76+1.07088e-75*ii, -1.35368-.217888*ii, .576081-.430921*ii, 1.92976-.213034*ii, .362042-.115658*ii, 1.23762+1.82569*ii, -2.76357e-75-2.76357e-75*ii, .136237+.206119*ii, -.443054-.202458*ii
-1.2762e-62-3.8009e-64*ii, -1.1632+1.84752*ii, -.503021+.411101*ii, .660182-1.43642*ii, .150236-.232226*ii, .853885+.355961*ii, -1.94469e-62-1.21543e-62*ii, -2.06456+.131054*ii, -.469002+.976356*ii
2.84639e-46+2.66507e-46*ii, -.435685+1.19702*ii, .80356+2.25783*ii, 1.23924+1.0608*ii, -.416341+.184943*ii, -.502552+1.5122*ii, -1.09476e-45-1.75162e-46*ii, .108176+.392546*ii, 2.54823+.715456*ii
-3.95498e-202-3.57224e-202*ii, -.89679-.117019*ii, .409922+1.11174*ii, 1.30671+1.22875*ii, -1.19578+.982812*ii, .976133+.82366*ii, 8.16513e-202-1.93922e-201*ii, -.147846-.213356*ii, 2.19648+.703487*ii
-5.76915e-197-6.68887e-197*ii, -.297895+.743543*ii, .364992+.564806*ii, .662888-.178736*ii, 1.47587+.181942*ii, 1.11232-.571408*ii, 1.204e-196+2.9431e-196*ii, .487063-.460504*ii, -1.92782+1.07071*ii
2.62178e-75, -.378645-.531154*ii, .386522-.513095*ii, .765167+.018059*ii, .571727-1.84729*ii, .822217+2.74686*ii, 6.90893e-76-1.65814e-75*ii, .932013-3.12153*ii, .84585-.709393*ii
3.31069e-103, -.305901-1.33759*ii, -.323118-1.21226*ii, -.0172167+.125326*ii, -.231933-.109557*ii, .830973-.052734*ii, -1.33944e-102+3.9067e-103*ii, -.185257-1.1245*ii, .629068+.724769*ii
2.01224e-201, -.820597+.353469*ii, -.944987+.768942*ii, -.12439+.415474*ii, .000402+.574197*ii, -.215066+.745351*ii, 6.5321e-201*ii, .734758-.084562*ii, .325718-.13163*ii
-5.78095e-87, -1.42657-.750519*ii, -1.38696-.710296*ii, .0396059+.0402225*ii, .847969-.759511*ii, .846298-.333205*ii, 6.53499e-87+3.01615e-87*ii, -1.00954-.851041*ii, .051114+1.59227*ii
1.72723e-77, .79238-.672372*ii, -.259327-.422916*ii, -1.05171+.249456*ii, -1.23131-.224642*ii, 1.53441-1.15931*ii, 5.39761e-79+6.47713e-78*ii, -.660339+2.43748*ii, -.989231-.370211*ii
