variable ordering: Fc, Fg, w, m1, m2, d1, d2, p

component_1:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
Fc-Fg
-1.02*m2*d1^2*d2-2.03*m2*d1*d2^2-1.01*m2*d2^3+1.01*m1*m2*p^2
points:
1.53355e-27-3.07971e-27*ii, 1.53355e-27-3.06078e-27*ii, .577038+1.07757*ii, .099657+1.28934*ii, 5.8849e-28-2.39025e-28*ii, .0037003+.0460927*ii, -.194144-1.31086*ii, .334419-.690923*ii
4.45105e-67-2.96736e-67*ii, 4.45105e-67-2.96736e-67*ii, 1.95666+.044575*ii, .648648+1.23085*ii, 2.00297e-66+5.93473e-67*ii, -.806925+1.2813*ii, 1.34039+2.41571*ii, 1.6165+.454093*ii
-3.90745e-32-1.51943e-31*ii, -3.90745e-32-1.51943e-31*ii, 1.2704-.182202*ii, 1.1445+1.37972*ii, 3.23318e-134*ii, .586795+1.20706*ii, -.94655-.825975*ii, -3.19705-.260146*ii
5.71941e-197+1.95418e-196*ii, 5.71941e-197+1.95418e-196*ii, .339583+.377203*ii, -1.10507+.908403*ii, -3.21066e-196+2.14044e-196*ii, .378239-.812057*ii, .165167-1.03321*ii, 1.19839+.038564*ii
-4.86173e-62, -4.86173e-62, -.586676-.879149*ii, -1.15685-.800675*ii, -9.72346e-62-9.72346e-62*ii, -1.10019+1.44471*ii, .166953+.170787*ii, .0997325-.18361*ii
-1.65926e-31-2.85533e-32*ii, -1.65926e-31-2.85533e-32*ii, -.780182+.230932*ii, -.059384-1.4573*ii, -1.13196e-72+4.52784e-72*ii, -.096002-.573465*ii, .925027+.155791*ii, .862515+1.28114*ii
5.83785e-31-5.38715e-31*ii, 5.83785e-31-5.38715e-31*ii, -1.81545+.242492*ii, -.155793-1.01892*ii, -1.48898e-31-2.2923e-33*ii, .152922-.154806*ii, -.463243-.233645*ii, .475917-.344129*ii
2.26557e-60+1.55575e-61*ii, 2.26557e-60+1.55575e-61*ii, .943639+.830986*ii, -1.89845+1.28677*ii, -2.33363e-60+3.03372e-60*ii, -.148981+.755269*ii, -1.03128+.672019*ii, -1.57986+1.678*ii
-3.67725e-185, -3.67725e-185+8.82539e-185*ii, .244275-.565095*ii, .198783+1.16723*ii, -2.05926e-184-1.32381e-184*ii, 1.15586-1.418*ii, -.378546-.855699*ii, -.497399-.67928*ii
-2.28597e-100-4.57195e-100*ii, -2.28597e-100-4.57195e-100*ii, -.655318-.110285*ii, 1.58901+2.18555*ii, 3.20333e-143*ii, -1.99092+1.77171*ii, 6.26704-3.12042*ii, .383811-3.78144*ii
3.45171e-92+1.53409e-91*ii, 3.45171e-92+1.53409e-91*ii, 1.57123-1.3261*ii, -1.11833-1.82245*ii, 1.74406e-104-5.23218e-105*ii, -.197664+1.91969*ii, 1.17424+.545121*ii, -.056042-1.03265*ii
8.72418e-117*ii, 7.73279e-117+8.72418e-117*ii, -.393515-.0861534*ii, 2.28863+3.17685*ii, 5.71559e-201-1.09209e-200*ii, -3.45394-.34427*ii, 1.66703-5.54429*ii, 2.68943-2.65116*ii
1.5062e-181*ii, -6.96617e-182+1.5062e-181*ii, -1.30951-.022843*ii, -.026679-.962994*ii, -8.40982e-206+1.86885e-205*ii, 1.74614-.030774*ii, -.121141+3.31096*ii, 2.24631-.803715*ii
-3.57592e-31-3.87971e-32*ii, -3.57592e-31-3.87971e-32*ii, -.098816-.921239*ii, .64637+.2296*ii, -1.82315e-63+8.50803e-63*ii, .651839+.206343*ii, -.705873-.832911*ii, 1.89022-.161255*ii
6.77769e-204-3.1895e-204*ii, 6.77769e-204-3.1895e-204*ii, -.918323-1.13405*ii, .406429+.518717*ii, 3.1895e-204+3.39028e-204*ii, 2.04657+.707341*ii, -.061628-1.46425*ii, -.0413673+.435831*ii
5.37835e-67+1.11276e-67*ii, 5.37835e-67+1.11276e-67*ii, -1.64028+.243689*ii, 1.38306-.213243*ii, 5.56381e-68-5.74927e-67*ii, .611908-1.96044*ii, .641609+.801144*ii, .232095-.239056*ii
1.52623e-205+1.46393e-205*ii, 1.52623e-205+1.46393e-205*ii, -.649845+.681985*ii, -2.13439-1.32765*ii, 6.10491e-205+3.28917e-204*ii, -2.01733+3.16041*ii, -.795044+2.56211*ii, 3.82858+.496233*ii
-7.0442e-133-2.46547e-132*ii, -7.0442e-133-2.46547e-132*ii, .820953-.279383*ii, -.769767+.686807*ii, -2.81543e-147-1.87695e-147*ii, -2.10612+.903517*ii, .744346-.102603*ii, -1.38273-.653509*ii
-4.3181e-77+6.21804e-76*ii, -4.3181e-77+6.21804e-76*ii, -1.78646+.334213*ii, -3.31393-1.48532*ii, 2.30881e-90+1.77955e-90*ii, -2.85946+.829693*ii, .767493-1.8936*ii, 1.07725+.705178*ii
-3.53737e-74-2.47616e-73*ii, -3.53737e-74-2.47616e-73*ii, 3.67695-3.60983*ii, 1.30857+2.19044*ii, 2.12242e-73-6.36727e-73*ii, 1.05867+4.171*ii, .289571+.696542*ii, -1.0384+1.70217*ii
0, 1.01665e-203-3.98688e-204*ii, 1.48145-3.20904*ii, -7.63334+5.41978*ii, 1.43528e-203+1.31567e-203*ii, -1.57425-5.92541*ii, -.399385-2.11465*ii, 2.76334+2.27523*ii
-5.457e-35-8.03515e-32*ii, -5.457e-35-8.03515e-32*ii, .852255-.028973*ii, -.78565-.329908*ii, 4.24155e-102+4.46479e-103*ii, 1.34264+.055126*ii, -1.04966-.019793*ii, 1.31301+.747203*ii
-2.75638e-31-2.84985e-32*ii, -2.75638e-31-2.84985e-32*ii, -.268101+1.22188*ii, -.122883+.851668*ii, -1.75119e-33-6.21732e-32*ii, -.0260045+.233226*ii, -.436974+.118977*ii, -.285169-.632049*ii
4.53456e-104-1.25572e-103*ii, 4.53456e-104-1.25572e-103*ii, -.651089+2.09359*ii, 1.21853-5.96633*ii, 7.7056e-195-6.16446e-194*ii, -7.67223+11.2175*ii, 1.26245+2.62863*ii, 1.4699-1.10397*ii
