variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ugi*r+G*M*m
Eki-Ekf+Ugi-Ugf
2.02*G*M*m-.98*m*ve^2*r
points:
-.858789-.504212*ii, .131143-.751668*ii, .671919+.424768*ii, -.318012+.672224*ii, .767888-.417692*ii, -.474217+.834213*ii, -1.22753e-16-4.60271e-17*ii, .963086-.20098*ii, 3.37421e-16+8.63731e-16*ii
-.299281+2.76785*ii, -2.10714+.183832*ii, -.959462-1.25331*ii, .848402+1.33071*ii, -.338671+1.29588*ii, 1.13525+1.09211*ii, 7.49068e-95-1.1236e-95*ii, 2.9718-1.04*ii, -1.65136e-94-2.39702e-94*ii
.954875+1.45524*ii, -.189346-.228359*ii, -1.89543-2.34395*ii, -.751214-.66035*ii, 2.06669-1.02164*ii, .562688-.386768*ii, 4.90965e-191-5.61103e-191*ii, -.956933-.89592*ii, 4.38362e-192+8.76724e-193*ii
.862794-.953492*ii, -.481047+.655287*ii, -1.43823+.955192*ii, -.094387-.653587*ii, .547798-.344228*ii, .214778-2.94009*ii, -4.17667e-153+1.64083e-153*ii, .643468-.487385*ii, -4.475e-154+8.20417e-154*ii
-.595254-.220383*ii, -.0452293-.222376*ii, -.809007+.769796*ii, -1.35903+.771789*ii, 1.17929-1.71592*ii, .203698-.285013*ii, 7.9492e-169+2.11979e-168*ii, .0967046-.436533*ii, -2.91341e-157+1.16537e-156*ii
-.0267384+.136832*ii, -.868922-.827148*ii, -.835041-.071053*ii, .007143+.892927*ii, 1.13659+.34259*ii, .384072-.960813*ii, 3.34444e-198+1.67222e-197*ii, .771805-.712373*ii, -8.36109e-199+8.36109e-199*ii
1.76306+1.25515*ii, -.0108451+.484437*ii, .554415+.470061*ii, 2.32832+1.24078*ii, 2.07827+2.65285*ii, 1.96843+.8753*ii, 7.10693e-198+8.3611e-199*ii, .947953-1.35135*ii, -2.67555e-197+1.67222e-196*ii
.976911-1.82343*ii, .325692-.899073*ii, -1.46284-.741881*ii, -.811624-1.66624*ii, 1.05477+2.1771*ii, -.15086+.430966*ii, 3.06853e-192+2.10414e-191*ii, -2.35183-1.43901*ii, -3.15073e-193-6.57543e-193*ii
-.591159+.485127*ii, .8634+12.5504*ii, 4.17306+7.60674*ii, 2.71851-4.45855*ii, 3.86849+3.11316*ii, -10.4783+.66413*ii, 6.10421e-105+2.70329e-104*ii, 1.97599+4.586*ii, -1.22084e-104+1.74406e-105*ii
.345438+1.58509*ii, -.138128-.871792*ii, .112099-.847661*ii, .595666+1.60922*ii, .170087+.230146*ii, .366798+1.40463*ii, -7.57624e-149+1.46637e-149*ii, .584505+1.52352*ii, 1.52747e-151+8.40107e-151*ii
.150879+.374456*ii, 1.17671-.934227*ii, .340055-.559735*ii, -.685774+.748948*ii, .998157+.372179*ii, .010929-.915225*ii, 5.80889e-121+1.54904e-120*ii, 1.23421-.141045*ii, 1.9363e-120+1.9363e-120*ii
-.730416-.230641*ii, -1.36812-.34221*ii, .305802-.349735*ii, .943503-.238166*ii, .360891+1.14428*ii, -1.31655-.610588*ii, -3.17243e-117-4.75864e-117*ii, -1.52571+.832919*ii, 1.26897e-116-2.53794e-116*ii
-.353254-1.214*ii, -.219226-1.37124*ii, -1.8992+.776627*ii, -2.03323+.933862*ii, -2.2475-.254339*ii, -1.33675+.596655*ii, -2.18008e-106-5.45019e-107*ii, 2.75731-.3478*ii, -6.8127e-108-5.45019e-107*ii
-.629903-2.56891*ii, -.579873+.592605*ii, -.055346+1.84588*ii, -.105376-1.31563*ii, -.878373-1.56418*ii, 1.31476+.753004*ii, 3.96186e-72+4.24485e-73*ii, 1.42926-.272263*ii, -1.13196e-72+1.98093e-72*ii
-.317061+.475642*ii, 1.58797+.353333*ii, .039448-.472691*ii, -1.86558-.350382*ii, .274483+.711266*ii, .072859-.627761*ii, -5.47952e-193*ii, .030834+.802991*ii, 2.73976e-194
.381497-3.00669*ii, -.361522-1.0446*ii, .054705+1.43031*ii, .797723-.53178*ii, .919951-2.20736*ii, .40695-2.18059*ii, -3.78183e-124-6.92992e-124*ii, .627898+.236132*ii, 1.89091e-124-1.35086e-123*ii
-.169741-.102025*ii, .022423-1.5451*ii, -.8829+.119041*ii, -1.07506+1.56212*ii, -1.50093-.928424*ii, .760715+.708829*ii, -1.30159e-138-2.68715e-138*ii, -1.06326-1.21858*ii, -1.34358e-138-6.71788e-139*ii
.142185-.655745*ii, .552148+.867528*ii, .366131+.0281747*ii, -.043831-1.4951*ii, -.182782+.842434*ii, -2.22575+2.47251*ii, 8.29072e-76*ii, 1.20325-.198681*ii, -3.31629e-75-7.73801e-75*ii
-.198436-.334405*ii, -.356576-.0646897*ii, -.308832+.137359*ii, -.150693-.132357*ii, -.42375+2.11035*ii, .0260654+.35345*ii, -1.67122e-63, 1.72242+1.44392*ii, -4.86173e-63-1.39775e-62*ii
-.0241639+.469372*ii, .593238+.633936*ii, .148023+.0126616*ii, -.469378-.151903*ii, -.762084-1.44279*ii, -1.18939-.975628*ii, -9.68148e-122-1.45222e-121*ii, 1.30995+1.22256*ii, 1.43751e-117-1.06574e-117*ii
-3.80568-.681596*ii, -7.16912+1.14307*ii, -.146346+3.50046*ii, 3.21709+1.67579*ii, .154111-3.37962*ii, 6.94163+5.43869*ii, -2.00666e-197-5.85276e-198*ii, -2.26722+4.81685*ii, -4.01332e-197+2.00666e-197*ii
.304356-.0201154*ii, -.236614-.990036*ii, -1.55861+.058519*ii, -1.01764+1.02844*ii, .747397-.251882*ii, -.658348+.353063*ii, 5.83408e-62-6.32025e-62*ii, -.684121+.788623*ii, -4.03562e-63-2.73472e-63*ii
-1.27047-.14865*ii, -.793312-.38609*ii, .936037-.703306*ii, .458877-.465866*ii, -.511279-1.78924*ii, .214802-1.98318*ii, 1.4709e-185+4.4127e-185*ii, .992572-.621834*ii, 4.70687e-184-1.17672e-183*ii
