variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ekf
Ugf
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
.021454-.573644*ii, -4.46692e-32+3.14404e-31*ii, -.021454+.573644*ii, -1.78547e-31+4.16923e-31*ii, .581157+.567252*ii, .264789-1.02926*ii, -1.08468e-30+7.88861e-31*ii, -.059210-.69328*ii, -.015098+1.16823*ii
.415825-.431898*ii, 0, -.415825+.431898*ii, 0, -.679815+.437322*ii, -.425224+.0903747*ii, -9.20455e-92+9.9716e-92*ii, -1.65542+1.7304*ii, 1.41195-1.20596*ii
-.111306-.837387*ii, 4.81289e-32+2.40087e-32*ii, .111306+.837387*ii, 0, 1.23523-.49375*ii, .334813-.243426*ii, 4.10636e-209-2.4334e-209*ii, .020775-2.18436*ii, -.101187-1.10843*ii
1.36325-.052602*ii, 0, -1.36325+.052602*ii, 0, -1.1215-1.40715*ii, -.151583-1.52788*ii, -9.34425e-207-1.55737e-206*ii, 1.86074+1.07937*ii, .430269-.970606*ii
-.408361-.668523*ii, 7.36615e-32+8.02249e-32*ii, .408361+.668523*ii, 0, -.61437+.581219*ii, .664027-.698248*ii, 4.22261e-86+4.02153e-86*ii, 1.82352+.160897*ii, .759752+.72358*ii
.729121-.267281*ii, 0, -.729121+.267281*ii, 0, -.47618+.726067*ii, 1.51521-.981451*ii, 1.4988e-106*ii, .183919+1.03159*ii, -.074289-.746208*ii
.509037-6.06757*ii, -2.80838e-31-4.6888e-33*ii, -.509037+6.06757*ii, 0, -1.29282-3.60277*ii, 1.43949+6.32787*ii, -1.2758e-202-1.86267e-201*ii, -2.45851+7.32022*ii, .668118-2.7079*ii
1.57715-3.46969*ii, 1.8248e-32-5.0846e-31*ii, -1.57715+3.46969*ii, 0, -4.06388-9.07072*ii, 11.1268+8.19739*ii, 5.59681e-208+6.08349e-209*ii, -4.34757+2.1479*ii, 9.04149-12.931*ii
-.647498-.104537*ii, 0, .647498+.104537*ii, 4.68535e-31+6.04801e-32*ii, -1.48504+.274839*ii, -1.20887-.484725*ii, -8.29072e-76-4.28354e-75*ii, -1.77345+2.6794*ii, -.275567+.992208*ii
3.52441-3.68393*ii, 0, -3.52441+3.68393*ii, 0, -.777499-4.12514*ii, -.608595+1.15684*ii, 2.38587e-209-7.60437e-210*ii, 2.5135+3.25097*ii, 5.40806+4.45117*ii
.350555+.20164*ii, 0, -.350555-.20164*ii, -1.55323e-31-7.74696e-32*ii, .740351-1.09689*ii, -1.18579+.319542*ii, 8.17528e-107+2.45258e-106*ii, -.238698+.469017*ii, -.258026-.44909*ii
-.272494-.459965*ii, 0, .272494+.459965*ii, 0, -4.0347-.977037*ii, 2.32175+.876959*ii, 7.98154e-207+3.89344e-207*ii, -1.05477-2.5631*ii, -1.69517+1.21188*ii
-.169764-.0660916*ii, 0, .169764+.0660916*ii, 0, .586119-.046946*ii, .344512+.166117*ii, -2.43087e-62+7.77877e-62*ii, -1.21839+.914669*ii, .041424-1.96949*ii
-.801911+.923204*ii, 0, .801911-.923204*ii, -4.60202e-32+7.83312e-32*ii, .162063+.824826*ii, -.728063+1.25318*ii, 9.73359e-209+2.92008e-208*ii, 2.14662+.535231*ii, 2.03846+1.21771*ii
.712087+.173687*ii, 0, -.712087-.173687*ii, -7.08e-32-1.15721e-31*ii, -.29261-1.48853*ii, .663891-1.06445*ii, -1.19606e-203+1.19606e-204*ii, -.119456+1.97632*ii, .497529+.563114*ii
1.84708-1.58664*ii, 0, -1.84708+1.58664*ii, 0, -.169821-.397329*ii, .200852-.611739*ii, -9.18577e-202-1.32683e-201*ii, -.51741-.916135*ii, .816849+.639906*ii
.342259-.205066*ii, 0, -.342259+.205066*ii, 0, -.009286-.604819*ii, -.819288+.256029*ii, -4.67212e-207+7.78687e-208*ii, -1.54549-.611911*ii, .018569-.925836*ii
.219332-.406581*ii, 0, -.219332+.406581*ii, 0, .714079-.466625*ii, -1.22971-.6645*ii, -7.72458e-205-1.99344e-205*ii, .265092+.400747*ii, -.689659+.943032*ii
-1.1916+.776347*ii, -1.44035e-32+4.20457e-32*ii, 1.1916-.776347*ii, 0, 1.05682-.22619*ii, -.624313+1.21354*ii, -7.60437e-211*ii, .113408-.467574*ii, -.868836+.121649*ii
1.65831+.256253*ii, 0, -1.65831-.256253*ii, 0, 1.02883-.64617*ii, -1.496-2.48154*ii, -4.96413e-207, .050756-.547053*ii, -1.08968+.305907*ii
-.331691-2.67939*ii, 0, .331691+2.67939*ii, 0, -.44453+1.56791*ii, 2.89668+2.10237*ii, -3.6463e-62+4.86173e-62*ii, .232904-2.34792*ii, 2.74491-.794815*ii
-1.29827+.319351*ii, 0, 1.29827-.319351*ii, 0, .475219-.788308*ii, -.289839+1.15805*ii, -4.25845e-209-3.6501e-209*ii, .912894-.101102*ii, 1.6143+.510353*ii
.205833-.204635*ii, 0, -.205833+.204635*ii, 0, -.471923+.236612*ii, -1.18144-2.13273*ii, 9.63197e-196-1.28426e-195*ii, 1.15602-1.59783*ii, .293456-.0196642*ii
-.820646-.047677*ii, -2.61017e-32-3.19271e-31*ii, .820646+.047677*ii, 0, -.667554+1.11766*ii, .563806-.041903*ii, -3.56455e-212-6.535e-212*ii, .571718-.457166*ii, .43689+.417098*ii
.530778+.635609*ii, 0, -.530778-.635609*ii, 7.92769e-32+9.45463e-32*ii, 1.15102+.338428*ii, -.221529-2.34012*ii, 1.39525e-104+7.67387e-104*ii, -.0624845-.194389*ii, -.54598+.957117*ii
1.65178+6.09088*ii, 0, -1.65178-6.09088*ii, 0, -8.6052-.23381*ii, 1.5866-3.22885*ii, 5.1032e-202-5.1032e-203*ii, 3.82346-.124408*ii, 2.73656-2.63365*ii
-2.65788+.722087*ii, -4.80858e-32+3.93238e-31*ii, 2.65788-.722087*ii, 0, 3.64304+2.33724*ii, .119511+2.47974*ii, -6.05092e-123+3.25237e-122*ii, -.588454-.099165*ii, -.476253+2.50173*ii
