variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
-c0-c2*r^2+u
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-.479442-.448217*ii, -.0810668-.0199577*ii, -.393424-.335909*ii, .147421-1.97397*ii, -1.17376-1.30772*ii, -.176939-.323704*ii, -9.58179e-17+2.13886e-16*ii, 1.38439+.69508*ii, -2.7292e-17-2.5067e-17*ii
-.874691+.199579*ii, -.264029-.795271*ii, -1.54534+.361949*ii, -.937252-.819323*ii, -2.418-.531311*ii, .292011-.370664*ii, 2.47865e-17+1.13839e-16*ii, .0427842-.471586*ii, -5.69195e-17+1.23933e-17*ii
-.954275-1.42571*ii, .367877+.81635*ii, -.405362+2.12714*ii, -2.08299-.244138*ii, -2.50029+1.09952*ii, -.210331+2.4418*ii, -1.99138e-16-8.34222e-17*ii, .494963+.347187*ii, 1.67671e-17-8.30088e-17*ii
-1.96614+1.30203*ii, .58401-1.98464*ii, .700399-1.13311*ii, 1.60652+.657007*ii, .443431-.556381*ii, 3.47861-1.73064*ii, -5.8234e-18+2.06269e-16*ii, .155254+.0425416*ii, -5.29081e-16-4.53607e-16*ii
-.925135+.475748*ii, .0576138-.261823*ii, 3.32435+1.1881*ii, 3.34064+2.02422*ii, 2.4618+1.86703*ii, 3.02276-.594163*ii, 0, -.415828+3.26573*ii, -6.09547e-17-7.35507e-17*ii
-.293581+1.10393*ii, -.266248+.255445*ii, .280597+3.19186*ii, 3.34931-2.20824*ii, 5.00041-2.27761*ii, 1.79659+6.66223*ii, -2.32411e-247*ii, 1.36006-1.69219*ii, -2.86044e-247-7.15111e-247*ii
-.935278+.087982*ii, -1.22859+1.24938*ii, 1.4723+1.53098*ii, 1.08314-.237231*ii, 1.93156+1.07574*ii, -1.66544+2.11481*ii, -2.2375e-154+8.20417e-154*ii, .0084611-.302928*ii, 4.475e-154-3.72917e-154*ii
-.297247-.590708*ii, -.1578+.469111*ii, 5.41352+1.28523*ii, .903989-2.27193*ii, 5.30782-1.08106*ii, 2.31523-1.98057*ii, 0, -.256505-2.79871*ii, 0
-47.4819-46.5646*ii, -.00843468-.0258356*ii, 10.5155+.54322*ii, 3.32845-50.6242*ii, -18.0017-.61855*ii, -34.6655+22.2034*ii, 0, -34.7707+90.4027*ii, 0
-1.64484+2.91084*ii, .0631766+.348766*ii, -2.80905+.233485*ii, -.168329+3.31037*ii, -3.12368+4.6933*ii, -1.94669-.97165*ii, -9.95033e-181-1.43466e-180*ii, -.191106+1.97894*ii, -1.9976e-180-2.50029e-180*ii
.332945+.370764*ii, .047063-.546557*ii, 3.40473-.068872*ii, .169669-.0083886*ii, -.884928+.128708*ii, .332741+.354934*ii, -1.63748e-138+1.2596e-139*ii, .164385+1.5432*ii, 5.58423e-138-8.3974e-139*ii
2.54457+.593311*ii, .124783+1.29565*ii, .824306+2.74591*ii, .590788+1.16975*ii, .044778+3.10902*ii, .626599-.554862*ii, -1.74406e-103+2.09287e-104*ii, .540142-.107032*ii, 1.1162e-103+3.13931e-103*ii
9.78344+3.58956*ii, -.132496-.611887*ii, 15.3545+5.92823*ii, 3.87682-2.34028*ii, 7.51978+5.99343*ii, -2.58536+.148538*ii, 1.06936e-211+6.535e-212*ii, -3.61121+5.49145*ii, -6.65382e-211-3.68336e-211*ii
-.473264-.755219*ii, .278341+.165657*ii, -.859678-1.00023*ii, 1.29171-.025289*ii, 2.50178+.712996*ii, .0017995-.497108*ii, -4.93552e-178-6.90972e-177*ii, -.965007-.324055*ii, 3.20809e-177-6.07685e-177*ii
-.006105-.244446*ii, 3.08708+2.56515*ii, .865739+.424922*ii, -.357123-.709224*ii, -3.83799-.17911*ii, -2.46459+.35623*ii, -7.28675e-44-2.8026e-43*ii, .0583889-.0141058*ii, 1.68156e-44-2.24208e-44*ii
.279368-.147529*ii, .436578-.534186*ii, 2.33691-2.40364*ii, -.878305-.861924*ii, -.287349+1.12778*ii, 1.10061+.49825*ii, -4.94066e-324, 1.21032+.104509*ii, 9.88131e-324-1.4822e-323*ii
1.17319+.758257*ii, .348467-.149604*ii, .119945+.782876*ii, 1.32864-.93652*ii, .427672+.564529*ii, 1.1104-.241814*ii, 6.71788e-138+2.01536e-138*ii, -.130944+.505441*ii, 6.71788e-139-1.17563e-138*ii
2.36204+.560372*ii, -.510022-1.41826*ii, .167922-.369755*ii, .28726+.63307*ii, -.372272+1.42506*ii, 3.0402+.826246*ii, 6.19154e-32-3.08887e-32*ii, .0482884+.046965*ii, 1.64439e-32-5.66911e-33*ii
-25.3425+64.1989*ii, -.0337987-.0696449*ii, 17.0378-18.7652*ii, 24.1883+26.6051*ii, -43.1426-20.7887*ii, 68.4439+29.2473*ii, -1.01737e-309+9.97741e-310*ii, 30.4971+75.9598*ii, -2.05613e-309-2.39511e-308*ii
-4.58434-1.4903*ii, .0509644-.434498*ii, -2.03208+3.55698*ii, 1.22283+1.34354*ii, -1.64241+.387729*ii, -3.17243-1.18824*ii, 2.01777e-224-3.37702e-225*ii, -2.15411-.916543*ii, 1.35081e-225-7.99509e-224*ii
1.16475-2.30404*ii, .0638152-.287557*ii, 3.06297+.960635*ii, 1.62211+3.7047*ii, .716067+3.86207*ii, 3.91292+1.65298*ii, -5.17526e-172-3.71972e-172*ii, -.232745+2.71458*ii, 8.08635e-172+1.32616e-171*ii
1.2173-.00977*ii, -.164981+.0540034*ii, .284183-1.73231*ii, -1.90989+.441027*ii, .994148-.018080*ii, .738564+.454643*ii, 9.86314e-191+1.69536e-190*ii, -1.16505+2.24366*ii, -3.9058e-190+1.40276e-190*ii
3.73292-2.91381*ii, .0543291+.320869*ii, 1.91678-2.57558*ii, 3.12553+1.52894*ii, 2.79393-.442567*ii, 1.06996-.010091*ii, -1.41897e-294-1.71866e-294*ii, -1.70498-1.78212*ii, 6.45875e-294+1.49236e-294*ii
