variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
-1.03404+1.80566*ii, -.560715+.449809*ii, .540502+.574825*ii, -1.11577-1.06395*ii, .342147+.015012*ii, -.046867-.952*ii, -.348571+.414202*ii, -.0842428+.343548*ii, -.200869-1.36847*ii, .426153-.743899*ii
.248545+1.51949*ii, -.111616+1.73329*ii, .779072+1.57229*ii, -1.10224-1.29264*ii, -.12905+.056373*ii, -1.04268-.086651*ii, .775399+.24433*ii, .0158242-.178703*ii, -1.16087-1.45018*ii, .415481-1.07224*ii
-2.27864+2.62411*ii, -.813445+.001083*ii, .0704696+.0145908*ii, -1.24174-1.12125*ii, 1.00215-.16739*ii, .65075-1.79446*ii, -1.05753+.6579*ii, .129628+.456064*ii, .403738-1.93634*ii, .480689-.592058*ii
-1.70086-.667864*ii, -.0998221+.294698*ii, -.579149-.106431*ii, -.208562-1.15651*ii, .84847+.551817*ii, .53242+.174668*ii, .00930231-.029003*ii, .158437+.111678*ii, 1.28121-.210283*ii, .29969+.499097*ii
.289306-.369032*ii, .531212+.41134*ii, -.19675-1.25257*ii, -.461889-.268982*ii, .775434+.538573*ii, -.195582+.181239*ii, .0828644+.321365*ii, .296327+.0000953*ii, -.035409+.826154*ii, -.952094+.492487*ii
-1.31606-.812303*ii, -.437648+.0095620*ii, -.682631-.656674*ii, -.049395-.816339*ii, .765701+.626651*ii, .372605+.0108985*ii, -.142059+.276289*ii, .220963+.380523*ii, 1.38326+.219854*ii, .059577+.662156*ii
-.922218+1.14958*ii, -.0607397-.292129*ii, .040113+.967624*ii, -.905841-1.01061*ii, .239437-.39396*ii, .116103-.68597*ii, -.251357+.107033*ii, -.605378-.00225*ii, .054870-.848632*ii, .698024-.094656*ii
-.727312+2.04286*ii, .494534+.671213*ii, .9197+.530722*ii, -1.52057-1.02975*ii, .56329-.081803*ii, .075013-.691522*ii, -.265911+.0192071*ii, -.176774-.12066*ii, -.950067-1.25544*ii, .005551-.865367*ii
.016550-.848136*ii, .0718762+.0499404*ii, .508619-.544884*ii, -.430816-.483113*ii, .154127+.744239*ii, -.0628518+.421893*ii, .00640843-.0133243*ii, -.18799+.441788*ii, .213586+.826377*ii, -.357023+.132479*ii
.695853+.531218*ii, .153145+.0450308*ii, 1.05833+.728534*ii, -.976323-.58124*ii, -.417228+.046302*ii, -.579038-.012920*ii, .121796-.0000274*ii, -.724844+.213223*ii, -.891481+.086632*ii, .0955176-.492866*ii
-1.85329+3.05138*ii, .024125+.780669*ii, .0805913+.0264604*ii, -1.52681-1.18093*ii, 1.3256-.266507*ii, .436261-1.57783*ii, -.685575+.542089*ii, .394733-.123677*ii, -.359275-2.13413*ii, .048504-.712766*ii
-.690003+.842559*ii, .251212-.0682378*ii, -.671741+.970087*ii, -.667602-1.0128*ii, .452295-.559108*ii, -.0707833-.471825*ii, .11405+.170472*ii, -.437528-.412378*ii, .146289-.700113*ii, .611711+.374864*ii
.890759+.541181*ii, .0359143-.198196*ii, 1.1939+.093930*ii, -.991335-.283076*ii, -.378175+.177234*ii, -.544012-.179644*ii, -.14527+.16358*ii, -.661619+.454162*ii, -.913493+.432973*ii, -.242516-.472196*ii
.154802-1.88081*ii, -.230128-.212137*ii, .108546-.0927681*ii, .063901-.5491*ii, -.222232+.760946*ii, -.234747+.850039*ii, .333049-.0868025*ii, -.416598+.496036*ii, .775833+1.23473*ii, .072802+.54611*ii
-1.33217-.622099*ii, .283764-.198188*ii, .639632+1.26916*ii, -.644981-1.33863*ii, -.0224868+.305244*ii, .535826+.506778*ii, .047736-.73652*ii, -.84898+.122558*ii, .558447-.228646*ii, .89515-.099345*ii
-6.005-.886377*ii, 1.46479+.208179*ii, -.0116417-.00615131*ii, -.879897-2.50064*ii, 2.44502+1.08648*ii, 3.41505+.565499*ii, -.941407-1.78786*ii, .129876-.305574*ii, 2.61953-1.4537*ii, .792254+.265982*ii
3.2763-1.78049*ii, .457572+1.53414*ii, -.000324084-.00275913*ii, .100532-.0651981*ii, -.652263+.65031*ii, -2.21822+1.59253*ii, 1.80662+.417065*ii, .115358-.270357*ii, -1.15771+1.79543*ii, -.935191+.430357*ii
-1.0456+.927104*ii, .81863+1.67292*ii, 1.62885+1.01776*ii, -1.45259-1.56377*ii, .429731+.675409*ii, .170098+.4383*ii, .314423-.664997*ii, -.0173879-.158189*ii, -.89936-1.27759*ii, .102651-1.29433*ii
-1.00639+2.04547*ii, .114765+1.11274*ii, .711306+.614467*ii, -1.37495-1.22862*ii, .63852+.070081*ii, -.032258-.696598*ii, -.107499+.182563*ii, .130039-.0575329*ii, -.690384-1.60847*ii, .14332-.939822*ii
.22939-1.26044*ii, -.22332+.809188*ii, -1.45592+1.35115*ii, .36195-1.1369*ii, -.0407893-.0431001*ii, -1.00007+.782128*ii, 1.34596+.27477*ii, -.0809635-.475682*ii, .77236+.064942*ii, .790349+.952355*ii
-.279645-.558171*ii, .287385-.709615*ii, -.45864-1.02812*ii, -.32887-.241774*ii, .642692+.221512*ii, .265551-.120051*ii, -.359673+.224298*ii, -.231516+.18102*ii, .610063+.974517*ii, -.441277+.864292*ii
-.287555+.0349646*ii, .377191+.327171*ii, -.073328-1.65456*ii, -.613901-.283936*ii, 1.0519+.645746*ii, .15627-.168127*ii, -.309706+.394863*ii, .450934+.192491*ii, .131627+.56888*ii, -1.04577+.340137*ii
-.029783+1.61114*ii, .258578-.374115*ii, 1.33654-.394793*ii, -1.45456-.331857*ii, .225229+.0592837*ii, .108424-.848633*ii, -.796778+.169171*ii, -.520379+.446722*ii, -.955847-.144348*ii, -.431857-.691968*ii
.385368-.521163*ii, -.203343-.665511*ii, -.812606-.457645*ii, -.0876722-.199914*ii, .197029-.0557776*ii, -.382241-.189494*ii, .000491+.5581*ii, -.32747+.174375*ii, .533893+.91703*ii, -.110835+.956636*ii
