variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
c0+c2*Rad^2
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
.629079-3.10181*ii, 1.135+1.14886*ii, .119239+.730792*ii, -1.16716-.466225*ii, -1.23538-.658484*ii, .006909-1.63371*ii, -1.60649-.407448*ii, .0934501+.0663758*ii, 1.6201+1.6063*ii
-.0085068-.0642575*ii, -.182465-.241696*ii, .760957-.257137*ii, -.025439-.5138*ii, .117825-.447385*ii, .0359178-.0114148*ii, -.551451+.518578*ii, -.20908+.629259*ii, .149183-.475431*ii
.0448701+.428182*ii, -.818842+.227562*ii, -1.88584+.840514*ii, -.287119-1.57624*ii, .459643+.543419*ii, .073255+.952918*ii, .880009-.375833*ii, .600688-.089681*ii, .417563+.851262*ii
-2.91455-2.35565*ii, -.472494-.0102306*ii, -2.75058-.266556*ii, -.496873-1.32922*ii, -.909944+2.66485*ii, -1.99704-.324495*ii, .118017+1.42106*ii, 1.45772+.109473*ii, 1.49359+1.57037*ii
-1.29379+3.06566*ii, -.322066-1.12479*ii, -1.05692+1.08348*ii, .538332-.837873*ii, 1.59039+.560989*ii, -.50275+2.58724*ii, 1.62228+.147235*ii, -.160404-.280845*ii, .758568-1.27129*ii
-.00360586-.00753028*ii, -.0468236-.038058*ii, .0632261-.0730567*ii, -.073611-.654546*ii, .0814888-.362943*ii, -.08949+.168719*ii, -.160439+.327428*ii, -.0123654+.400114*ii, .331227-.0380592*ii
-1.15243+.251049*ii, 1.69662-.940537*ii, -.995766-.094887*ii, .555823-.129609*ii, -.77147-.11332*ii, -1.41911+.926217*ii, .602526+.538187*ii, -.106307-.0729141*ii, 1.63209-.127723*ii
.766902+1.45038*ii, .622247+.319844*ii, -.390308-.0590315*ii, .225487-.484578*ii, .459568-1.46076*ii, .000835+.923244*ii, .878554-.112179*ii, -.133684+.0449983*ii, .190692+.115378*ii
.956514+.281471*ii, -.668787-.045023*ii, -3.43327-2.05044*ii, .899773-1.92132*ii, -1.21233-.133265*ii, -.540675+.849683*ii, 2.05129+.42402*ii, 1.32897+.67701*ii, -1.10001+1.90003*ii
.15493-.0670658*ii, .517892+.007274*ii, -.197118+.29565*ii, -.10792-.561729*ii, -.119731-.558223*ii, -.14857+.272388*ii, -.0501547-.0160265*ii, -.0931309+.144026*ii, .781248+.176326*ii
-1.10314-.162047*ii, -.248139-.921703*ii, .694488+1.77547*ii, -.466597-.639239*ii, .593185+.90346*ii, .039124+.553094*ii, -.93363-.080929*ii, -.496314+.054754*ii, 1.54065-1.08898*ii
2.74866+10.9908*ii, .159447-7.55141*ii, -9.19733-.61181*ii, 6.26729-3.71784*ii, -1.2139+.162513*ii, -.29505+10.5364*ii, 9.61613-2.64238*ii, .0138193-.304782*ii, -1.54383-1.93272*ii
-4.54438-.785541*ii, -.32657-.815372*ii, 2.08799-.006182*ii, -.527261+.484097*ii, 1.11729+2.00056*ii, -1.8992-.462589*ii, -1.74965+2.72773*ii, -.21933+.552351*ii, 1.64944-2.05917*ii
-1.51948+11.509*ii, .521811-5.33675*ii, -6.07133-2.17696*ii, 5.30196-1.41604*ii, 1.47117+.024864*ii, -2.48037+9.00566*ii, 8.59279+.89128*ii, .0734682-.291595*ii, -1.30752-3.18657*ii
-1.46512-.319005*ii, .672798+1.26816*ii, .656115+.193329*ii, -.842163+.185906*ii, .927116-.43005*ii, -.930066-.499144*ii, -.523949+1.05069*ii, .0832898-.085156*ii, 1.20294+.186855*ii
-.904847-.487354*ii, 1.52103+.030465*ii, .998027+1.04459*ii, -.708859-.277129*ii, .798945+.192987*ii, .108589+.561932*ii, -1.19432-.938752*ii, .16741+.168338*ii, 4.19059+.557803*ii
-3.6774+1.72794*ii, -5.39901+.201143*ii, 3.85731+1.13519*ii, -1.03965+.039004*ii, -.173148-.849746*ii, -2.7983+3.33337*ii, -3.82328-1.48676*ii, -.176409-.0591371*ii, 7.3537+.227809*ii
-3.33824+.200626*ii, -.186306+.755217*ii, 4.90167-.735681*ii, -.051031+2.01934*ii, 1.22903-1.66997*ii, -1.03377+7.08531*ii, -.609993-.035815*ii, -.606883-1.47289*ii, -4.20619-4.02701*ii
-.305005-.879219*ii, .717589-.58297*ii, -1.28467+.488196*ii, .0329142+.300094*ii, -.575754-.82163*ii, -1.29825+1.3266*ii, -1.16374+.066453*ii, -.352857-.11658*ii, 2.40878+2.32705*ii
-3.99023-3.27567*ii, .183616-.0557655*ii, 3.76379-.279949*ii, -1.55588+6.90471*ii, -4.57375-2.44612*ii, -3.48771-.450087*ii, .422528-.633926*ii, 4.79776+1.07595*ii, -.214211+.676426*ii
.069618+.135193*ii, -.458525-.334321*ii, 2.00126+1.94003*ii, -1.32223+1.86552*ii, .503718+.119339*ii, -.972207-.455396*ii, -.120743-.712414*ii, -1.21595-.171179*ii, -.500282-.496975*ii
1.041-.700536*ii, -.21013-.162937*ii, -1.06457-2.118*ii, .183316-.891459*ii, -1.76045+1.27269*ii, .620592+.232012*ii, -1.20409+.266356*ii, 2.01123+.960336*ii, .141114-1.53783*ii
-.0906255-.0283277*ii, -.5658+.891163*ii, .951409-.301422*ii, .0436628-.40347*ii, .182465-.238022*ii, -.286416-.338366*ii, -.552866+.314887*ii, -.181038-.15196*ii, -.291519-1.79889*ii
.0326863+.00081063*ii, .0617534+.20279*ii, .602988+.815202*ii, .351437-.124779*ii, -.229851-.318446*ii, -.852222+.245066*ii, -.0612344+.0471274*ii, 1.12685-.400216*ii, -1.11601+.339434*ii
1.88059+3.96583*ii, .220283+.103715*ii, 1.93321+3.21212*ii, .69695-1.7366*ii, -1.43185+3.99708*ii, -.006015+.666814*ii, .685497-1.07655*ii, 3.20083+2.13842*ii, -.793029-.428201*ii
-1.83324+2.13496*ii, .433889+.0202142*ii, -4.98462+.113565*ii, -.063534+5.24492*ii, 2.28756-1.1161*ii, 1.45823+.443434*ii, -2.53897+.215184*ii, -2.8628+.198807*ii, 1.35116+.391255*ii
