variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ugi*r+G*M*m
Ugf
Eki-Ekf+Ugi-Ugf
2.00002*G*M*m-1.00082*m*ve^2*r
points:
-1.75966-1.59346*ii, -1.95371-4.8843*ii, -.194047-3.29085*ii, -6.60725e-109+3.05782e-108*ii, -.635805-.334387*ii, -3.52152e-16-3.00275e-16*ii, -.761784-.005457*ii, -.836386-6.58637*ii, -4.95863e-16+7.80487e-17*ii
1.57144+3.06636*ii, .778475+3.06696*ii, -.792965+.000602*ii, 2.27954e-31-1.58645e-31*ii, -2.92281+1.24281*ii, 3.29049e-160*ii, -5.77567+1.63836*ii, -1.40138+1.61917*ii, -1.28031e-159-1.49369e-159*ii
.199127+.921536*ii, -.9568-.348323*ii, -1.15593-1.26986*ii, 0, 2.73463+.685715*ii, 2.95519e-77+1.29543e-77*ii, 1.71327+2.07014*ii, -.104417+.80434*ii, 1.32836e-76
-1.50427+2.40096*ii, .628072+2.23973*ii, 2.13234-.161233*ii, 3.22303e-32-2.662e-35*ii, 1.74611-.115273*ii, -5.61103e-191+5.61103e-191*ii, 4.88968-1.05867*ii, 1.1841+.63204*ii, 2.10414e-191+5.61103e-191*ii
1.13546-1.43235*ii, .20392-.690052*ii, -.931536+.742302*ii, -1.01803e-31-2.48266e-31*ii, 3.26631-1.76367*ii, -6.94057e-179-1.13748e-178*ii, -1.25698-1.84676*ii, -.767657+.917466*ii, -5.24399e-178-4.62705e-179*ii
.177409+1.02302*ii, .335028+.599404*ii, .157619-.423615*ii, 0, 1.28859+1.49909*ii, 1.53427e-192+1.03015e-191*ii, -.435412+1.17412*ii, 2.07293+2.37819*ii, -1.40276e-191-2.45483e-191*ii
-.052337-3.30665*ii, -.696917-.724257*ii, -.64458+2.58239*ii, 0, -.255109+.547049*ii, -1.51133e-77-6.90893e-77*ii, 1.13273-.383963*ii, 1.10662-1.35741*ii, 1.73398e-77+6.47713e-78*ii
4.42368+.532875*ii, 2.38378+4.00677*ii, -2.0399+3.4739*ii, 0, 4.35297+4.11961*ii, 1.27462e-157-2.33026e-158*ii, -.587486-6.05748*ii, -.584911+1.39464*ii, 5.82683e-157-2.54924e-157*ii
-.957468-2.04688*ii, -4.11837+.746108*ii, -3.1609+2.79299*ii, 4.07893e-32+1.15939e-31*ii, 7.87876-2.6501*ii, -2.10868e-181-2.78647e-181*ii, 1.46258-5.11032*ii, -7.21758+5.39564*ii, -2.40992e-181+6.0248e-182*ii
.494162+.118484*ii, -.721434-.109088*ii, -1.2156-.227572*ii, 0, 1.10073+.40736*ii, 6.90893e-77-1.64087e-76*ii, .75181+1.20049*ii, -1.5199+1.7818*ii, 2.41813e-76-4.31808e-77*ii
-6.74816-9.89159*ii, -2.95026-14.7854*ii, 3.7979-4.89379*ii, 0, 3.08382-6.47958*ii, 2.15464e-188-2.42958e-188*ii, -5.71955+6.64628*ii, 8.7904+.93523*ii, -3.19604e-187-1.58007e-187*ii
-9.27846+.93987*ii, -4.6508+1.09252*ii, 4.62767+.152644*ii, -4.76043e-32+3.04742e-31*ii, .601234+1.62223*ii, -2.24441e-190-1.12221e-189*ii, -1.33992+3.24055*ii, -10.3727-4.55817*ii, -4.20827e-191+6.31241e-191*ii
.448213-.331828*ii, .634516-.253962*ii, .186304+.0778664*ii, 0, -.556975-.263967*ii, -1.21556e-32+4.41903e-32*ii, .486767-.485697*ii, .700099-2.13654*ii, 3.21107e-33+1.5845e-32*ii
-.782662-.666257*ii, -1.93772-.767625*ii, -1.15506-.101368*ii, 0, .0451-.595864*ii, 6.54023e-106+5.23218e-105*ii, -.296178+1.26509*ii, -1.1872+.234716*ii, -4.90517e-106+3.14163e-106*ii
1.01774+.757896*ii, .971216+.929667*ii, -.0465199+.171771*ii, 0, -1.43614+2.5163*ii, -1.52747e-151-7.63734e-151*ii, .309356-.497717*ii, .107535-.199285*ii, 9.7758e-150+1.0845e-149*ii
.553535+1.54775*ii, .236765+1.85064*ii, -.31677+.302888*ii, 0, .417482+.307458*ii, -2.43087e-62-3.6463e-62*ii, -1.25139-1.0094*ii, .343347-.806641*ii, 1.45852e-62-1.55664e-63*ii
.322915-.956106*ii, .171777+.144516*ii, -.151139+1.10062*ii, 0, 1.51992-.489296*ii, -2.83637e-124+8.8637e-126*ii, .401614-1.35552*ii, -.625045+.14219*ii, -5.90911e-124
-1.23287+.026816*ii, .220554+.510349*ii, 1.45342+.483533*ii, 0, .390546-.405072*ii, -4.36015e-106-1.09004e-106*ii, -.892225+2.29891*ii, -.547565+.051752*ii, -4.36015e-106+3.27011e-106*ii
-.804128+.125785*ii, -1.07925+.503107*ii, -.275117+.377322*ii, 0, .456161+.310476*ii, 7.57346e-32+2.8391e-32*ii, .391419+.668885*ii, -.0945403+.0644391*ii, 1.96457e-32+8.25058e-32*ii
-1.74089-1.23147*ii, -.658266+.889988*ii, 1.08263+2.12145*ii, 0, -1.27272+1.4209*ii, -1.82391e-183-1.00021e-183*ii, -.0789025-.138744*ii, 1.18935+.069194*ii, -5.05621e-186+1.24107e-185*ii
-.761456-.988484*ii, -2.77831-.28032*ii, -2.01685+.708164*ii, 0, 1.22868+.299878*ii, -5.50328e-134-4.40263e-134*ii, 2.79232+2.01323*ii, -1.80041+1.70382*ii, 1.92615e-134-7.7046e-134*ii
-1.04193-.802527*ii, -.924488-1.23329*ii, .117446-.430765*ii, 0, .972843-1.24986*ii, 3.05494e-150+4.8879e-150*ii, 1.34113+.551379*ii, 2.84291-1.25808*ii, -2.44395e-150+1.83296e-150*ii
1.69243+1.54464*ii, 1.28771+.092178*ii, -.404725-1.45246*ii, 0, .739299-1.49382*ii, -2.25415e-130-3.94475e-131*ii, -.19742+.33342*ii, 1.45319-2.73226*ii, -1.97238e-131-2.25415e-131*ii
-.565992+1.10348*ii, .962504+.074789*ii, 1.5285-1.02869*ii, 1.57488e-31+2.64662e-32*ii, .0713572+.19722*ii, 6.62044e-32+9.91104e-32*ii, .16447-.0648841*ii, .226826+.1786*ii, 6.54115e-34-1.05e-33*ii
