variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ekf
G*M*m+Ugi*r
-1.1*m*ve^2*r+2.2*G*M*m
points:
-.384346+.20625*ii, -4.08541e-31-2.5814e-31*ii, 1.35461+.365838*ii, .234344+1.30927*ii, .568717-.522779*ii, -6.16298e-31+5.60831e-31*ii, -.31378-1.40442*ii, -1.74888+.325768*ii, -4.25245e-31+2.23408e-31*ii
.40189-.320723*ii, 0, -.726936+.089097*ii, .452189-.257405*ii, 1.27274-1.84509*ii, -1.29543e-77-2.37495e-77*ii, -.171008+.632954*ii, -1.11242-.321062*ii, 8.63617e-78-4.31808e-77*ii
-1.84048-2.91276*ii, 0, 1.27125-.308679*ii, .063175+1.33209*ii, -3.25549+.048126*ii, 1.26953e-127+4.61649e-128*ii, -.379089-.401641*ii, .14052-.951995*ii, 7.93459e-129+1.44265e-129*ii
.960492-1.1065*ii, 0, .008607+.807862*ii, 1.00026-.180741*ii, .145917+.524242*ii, 1.2758e-203-9.56851e-204*ii, -.949849+1.04735*ii, -2.46355+.878421*ii, -3.98688e-205*ii
-1.20047+2.06423*ii, 0, 1.00342+1.13485*ii, 2.61766+1.25635*ii, .438798+3.39346*ii, -3.92902e-101-2.32169e-101*ii, -1.57489+1.29166*ii, -1.05486+.215253*ii, -2.85747e-101-8.04221e-101*ii
.789604+.231841*ii, 0, -.193165+.478982*ii, -1.24706+.015730*ii, 1.06656-.458165*ii, 1.53664e-116+2.2207e-116*ii, -.701532+1.02716*ii, 2.05634+.287573*ii, -9.51728e-117+9.51728e-117*ii
.203609+1.22367*ii, 0, 1.16739+.198683*ii, .073113+1.56098*ii, .975582-.706709*ii, 3.2099e-128-8.07886e-128*ii, .85885-1.40224*ii, -.871264+.255227*ii, 1.15412e-128-4.61649e-128*ii
-.013057+.79218*ii, 0, -2.05238+1.7251*ii, -.086214-1.40103*ii, -.43016-.398068*ii, -4.34424e-32-2.03107e-31*ii, -.0236651-.0171896*ii, -.956449-.434199*ii, -5.94434e-34-3.8411e-34*ii
-.511514-3.5309*ii, 0, 2.95219+2.10311*ii, 3.92543-2.84062*ii, -4.46651-4.51569*ii, 1.02741e-194+3.4247e-194*ii, 1.79065-.966297*ii, .367913-.125106*ii, 5.99323e-195-5.13705e-195*ii
-1.77021-3.6841*ii, 0, 1.22928-1.27765*ii, -.119167+.130863*ii, 2.28182-.848559*ii, -8.77111e-79*ii, -.495694+.717763*ii, -.153774+.911268*ii, -5.39761e-79+2.36145e-79*ii
-.765993-1.00285*ii, 0, 2.15045-1.38276*ii, .45149+.670529*ii, -1.70039+.99*ii, -2.65303e-73-1.76869e-73*ii, -.173753+.83925*ii, -.3307+2.53446*ii, 7.73801e-75
1.53741+1.59708*ii, 0, 1.43434+.042788*ii, -.474905+.952384*ii, -.942068-.397863*ii, 1.3209e-31+1.40555e-31*ii, -.143723-.0900434*ii, 1.29376+.108204*ii, 1.1457e-33+7.56711e-33*ii
-.94348+.344361*ii, 0, 1.95043+.296211*ii, -1.71886+.202452*ii, -.486719+1.19599*ii, -1.52087e-209-1.82505e-209*ii, -.537733-.665856*ii, -.701202-.201268*ii, 4.56262e-210-1.2167e-209*ii
.415728+.119894*ii, 0, 1.32384+.397135*ii, .622451+.047982*ii, .225262-.32183*ii, 1.35235e-201-4.08256e-202*ii, -.624718-.007226*ii, 1.09178-.17264*ii, -1.11633e-203+5.49357e-204*ii
1.4641-2.09657*ii, 0, -1.52772+2.51042*ii, .227787+1.2729*ii, -.0245-2.4102*ii, 1.07155e-101-8.92959e-102*ii, -2.18968+1.65329*ii, .829431-.501161*ii, 6.69719e-102*ii
.513013+.18227*ii, 0, .0837943-.472264*ii, -.563581-.049814*ii, -.345051+1.42308*ii, -1.59475e-203-3.1895e-204*ii, 1.85922+1.18094*ii, -.944832-.792873*ii, -6.379e-203-1.46717e-202*ii
2.68826+1.69992*ii, -1.36615e-32+2.05733e-33*ii, -1.91771+1.58023*ii, -.544034-.011083*ii, 1.0522-.312819*ii, -1.02064e-202+3.31708e-202*ii, -2.02991-.226223*ii, 2.15244-1.19499*ii, 2.5516e-203-2.39213e-203*ii
2.00213-1.08767*ii, 0, .119847-1.74026*ii, .436549+.408675*ii, -2.01752+.585893*ii, -1.49508e-204+1.09639e-204*ii, -.636141-.48495*ii, 2.46474-1.58237*ii, 9.96719e-205+7.4754e-205*ii
.050638+1.30294*ii, 0, .761083-.902532*ii, -.459315-.0815417*ii, .800146-.84482*ii, -8.6362e-78-9.85063e-77*ii, .692097-.231779*ii, .326729-.898188*ii, -2.96868e-78+1.07952e-78*ii
-.775885-1.31421*ii, 0, .196961+.699445*ii, -.465486-.164407*ii, -.099330-1.41028*ii, -3.26605e-200-9.79815e-201*ii, .105425-2.39686*ii, -.188121-.533285*ii, -2.35156e-199+1.04514e-199*ii
-4.24741+1.61381*ii, 0, 13.0181+9.44993*ii, 1.83727-7.98771*ii, -7.01029-2.90332*ii, -6.90893e-76-4.07627e-75*ii, -3.48719-3.48649*ii, -10.1549+3.55648*ii, 1.64087e-76+1.1308e-76*ii
.636621-.381178*ii, 0, .056215-.666424*ii, -.604193-.148084*ii, -.708912+.551149*ii, -1.83126e-104, .057555-.872852*ii, -.499995+2.06789*ii, -3.48812e-105+8.7203e-106*ii
-1.94351+1.53016*ii, 0, -3.93321-1.96182*ii, -.064111-1.65988*ii, -2.78844-3.92256*ii, -1.55737e-205+6.2295e-207*ii, -.96593+1.92252*ii, -1.12851+1.00174*ii, -3.48852e-205+3.17704e-205*ii
.495909-.341524*ii, 0, -.566073-.998961*ii, -.592343+1.08204*ii, -.477622-1.66614*ii, 1.65299e-61+4.37556e-62*ii, -.699196-1.32273*ii, .783284-.954743*ii, -1.45852e-62+1.45852e-61*ii
-2.9203-2.12912*ii, 0, -.654772+.394068*ii, 2.96025+1.21401*ii, -7.133+2.73171*ii, 4.81083e-72-8.27746e-72*ii, -2.8018-.122771*ii, 10.1379-3.5869*ii, 2.26392e-72+1.24516e-71*ii
