variable ordering: pp, pmu, Ev, Emu, Ep, pv, mp, mmu

component_1:
equations:
-pmu+pv
Ev-pv
-pmu^2+Emu^2-mmu^2
2*pv*mp-mp^2+mmu^2
points:
-1.15966-.353114*ii, .488791+.448008*ii, .488791+.448008*ii, -.576476-.46379*ii, .32633-.343522*ii, .488791+.448008*ii, -.0876853-.0157823*ii, .319332+.151509*ii
-1.01907-.450256*ii, .369274+.453435*ii, .369274+.453435*ii, -.0136805-.370828*ii, -.278695-.142234*ii, .369274+.453435*ii, .355593+.0826073*ii, .36312-.447149*ii
1.3227-1.05883*ii, 1.00228+.761025*ii, 1.00228+.761025*ii, 1.17663-.413659*ii, .463325+1.9807*ii, 1.00228+.761025*ii, 2.17892+.347366*ii, -1.30541+.957162*ii
.583058+5.8311*ii, 1.71487-1.06704*ii, 1.71487-1.06704*ii, -2.54019-.256895*ii, -1.97937-4.80867*ii, 1.71487-1.06704*ii, -.825312-1.32394*ii, -2.38138-1.04242*ii
3.26606+.815598*ii, -.291052+.111279*ii, -.291052+.111279*ii, -1.15723+.358387*ii, 1.40251-.707345*ii, -.291052+.111279*ii, -1.44828+.469666*ii, -1.12022+.341313*ii
.128472-.1378*ii, -.877608+.516797*ii, -.877608+.516797*ii, .873174-.559108*ii, 1.87627+2.05382*ii, -.877608+.516797*ii, -.00443382-.0423117*ii, -.130649+.265245*ii
.023610-3.7061*ii, 1.30397-.879178*ii, 1.30397-.879178*ii, -.636667+1.7443*ii, -4.52214+3.20829*ii, 1.30397-.879178*ii, .667298+.865119*ii, .019004+1.88811*ii
-.70744+.450957*ii, .898116-.234456*ii, .898116-.234456*ii, .26094-.447554*ii, -1.01722-.493346*ii, .898116-.234456*ii, 1.15906-.68201*ii, .099205+.945357*ii
.178365+.406453*ii, -1.68368+1.30677*ii, -1.68368+1.30677*ii, 1.32166-2.13183*ii, 1.87506-2.55368*ii, -1.68368+1.30677*ii, -.362018-.825067*ii, .30793-2.00496*ii
3.03446+1.69686*ii, -.543614+1.16752*ii, -.543614+1.16752*ii, 1.24139-.0875*ii, -2.08057-2.28701*ii, -.543614+1.16752*ii, .697771+1.08002*ii, -1.64418-.319951*ii
-1.53808+.701594*ii, -1.13793-.761109*ii, -1.13793-.761109*ii, 1.04451-1.12*ii, -.427026-.687881*ii, -1.13793-.761109*ii, -.093419-1.88111*ii, 1.28193-1.58818*ii
.291813-1.52895*ii, -.744961+.010578*ii, -.744961+.010578*ii, 1.04142-.703425*ii, -.883183+.846536*ii, -.744961+.010578*ii, .296455-.692847*ii, -.861586+.841098*ii
-.59866-.21986*ii, -.213777+.153979*ii, -.213777+.153979*ii, .314306-.220976*ii, .607412+.230884*ii, -.213777+.153979*ii, .10053-.0669966*ii, -.230446+.158549*ii
-.392473-1.49931*ii, -.826107-3.20954*ii, -.826107-3.20954*ii, 3.51575-.251709*ii, .118414+4.73198*ii, -.826107-3.20954*ii, 2.68965-3.46125*ii, -4.7405+.74599*ii
.672562+.938331*ii, .694853+.119621*ii, .694853+.119621*ii, .470366+.0050712*ii, .670453-1.21623*ii, .694853+.119621*ii, 1.16522+.124692*ii, -.154995+.52088*ii
1.09546+1.97295*ii, -.805243-.081877*ii, -.805243-.081877*ii, -.768523-.045844*ii, .413338+.60031*ii, -.805243-.081877*ii, -1.57377-.127721*ii, -.118414+.259247*ii
-1.30531+.404843*ii, .223569-.269714*ii, .223569-.269714*ii, .727795+.428807*ii, -.341614+1.60359*ii, .223569-.269714*ii, .951363+.159093*ii, .774451+.480834*ii
1.62535+.585688*ii, .153292-.0856693*ii, .153292-.0856693*ii, .209686+.429413*ii, -.960688-1.3626*ii, .153292-.0856693*ii, .362978+.343744*ii, -.226328-.455863*ii
.0101788-.465222*ii, .81727+.026911*ii, .81727+.026911*ii, .805815+.033016*ii, .645004+1.55021*ii, .81727+.026911*ii, 1.62309+.059926*ii, .0325919+.141492*ii
.091698+.114352*ii, .200815+.140092*ii, .200815+.140092*ii, -.921263+.023629*ii, -.875714-.605337*ii, .200815+.140092*ii, -.720448+.163722*ii, -.911298+.054759*ii
-1.04952+.949622*ii, .168235+.683975*ii, .168235+.683975*ii, -.591197-1.42238*ii, .509184-.556003*ii, .168235+.683975*ii, -.422962-.738405*ii, -.579327-1.2529*ii
-.25295+.266234*ii, .751104+.199884*ii, .751104+.199884*ii, -.801972-.372319*ii, -.287803-.558318*ii, .751104+.199884*ii, -.050868-.172435*ii, .372757+.398264*ii
-8.53427+7.41818*ii, 2.03259+1.86532*ii, 2.03259+1.86532*ii, -4.29248-2.59154*ii, -2.05995-8.00454*ii, 2.03259+1.86532*ii, -2.25989-.726218*ii, 3.83563+1.91173*ii
6.68066+22.2712*ii, 1.14064-6.87614*ii, 1.14064-6.87614*ii, 2.5096-.107026*ii, 21.852+8.85265*ii, 1.14064-6.87614*ii, 3.65024-6.98317*ii, 7.30359+1.03711*ii
-4.90616-5.42694*ii, 2.66452-6.11817*ii, 2.66452-6.11817*ii, -2.69017+.995987*ii, 2.69304+2.43805*ii, 2.66452-6.11817*ii, -.025645-5.12218*ii, 6.41041+2.12508*ii
-1.23751-.37951*ii, .441249+.562571*ii, .441249+.562571*ii, .60849+.271044*ii, .144678+1.11109*ii, .441249+.562571*ii, 1.04974+.833614*ii, -.659204+.126374*ii
-4.26293+3.43391*ii, 3.16859+2.02147*ii, 3.16859+2.02147*ii, -3.46777-.467624*ii, -3.77614+2.49983*ii, 3.16859+2.02147*ii, -.299175+1.55384*ii, 2.92136-1.63745*ii
1.89988+3.33321*ii, -1.02392+.677376*ii, -1.02392+.677376*ii, -.792887+1.21921*ii, -4.68309+2.78152*ii, -1.02392+.677376*ii, -1.81681+1.89659*ii, .223206-1.2236*ii
.517732+.477183*ii, .510723-.024249*ii, .510723-.024249*ii, .443359+.579809*ii, .113432-.813424*ii, .510723-.024249*ii, .954082+.55556*ii, .368226+.731746*ii
