variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
.443406-.536829*ii, .0681258-.305156*ii, .661461+.496247*ii, -.258528-.974196*ii, -.71971-.166319*ii, -.500204-.112025*ii, -.637609-.293179*ii, -.925917+.003849*ii, -.458045+.234791*ii, .393729+.839078*ii
.732542-1.42449*ii, .412427-.795642*ii, -.821785+.607004*ii, -.036429-1.02737*ii, -1.03185+.199733*ii, -.361217+.148236*ii, -1.49017-.700702*ii, -.478407+.126477*ii, -.841295-.509678*ii, -.775531+.828869*ii
-.235938+.0654038*ii, .132559-.173277*ii, -1.02556-.272151*ii, .665413+.055047*ii, -1.09943-.221133*ii, .293666-.0557681*ii, -.160597+.0305328*ii, .469933-.435145*ii, -.509852-.397768*ii, -.490738-.486104*ii
-.053465+.112871*ii, -.125846-.108589*ii, -.728521-1.03485*ii, .323741+.132633*ii, -1.22048-.436508*ii, .165452-.081155*ii, -.0322792+.0294499*ii, .383652+.204182*ii, -.123334-.279711*ii, -.192902-.855426*ii
-.228086+.0871461*ii, .0000709+.134324*ii, -.718782-1.06086*ii, .159207+.185286*ii, -1.20162-.345146*ii, .15281-.0305028*ii, -.0524598-.0283868*ii, .609045+.154559*ii, -.0312065-.260116*ii, .050582-.850023*ii
.534267-.061747*ii, .184153-.139658*ii, 1.18177-.095539*ii, 1.80083-1.44342*ii, -1.10811-.925194*ii, .27871+.370191*ii, .872996-.88237*ii, -1.61266-.417754*ii, -1.04274+.262807*ii, .110057+.54022*ii
.428382+.223203*ii, -1.03817-.435375*ii, -.748939-.405372*ii, 1.72527-.434767*ii, -1.46993-.793705*ii, .363451-.258942*ii, .836118+.198841*ii, -.273477+.0787439*ii, -.871714-.154927*ii, -1.33277-.148009*ii
.905012+.20855*ii, .044894-1.47141*ii, -.492466-.267773*ii, -1.22057+1.72803*ii, -.173276-.324888*ii, -1.21919-.381757*ii, -1.46501+1.30934*ii, -.303707+.126681*ii, .543265-.884092*ii, -.364482-1.36873*ii
.355805-.513335*ii, .212932-.585769*ii, -.763674+.128246*ii, .746835-1.7058*ii, -1.40501-.067826*ii, .452784-.259239*ii, -.609918-.990308*ii, -.590266-.095699*ii, -1.00248+.025045*ii, -.774536+.528275*ii
-7.89905-2.59024*ii, .63921-9.12853*ii, -2.69428+.806039*ii, .671877-.779891*ii, -.000679678+.000846335*ii, 7.23114+1.18628*ii, -7.3273+4.42007*ii, .104102-.0369777*ii, -5.7939+.275645*ii, -.992383-1.11636*ii
.497827-.118441*ii, -.403713+.070021*ii, .060719-.190628*ii, -1.49363-1.63435*ii, -1.16451+.209809*ii, -.514577-1.10657*ii, -.937144-.636717*ii, -.406684+.800364*ii, .257758+.796234*ii, .545362+.628455*ii
.134233+.183628*ii, -.15798-.029062*ii, .64357-.990449*ii, -.197913-.348558*ii, -.971788-.603427*ii, -.159525-.147616*ii, .0374386-.0831305*ii, -.472765+.445529*ii, .0958997+.284204*ii, .750111-.441235*ii
.576998-.013386*ii, -.006584+.328208*ii, -.600106+.858261*ii, -.78858+2.89079*ii, .110005-.0175644*ii, -2.01365+.187358*ii, -.416314+1.67854*ii, 1.07308-.874702*ii, .626631-1.34174*ii, -.115861-.547794*ii
.503318-.054698*ii, -.458442+.106922*ii, -.191546-.248114*ii, .397415-2.33021*ii, -1.66002-.164309*ii, .301948-.792915*ii, .072568-1.19457*ii, -.69458+.403177*ii, -.581038+.730147*ii, -.277498+.797773*ii
5.20335+3.02981*ii, -2.77516+4.92236*ii, .00171745+.00192899*ii, .593336-.673914*ii, -2.09537-.478876*ii, -4.15288-2.91697*ii, 5.12917-1.70892*ii, -.0887689-.111091*ii, 2.67669+.522549*ii, -1.38809+1.00172*ii
.46818-.141*ii, .0919033+.457363*ii, -.0006299-.210571*ii, .897502+2.03604*ii, -.472827-.734034*ii, -1.05693+.899988*ii, .707275+.826687*ii, .45513-.624428*ii, .024844-1.19565*ii, -.081196-.738289*ii
.642441-.029702*ii, -.350138+.257906*ii, .527029-.209039*ii, 2.72741-.576435*ii, -1.30022-1.15444*ii, .184397+.645191*ii, 1.73508-.451336*ii, -.929888-.517235*ii, -1.13141-.254571*ii, -.66251+.302309*ii
-2.87327+6.73843*ii, -6.5028-1.94391*ii, -.00165273-.000731876*ii, .530152-.666552*ii, -1.11129-1.55475*ii, 2.65639-5.67484*ii, 2.96825+5.48758*ii, -.123322-.031096*ii, -.402286+4.13885*ii, -.965449-1.17309*ii
.440887-.0454838*ii, -.435194+.04791*ii, -.882913-.818522*ii, .65842+.585268*ii, -1.21125-.533206*ii, -.289705+.064116*ii, .316909+.228089*ii, .450042+.201825*ii, -.106118-.625297*ii, -.677942-.71878*ii
.228693+.123127*ii, .0099305+.178285*ii, -.909704+.275484*ii, .619213+.381963*ii, -.912617-.150201*ii, -.342015-.121685*ii, .09458+.163594*ii, .460322-.704219*ii, -.332785-.541678*ii, -.611024-.154481*ii
-.0170758+.223098*ii, .105286+.262515*ii, .04851-1.19263*ii, -.327348+.188419*ii, -1.00093-.437927*ii, -.205308-.0629964*ii, -.0364462-.0762482*ii, .208377+.287654*ii, .325104-.0497723*ii, .685387-.863969*ii
.281007-.522761*ii, -.537235+1.20609*ii, 1.49742+1.3331*ii, -1.3178+.678156*ii, -.0120549+.0272209*ii, -1.98787+.048492*ii, -.015798+.879461*ii, .0899877-.228392*ii, .387702+.187139*ii, 1.49503+1.4499*ii
.700067+.319729*ii, 1.20874+1.08421*ii, .162565-.0431288*ii, -2.09743-1.24869*ii, -.822915+.660034*ii, -1.09685-.993819*ii, -1.0691-1.54477*ii, -.0717289-.28276*ii, .99532+.468702*ii, 1.42947+.209495*ii
1.37092+.303551*ii, 2.78217+4.30286*ii, .314204-2.46792*ii, .078552-4.53683*ii, -2.8233+.475878*ii, .0091813-.318359*ii, 1.48485-6.1958*ii, -.0159482-.169492*ii, 1.12806+.968382*ii, 2.18498+.316214*ii
