variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
1.65207+.80661*ii, -.074219+.792503*ii, -5.29268e-17+6.59333e-17*ii, -.606505+1.37574*ii, -1.1207+.479447*ii, -.048150-.81419*ii, -.197475+.750304*ii, 1.7472e-16+1.73509e-16*ii, 2.91253e-17-8.64564e-17*ii
-1.59782-2.49723*ii, .388672+1.60257*ii, -7.21023e-90+2.7e-90*ii, 2.8146+1.36376*ii, -7.10733-2.26098*ii, .953277-.490259*ii, .236178-1.55646*ii, 6.1364e-92+1.44972e-90*ii, 1.59546e-90-3.55909e-90*ii
-.315388-.732721*ii, .74777-2.53482*ii, -3.4881e-105+5.58099e-104*ii, -1.62614-5.73534*ii, -.170061-2.49904*ii, .230834-1.42162*ii, -4.00835-4.44406*ii, -1.22084e-104+1.48245e-104*ii, -1.95335e-103+1.18596e-103*ii
-6.27438-23.7968*ii, -4.87516+17.6853*ii, 1.72985e-137-1.2764e-137*ii, 11.5435-1.0972*ii, 24.0419+17.1553*ii, 1.15331-1.84082*ii, 7.30012+13.0235*ii, 7.38966e-138-2.92228e-137*ii, -1.98849e-136-6.44916e-137*ii
1.10462+2.34644*ii, 3.05306+1.46785*ii, -7.14367e-102+4.73268e-101*ii, -1.43584+1.8229*ii, .064152+1.16624*ii, -.832291-.307669*ii, -.150481+2.51418*ii, 3.12536e-102+5.13451e-102*ii, 8.21522e-101+7.1437e-102*ii
-1.9593-4.39377*ii, -5.27312-10.2996*ii, -1.34301e-99-5.54349e-99*ii, 10.4087+6.17881*ii, -2.70936+8.05129*ii, 7.50666+5.97859*ii, 1.88537+3.75069*ii, 1.01797e-100+2.42885e-100*ii, 6.51503e-99+2.28597e-100*ii
5.53115-1.99592*ii, .387595+.464627*ii, 1.28582e-122-1.51273e-122*ii, -3.56142+4.57154*ii, -.364712-1.24863*ii, -.584102+2.60592*ii, -.495243-3.90469*ii, 3.02546e-123-9.07639e-123*ii, 2.42037e-122+9.07639e-123*ii
1.16488+2.93469*ii, 3.6721+1.78763*ii, 9.0557e-72-3.26004e-70*ii, 2.50062+.300981*ii, -4.27416-1.64786*ii, 2.60355-.287022*ii, -2.17451+1.01919*ii, -8.06521e-72-1.01876e-71*ii, -2.21864e-70-6.15786e-70*ii
-.079274-.776581*ii, -1.31795-.168398*ii, 1.74244e-59+1.8918e-58*ii, .0845393+.486433*ii, .682622-.106095*ii, .21651-.197103*ii, -.162638-2.76008*ii, -7.15647e-60-3.20485e-59*ii, -4.92863e-58+2.48921e-59*ii
1.41455+4.02558*ii, -2.41452+4.91438*ii, -2.05317e-175+1.77679e-175*ii, 5.51562+6.46305*ii, -3.81422-1.81596*ii, -1.79048-4.37449*ii, -.583546-.637866*ii, 1.36961e-176+4.68874e-177*ii, 1.8755e-176-2.96131e-176*ii
.403601+1.74361*ii, 1.81743+.058869*ii, -1.59182e-73-1.76869e-73*ii, .615791+.6641*ii, .294784+2.3089*ii, 1.02088-.64807*ii, -.063691-1.21057*ii, -1.76869e-74*ii, -1.76869e-73*ii
.647874+.232211*ii, -1.35206-.986206*ii, 1.39525e-104-7.84827e-105*ii, -1.04694+1.66603*ii, 1.33662-.592796*ii, 2.09641-1.80966*ii, 2.0121+2.0449*ii, 2.18008e-106+2.75235e-105*ii, -3.66253e-104-1.56965e-104*ii
-.696348-.480427*ii, .221129+.162402*ii, -2.8299e-72, .050059-.609839*ii, -.281053+.123339*ii, .908637+.562074*ii, .910684+.200166*ii, -7.73626e-73-8.4897e-73*ii, 1.41495e-73+2.26392e-72*ii
.275653+.480825*ii, -1.22266-.079142*ii, -1.98633e-193-1.91783e-193*ii, 1.73924-2.45165*ii, -.531135-.649731*ii, -.0816987+.399788*ii, -.961069+1.16954*ii, 7.19187e-194+6.8494e-195*ii, -2.19181e-193-2.73976e-194*ii
.245573-3.84956*ii, -.463102-2.72288*ii, -1.14299e-100+4.35764e-100*ii, -.137742-2.29074*ii, .255445-1.60463*ii, 1.02709+.130936*ii, -.141108-.169989*ii, -4.19691e-101-1.07155e-101*ii, -4.4648e-102+6.07212e-101*ii
-.43164-.635156*ii, -.918956-1.08384*ii, -3.29736e-105+8.7203e-106*ii, .231679+1.28539*ii, -1.37481+1.31786*ii, -.029789-1.47665*ii, 1.56994+1.04474*ii, 2.72509e-106-4.36015e-106*ii, 5.6682e-105+3.05211e-105*ii
.522473-.509394*ii, -1.48164+.105737*ii, 6.13637e-90-6.21307e-90*ii, 1.77497-.369548*ii, -.414375+.85627*ii, .653413-1.23947*ii, 1.53074+1.58382*ii, -5.52273e-91+5.17756e-91*ii, -1.89e-89-5.4e-90*ii
.362569-.447924*ii, .866701+.487358*ii, 1.07135e-31+1.92421e-31*ii, .0459043+.108959*ii, -1.2466+.539047*ii, -1.17085-.995535*ii, -.200161+.178*ii, 7.71589e-32-3.1588e-33*ii, 4.99542e-32+4.68175e-32*ii
1.22194-.039876*ii, .36456+1.95975*ii, -4.12746e-135-3.52554e-135*ii, .16129+.144035*ii, 2.08353+.421817*ii, -.081706+1.65547*ii, -2.08971+.410931*ii, -1.9455e-135+1.20384e-135*ii, -1.23824e-134-4.12746e-135*ii
2.3534+.022756*ii, -1.69321-3.39943*ii, -1.02109e-88, -1.63074+1.87032*ii, -.535369-2.19591*ii, 2.70503+.40686*ii, 1.53702-1.38962*ii, 1.96364e-90-4.90909e-90*ii, 1.57091e-89-6.08728e-89*ii
.047406+.502244*ii, 2.61251-.636704*ii, 1.88275e-183-2.82412e-183*ii, -.907444+.912764*ii, -.634769-1.17695*ii, .781091-.429599*ii, -1.92874+.704925*ii, 3.53016e-184-1.17672e-184*ii, 3.29481e-183-2.70645e-183*ii
