variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
1.00003*c^2*F0^2-1.0003*c^2*F^2-1.00008*F0^2*v^2
points:
9.68829-6.73012*ii, 7.03385+3.13849*ii, -.0872029+.0447627*ii, .551261-.85937*ii, -1.76638-2.04298*ii, -9.07603-4.65888*ii, -2.47578-8.4625*ii, 2.60984+1.58806*ii
.210906+1.0334*ii, -.697942+.31523*ii, .592416+.655132*ii, -.22865-1.02362*ii, .252323+.4133*ii, .759357-.839747*ii, .748591+.107996*ii, -.354709-.405954*ii
-.635693-.761727*ii, -.843992-1.49034*ii, .111319-.680339*ii, -.533954-1.01384*ii, -.719583-.387094*ii, .234231+1.43153*ii, -.603865+.394193*ii, -.812165-.358613*ii
-9.96956+8.5422*ii, -8.0775-2.84745*ii, .0799409-.0311538*ii, -1.28341-.852455*ii, 1.92302+2.02609*ii, 10.8599+4.23222*ii, 3.72693+8.79188*ii, -2.67632-1.53188*ii
-1.06024-9.30372*ii, .51101+3.74848*ii, -.188297-.0438608*ii, -.263759-1.20489*ii, -2.54498+4.2745*ii, -5.03743+1.17339*ii, -4.88159-1.44611*ii, -.116843+4.90673*ii
.486235+.841487*ii, .261108+1.69156*ii, .123922+.660162*ii, -.16542-.84384*ii, .500338+.665025*ii, .274667-1.46322*ii, .822253-.457321*ii, .650722+.6067*ii
.264627+.358196*ii, 1.24299+.035726*ii, -.560381-1.59793*ii, -.635771-.631847*ii, .389075-1.47667*ii, -.195432+.557275*ii, .359933-.634061*ii, .961994+.819071*ii
.222637-.85928*ii, .609538+.562478*ii, -.654634+1.33394*ii, .088468-.81984*ii, -.742486+.959678*ii, -.296492-.604156*ii, -.583905-.590819*ii, 1.17832-.013217*ii
-1.32417+.301968*ii, -.979982+1.47968*ii, 1.18473-1.38685*ii, -.869696-1.08245*ii, 1.17457+.601254*ii, .356102+.416855*ii, .631323+.802636*ii, -1.04923+1.79106*ii
-.697382+.951012*ii, .851064-1.97648*ii, .202804-.670233*ii, -.49248-.943023*ii, .614136-1.34172*ii, .413597+1.36687*ii, .131456+.433555*ii, .582468-1.27232*ii
.577693-1.07502*ii, -.486603+1.14426*ii, -1.04033-2.11111*ii, -.783554-.534913*ii, -.946652-.791106*ii, -.187817+.381131*ii, -.006794-.906922*ii, -.32358+2.4586*ii
1.42389-.32413*ii, 1.11422-1.16453*ii, -.818459+1.29656*ii, .187565-.791068*ii, -1.08788-.511729*ii, -.348141-.551506*ii, -.465617-1.15953*ii, 1.264-1.54609*ii
.0215321+.182901*ii, -.384359+1.08349*ii, .225681-2.37497*ii, -.96278-.781002*ii, .517979-.915773*ii, .0396529+.41729*ii, .717777-.249898*ii, -.697934+2.04027*ii
-.19756+12.8917*ii, -.715336-4.33575*ii, .127449+.016928*ii, -.509986-.43599*ii, 3.7872-4.95403*ii, 7.71026-1.02409*ii, 6.77133+2.53522*ii, 1.05178-5.77455*ii
-.381382+.678687*ii, -1.27869-.722461*ii, 2.02779+.705147*ii, -.32808-1.46387*ii, .677595+.677419*ii, .439948-.152988*ii, .377582+.798857*ii, -1.56651-1.32362*ii
.219664+.95755*ii, -1.09407-.748253*ii, 1.5451-1.22733*ii, -.751025-1.21251*ii, .710822-.915237*ii, .396823+.31521*ii, .838715+.297264*ii, -1.75082-.352947*ii
1.42146-.254188*ii, -1.14219-1.69373*ii, .170763-1.57029*ii, -.668172-.933134*ii, -1.05808-1.86247*ii, .068443+.629383*ii, .119291-.686841*ii, -1.66829-.421847*ii
-.895152+.823171*ii, .910692-.76156*ii, 1.14152+2.31789*ii, .182353-1.30033*ii, .983194+1.20818*ii, .170997-.347213*ii, -.093388+.676576*ii, 1.02727-2.17759*ii
-.499759-.869345*ii, .403051-.470382*ii, -.255323-.834021*ii, -.50823-.858942*ii, -.268543-.390119*ii, -.335607+1.09627*ii, -.571797-.091757*ii, .311962+.427187*ii
2.11649-.94277*ii, -1.91754-1.21191*ii, .119221+1.06562*ii, .005218-1.07978*ii, -2.17718-.010654*ii, .103692-.926818*ii, -.356654-.969416*ii, -1.73612-1.34417*ii
.17268+2.0348*ii, 1.7844+.544694*ii, .272029+.852893*ii, -.083886-.857471*ii, 1.50114-.176218*ii, .339431-1.06422*ii, 1.08694-.238453*ii, 1.84461-.732799*ii
.316446+2.1616*ii, .143774-1.68719*ii, 1.36204+.14009*ii, -.34998-1.19523*ii, 1.1463-1.11745*ii, .726505-.074723*ii, 1.06884+.329548*ii, -.354305-2.1192*ii
.552452-1.07015*ii, 1.44088+.248791*ii, -1.26519-.336998*ii, -.238719-.583301*ii, -.733486-.512551*ii, -.738034+.196584*ii, -.607481-1.10793*ii, 1.55286+.716618*ii
-2.06109+1.28007*ii, 2.03366+1.04919*ii, .201883-1.06141*ii, -.663336-.788513*ii, 2.26723-.122999*ii, .172942+.909249*ii, .621493+.742314*ii, 1.99744+1.13562*ii
-.913332-.880469*ii, -1.77124+1.36152*ii, .801621+1.23974*ii, -.180109-1.20045*ii, -.385537+2.38903*ii, .367791-.568805*ii, -.303645+.62626*ii, -1.02844+.670418*ii
.836294+.437746*ii, 1.24939-1.4666*ii, -.396684-1.23317*ii, -.5028-.73914*ii, .007623-2.09749*ii, -.236395+.734878*ii, .170437-.770535*ii, .703201-.607516*ii
-.423113-3.07592*ii, -.087028+2.25327*ii, -.846447-.03785*ii, -.295294-.767812*ii, -1.26952+1.78177*ii, -1.17905+.052723*ii, -1.41706-.684156*ii, .421286+2.63312*ii
-.0707222-.382195*ii, .86505-.441401*ii, -.355252+2.1449*ii, .276603-.954575*ii, -.526299+1.01275*ii, -.0751567-.453773*ii, -.656914-.216912*ii, 1.43409-1.33563*ii
.981814-.636175*ii, -1.22646+1.81437*ii, .023452+.658136*ii, -.171728-.905033*ii, -.851983+1.20114*ii, .054075-1.51752*ii, .200525-.717881*ii, -.682625+1.11982*ii
-.792175-1.85365*ii, -1.83146-.358829*ii, .044217-.790491*ii, -.604118-1.02019*ii, -1.30174+.555408*ii, .070541+1.26109*ii, -.943422+.379663*ii, -1.5272+.895985*ii
-1.70382-.137133*ii, .804782+2.03189*ii, .178832+1.68002*ii, .003526-.978423*ii, .871167+2.41949*ii, .06265-.588562*ii, -.204664+.590384*ii, 1.63007+.764477*ii
-.12496-.475466*ii, -1.15838-.791131*ii, 1.04377+1.93126*ii, .070153-1.34178*ii, -.583326+1.41479*ii, .216584-.400742*ii, -.490563+.389072*ii, -.874106-1.58677*ii
1.32831+.051342*ii, 3.02456+.250976*ii, .391165-.611742*ii, -2.50764+1.13263*ii, -.057646+.975519*ii, .741912+1.16028*ii, 2.25673+1.15952*ii, 1.39018-.979609*ii
2.71683-3.07646*ii, -.397143-4.03517*ii, .51517+.452574*ii, 3.6052-2.18253*ii, 4.42349-.446251*ii, 1.09559-.962467*ii, 1.18329-.98409*ii, .23012-1.57118*ii
31.4938-96.2477*ii, 30.8489+48.6848*ii, -79.0879-28.2223*ii, 55.538+28.2887*ii, -.00017069-.000547074*ii, -.0112159+.00400237*ii, -65.9285+54.167*ii, 3.27558-2.47693*ii
.149823-.285175*ii, -.45416-.351516*ii, 1.62759-.688049*ii, -.045820+.664995*ii, -.393723+.434836*ii, .521253+.220355*ii, -1.84965-1.09444*ii, -1.37142-1.65901*ii
-.748256-.450401*ii, .461493+.910817*ii, -.747251-.430731*ii, -.688356-.529944*ii, .585639+.270195*ii, -1.00449+.579008*ii, .709662+.637612*ii, .777344+.245334*ii
-6.59918+9.88483*ii, -4.97261+16.6233*ii, -20.4812-5.66575*ii, -25.3588-10.7063*ii, -.00764082+.000901217*ii, -.0453545+.0125465*ii, -21.0338+.30156*ii, -.473656+3.4069*ii
1.00025+2.69601*ii, .920293+3.4311*ii, 1.52517+.364275*ii, .87678+.888959*ii, .405522-1.89093*ii, .620281-.14815*ii, -.457816-.0184403*ii, -.020157-1.52409*ii
1.07998+.5199*ii, -1.21894-.281784*ii, -3.29323-.717491*ii, 1.06632+.604902*ii, -.0384353+.0624359*ii, -.289893+.0631586*ii, 2.94831+.325272*ii, -.465642-.562413*ii
-.346189-.508912*ii, 2.63549-.976964*ii, .125332-.12204*ii, .787939+1.13902*ii, -.218506-.852171*ii, 4.09555+3.98799*ii, -.287659+.402629*ii, -.220232-.854946*ii
-.244344-1.43194*ii, 1.49525-1.23062*ii, -.253822-.668532*ii, .36953+2.17555*ii, -.267963+1.98382*ii, -.496365+1.30736*ii, .057727+1.16742*ii, .853858-1.488*ii
1.38811+.474881*ii, .719121-1.39949*ii, -.238983-.0543498*ii, .685612-.837392*ii, 2.21044-.178451*ii, -3.97862+.904822*ii, .649368-1.27661*ii, 2.24955-.048490*ii
