variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
-1.15935-.071898*ii, -.0997781+.0639626*ii, 1.97282+.441339*ii, -.158451-1.39633*ii, -.070319+.777912*ii, .0226568-.330897*ii, .2542-.0626134*ii, -1.34386-.648005*ii, .0479918+.105396*ii, -.90919-.787847*ii
.0276893+.0207766*ii, -.571663-3.62609*ii, 1.45825+.538888*ii, .996245-.803068*ii, .700904+.69642*ii, -2.72098-.480592*ii, .878577+.257793*ii, .0265414-.0860845*ii, -1.50696+.521983*ii, -1.15797-1.38359*ii
.352556-2.90774*ii, .885088-.458227*ii, .119056+.992856*ii, .822415-.76387*ii, -1.85414+.678746*ii, -.161925+.148525*ii, 1.06849+.510384*ii, .288457+.243228*ii, .0793422+.287063*ii, 1.37023-1.68971*ii
-.777207+.21077*ii, .115829+.0253503*ii, 1.60055-.713414*ii, -.274851-1.02078*ii, .088664+.553393*ii, -.11796-.312504*ii, .242311-.0361483*ii, -1.3826+.41184*ii, .160587-.0337292*ii, -.988419-.21196*ii
-.920689-1.06585*ii, -.294804+.102017*ii, 1.33964+.182093*ii, .133812-1.32838*ii, -.548104+.718127*ii, .112078+.27279*ii, .550912-.10682*ii, -.806599-.195161*ii, .321825+.276695*ii, -.508047-.883947*ii
-1.01538-.646379*ii, .173147+.139724*ii, .783487-.925572*ii, -.039218-.972038*ii, -.307236+.728438*ii, .263971+.0547055*ii, .452867-.207322*ii, -.686854+.854323*ii, .504319-.142738*ii, -.688182-.356001*ii
.24507-.556576*ii, -.0356165+.11145*ii, -1.04731-1.20171*ii, .290953-.542029*ii, -.422895-.141772*ii, .0708455+.373447*ii, .288169-.0281202*ii, .556837+1.48859*ii, .269853-.22895*ii, .188278+.657354*ii
.426343+.289873*ii, -.119753-.0411125*ii, 2.34965+.325935*ii, -.224533-1.09002*ii, -.134135-.0089731*ii, -.757361-.350076*ii, .199772+.49527*ii, -1.92605-.518555*ii, -.371167+.525717*ii, -.42203-.316437*ii
-.0278978+.0023714*ii, -.106708+3.45001*ii, -1.38748-.085445*ii, -.534902-1.15389*ii, -.987669-.770262*ii, 2.34104+.436958*ii, -.679111-.110463*ii, .0829465+.0041261*ii, 1.06283-.554383*ii, 1.01935+1.74157*ii
-.0514476-.00021583*ii, .0724468+.0094774*ii, -.900168+.059769*ii, .293812-.766573*ii, -.225575-.0304264*ii, .121445-.19339*ii, .00848647+.0262648*ii, .689975+.37609*ii, -.154383-.402991*ii, .2505+.420339*ii
-.210848+.34595*ii, -.0978341+.067374*ii, .010033+2.17351*ii, .293862-1.28523*ii, -.227631+.0409684*ii, .087540-.671349*ii, -.239727+.225524*ii, .373403-1.62675*ii, -.694138-.212555*ii, .433138-.209288*ii
-1.00457+.212175*ii, -.0847065-.225045*ii, -.23944-.86102*ii, .100144-.873233*ii, .232239+.469604*ii, .133554-.127868*ii, .135743-.342028*ii, .204266+.847557*ii, .14514-.468278*ii, -.787837+.270096*ii
-.3116+.432144*ii, -.0824662-.083856*ii, .393661-1.17351*ii, -.096968-.762081*ii, .218586+.130734*ii, -.194715-.111337*ii, .124532-.0771333*ii, -.538938+.987067*ii, .0797547-.193602*ii, -.7436+.491343*ii
-1.60984+1.96097*ii, -1.53358-.451637*ii, .30355-1.07621*ii, -.133345-1.31613*ii, 1.54137+.212389*ii, -.215795+.0575851*ii, -.317505-.785797*ii, -.060139+.189701*ii, -.143235-.339981*ii, -2.23677+1.06077*ii
-.326031-1.12588*ii, .0194062+.161805*ii, -.043024+1.82667*ii, .509382-1.26943*ii, -.934898+.362876*ii, .308953-.107918*ii, .265107+.169822*ii, .467992-1.09399*ii, -.191458+.0018072*ii, .731998-.817235*ii
.374752-.70451*ii, -.0210776-.116645*ii, .035421-2.23471*ii, .0956993-.429591*ii, -.354058-.0245506*ii, -.364495+.551536*ii, .583734+.031747*ii, -.455825+2.18206*ii, .465245+.0916346*ii, -.335122+.491134*ii
-.701986+1.8315*ii, -.966203+.369122*ii, -.065692-.819651*ii, -.2804-1.09728*ii, .990612-.264859*ii, .122455-.105842*ii, -.498279-.395773*ii, -.171815+.203761*ii, -.0972395-.395566*ii, -1.25444+1.42032*ii
-.921826-2.02861*ii, -.112723-.619023*ii, .797878+1.09876*ii, .675323-1.31831*ii, -.982794+1.01347*ii, -.101435+.27519*ii, .869851-.030346*ii, .082997-.505648*ii, .0762863+.307165*ii, .053065-1.67591*ii
-1.82937+1.9508*ii, -1.62219-.4808*ii, .329364-.66628*ii, -.081470-1.44999*ii, 1.55578+.310946*ii, -.148379+.016903*ii, -.345193-.835545*ii, .0576459-.185455*ii, -.203783-.350702*ii, -2.25724+.896694*ii
-.148108-.0137895*ii, -.0025228-.0943664*ii, -1.00359+.961556*ii, .440632-.932514*ii, -.272089+.014321*ii, .143572-.332027*ii, -.0642837+.0546383*ii, 1.0075-.340043*ii, -.387715-.41228*ii, .453866+.172905*ii
.516985+.056478*ii, .165747-.0338154*ii, -.937719-.275393*ii, .271953-.564802*ii, -.271324-.294468*ii, -.122296-.171891*ii, .0259916+.201214*ii, .555701+.733462*ii, -.220672-.317068*ii, .432591+.65738*ii
.094794-.951065*ii, .0992256-.0722664*ii, -1.57455-.194673*ii, .587186-.638093*ii, -.679309+.016998*ii, .206021+.232103*ii, .306109-.0085008*ii, 1.27195+.899612*ii, .0785948-.34666*ii, .654243+.245652*ii
.813037-.164345*ii, .0739299+.0879644*ii, 2.1044-1.52091*ii, -.332514-.66019*ii, -.298476-.130163*ii, -.798629+.115546*ii, .484007+.464486*ii, -2.17409+1.15813*ii, .153138+.566618*ii, -.513779+.113533*ii
.713165-.308452*ii, -.161624-.169331*ii, -.89663+.788196*ii, .527643-.789915*ii, -.504454-.367592*ii, -.261766-.0378779*ii, .0788064+.309472*ii, .825177-.122989*ii, -.469279-.0565403*ii, .78774+.282547*ii
