variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
dt0*c-2*d
dt*F-1
.99*c^2*F0^2-.98*c^2*F^2-1.01*F0^2*v^2
points:
2.7824+4.3966*ii, -.059939-.595564*ii, -3.37533+.392846*ii, 1.93404+.553977*ii, -1.32748-2.75964*ii, .862903-1.4128*ii, -.167293+1.66224*ii, .330767-2.8083*ii
1.5372-.234839*ii, .854104-.687565*ii, -1.46089+1.17057*ii, .116887-.278995*ii, -1.43851-.831134*ii, 1.17006+.478958*ii, .710427+.571904*ii, -1.2541-.379703*ii
-.124169+.0131745*ii, .302618-1.9259*ii, .529976-.419101*ii, -1.45445+.380112*ii, -.312486-.197395*ii, .694506+1.34759*ii, .079623+.506727*ii, .302117+.175494*ii
-1.73243-7.20619*ii, .497322-.575918*ii, -.907887-7.93457*ii, -5.65368+2.23962*ii, 1.84225-.225887*ii, 3.60429+11.2887*ii, .858917+.994659*ii, -1.81722+.214649*ii
2.83206-1.53605*ii, 3.13012+.891022*ii, -1.60441+2.30703*ii, 1.0613-2.85716*ii, -2.04837-1.03063*ii, -.190233+.226971*ii, .295529-.0841257*ii, -2.44332+.10928*ii
.130211+.0080063*ii, .155097+.85308*ii, 1.1437+.042835*ii, .989838-.154318*ii, .227906+.0054651*ii, .0016291-.35217*ii, .2063-1.13472*ii, -.151161+.685878*ii
-.729924+.552214*ii, -.021916-3.1625*ii, 2.21432+.781076*ii, -1.94634+.275*ii, -.429857+.650394*ii, .0134317+.152898*ii, -.0021912+.31619*ii, 1.05313+.901051*ii
-.0242266-.0460139*ii, .291221+.959377*ii, .158124-.198076*ii, 1.05577+.160802*ii, .164498-.375937*ii, .79947-.05423*ii, .289711-.954401*ii, -.370779+.504771*ii
5.93758+4.04254*ii, .817173+4.40592*ii, -3.56386+1.92759*ii, 6.3338-1.99884*ii, -1.62863-3.14951*ii, -1.46202-3.76586*ii, .0406961-.21942*ii, -1.61555-3.11389*ii
8.80319-2.61268*ii, .164206-.184831*ii, -3.45718+2.30509*ii, -.036189-1.85691*ii, -4.22305-1.30429*ii, -.899764+3.24125*ii, 2.68634+3.02377*ii, -5.01915-3.76377*ii
.620876-5.89623*ii, 1.04534+2.05646*ii, 1.01365-6.40363*ii, -2.7246-.308708*ii, 1.82646-.095200*ii, -.04629+8.36669*ii, .196427-.386425*ii, -1.80675+.096105*ii
.156042-.44523*ii, .127969+1.05151*ii, .933051-1.19563*ii, .554768+.049351*ii, .589471-.198992*ii, .087776+.884399*ii, .114051-.937137*ii, -.184365+.382858*ii
