variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-S*dA+P
74.9962*P-313.672*qc^2*x0^2*w^4
points:
5.47014e-18+3.35845e-18*ii, .567083-.502314*ii, .426969+.428009*ii, -.116983+.669969*ii, .55256+.273249*ii, .224044+.253295*ii, 1.64104e-17+1.00754e-17*ii, -8.39613e-18+1.36754e-17*ii, -.36645+.64055*ii, -.153905-.643611*ii
2.82538e-23-2.42898e-23*ii, 1.3383-.569991*ii, 1.44943-.102075*ii, -.316466-.581412*ii, .527942+1.65665*ii, -2.76839-.177923*ii, -2.30637e-23-8.74021e-24*ii, -1.27087e-8-8.89353e-9*ii, 1.48109+.094021*ii, -.092272+.715793*ii
-2.90987e-33+5.1188e-33*ii, 1.09896-1.72996*ii, -.174075+1.42547*ii, 2.42156-2.58055*ii, .974225-2.14793*ii, .0335932+.221514*ii, 6.16291e-33+1.99046e-32*ii, -5.36609e-13+2.58371e-12*ii, .72397-1.6353*ii, -1.36681-.088379*ii
-1.25226e-31+7.95581e-32*ii, 1.28716+.407395*ii, .327858+.553585*ii, -1.27617-.147724*ii, 1.44187+.035553*ii, .017135-2.7035*ii, 1.71562e-31-8.30308e-32*ii, 2.68675e-12-3.26015e-11*ii, -.89189-3.49431*ii, -.15091-.0286218*ii
-4.82075e-31-1.99012e-31*ii, 1.96568+1.13381*ii, 2.13363-1.14093*ii, -.522358-1.85714*ii, -2.19074-2.68559*ii, -.47086-1.20901*ii, -1.17778e-31+9.99237e-31*ii, -5.71779e-12+2.88087e-11*ii, -.105826+.547313*ii, -.408621+1.31384*ii
-6.39293e-36+5.7119e-37*ii, -.461755-.242398*ii, 1.65997+.465287*ii, -2.37786+.440579*ii, -2.44247-1.84536*ii, 3.92495-.537801*ii, 1.06276e-35-3.5916e-37*ii, -2.8976e-12+1.74944e-13*ii, -.824741+.754536*ii, -3.54893-.575938*ii
-3.69954e-31+4.44364e-31*ii, -1.90278-.984914*ii, -1.37487-2.25305*ii, -2.84773-4.88849*ii, -3.36298-2.31255*ii, 1.37213-1.64625*ii, 3.2258e-30+5.43089e-31*ii, -7.14204e-12+2.67294e-11*ii, -.250364+3.57477*ii, -.282758-1.87594*ii
-3.43079e-39+1.43414e-38*ii, .260353-1.9737*ii, -.157032-1.47065*ii, -.869425+1.3099*ii, 2.26728-1.44676*ii, -1.86088+1.87436*ii, -1.95851e-38-1.49647e-38*ii, -1.0376e-14-1.08656e-13*ii, -1.7089-.349797*ii, -1.57668+2.80451*ii
2.61174e-23+6.18211e-24*ii, 1.20108-.291267*ii, -1.41813-2.53128*ii, 2.32751+.915692*ii, 1.54107+.325745*ii, 3.18588-.581269*ii, 5.51275e-23+3.83053e-23*ii, -1.75823e-8-5.31626e-9*ii, -2.94172-.215649*ii, -1.01148-2.24231*ii
1.84738e-30-1.07333e-30*ii, -.628306+.469353*ii, 4.49927+.609818*ii, .699928-3.88613*ii, 1.06539+.852269*ii, -1.36415+.652759*ii, -2.87807e-30-7.93041e-30*ii, -4.29458e-11-1.60829e-11*ii, -4.26234+5.68594*ii, .109683+2.22893*ii
8.8658e-37+7.26878e-37*ii, 2.76884-.167731*ii, -.717298-1.37874*ii, 3.08075+3.75488*ii, .438244-.649492*ii, -.383419-.288188*ii, 1.988e-39+5.56833e-36*ii, 9.19403e-14+8.29163e-14*ii, -2.17346-2.00181*ii, -2.0685-3.61096*ii
-4.83813e-33+6.12075e-33*ii, .0052392+.446146*ii, -.571096+.417752*ii, -.78647-.929676*ii, -1.08603-.263416*ii, -.411585-.34028*ii, 9.49535e-33-3.1589e-34*ii, 4.63423e-12-1.05284e-11*ii, .518892+.554354*ii, .995982-.811955*ii
1.74087e-31-8.53292e-32*ii, 1.00761+.014077*ii, -2.44418-.570946*ii, 1.28863-.491978*ii, -.414596+1.93636*ii, .642077+1.24237*ii, 1.82249e-31-1.9554e-31*ii, -1.91834e-11-5.74336e-12*ii, 2.2856+1.60163*ii, -1.61266-.653533*ii
-4.21832e-24+6.07218e-24*ii, 1.51831+.876224*ii, -1.73438+1.94575*ii, 3.76543-.765712*ii, -.705839-.477919*ii, -.010541+1.5755*ii, -1.12343e-23+2.60944e-23*ii, -9.28538e-9-3.68426e-9*ii, -2.40153-.103808*ii, .326043-.188008*ii
-4.58142e-19-8.47099e-19*ii, 2.85562+.933187*ii, -1.77643-.023825*ii, -2.91809-.160995*ii, -1.48363-1.01592*ii, -.533137-.407922*ii, 1.20052e-18+2.54567e-18*ii, 4.44669e-8+1.0094e-7*ii, -.182465-.841198*ii, -2.54054-.295498*ii
-4.687e-26-4.43117e-26*ii, .304738-.0223815*ii, .05721-1.32531*ii, .900536+1.92216*ii, .42297+.0648918*ii, .479415-.209511*ii, 4.29658e-26-1.29996e-25*ii, 2.05364e-9+1.41735e-9*ii, -.004535-.959641*ii, -.110088-.48862*ii
-2.64057e-33+5.08415e-33*ii, -4.99557+1.2046*ii, .028599-1.07263*ii, -1.64065-4.79978*ii, -.229759+5.05386*ii, -.740265-3.23093*ii, 2.88139e-32+4.40363e-33*ii, -6.3954e-14+6.24488e-12*ii, 3.44623+.996569*ii, 2.61879-2.16984*ii
-2.12147e-23-8.65831e-23*ii, -.803402+1.4489*ii, -2.55703-2.27793*ii, .970815+3.08648*ii, .920824+.200508*ii, .789066+2.19928*ii, 2.46642e-22-1.49535e-22*ii, 8.7824e-10-1.23317e-8*ii, -.268122+1.12054*ii, 1.08521-1.73528*ii
-6.94332e-41+2.39449e-41*ii, .695706-1.14978*ii, 1.58741-2.21177*ii, 1.21096+.334096*ii, -.454295+1.29843*ii, 1.22175+1.91482*ii, -1.71417e-40-2.09969e-41*ii, 9.78868e-15+7.65468e-15*ii, .547396+1.04138*ii, -3.14207+.969755*ii
