=== Abduction Summary ===
Removed axiom indices (1-based): [1, 3, 4]
Removed axioms:
  F0*dt0 - 1
  c*dt0 - 2*L0
  c^2*dt^2 - 4*L0^2 - v^2*dt^2

Decomposition engine: singular
Number of components: 10

Saved combos (minimal): 53
  ['c']
  ['F0*L+F*L0', 'c+2*F0*L0', 'u0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'u0']
  ['F0*L+F*L0', 'L0*u+L*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'L0*m0+L*m', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'F0*L+F*L0', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'F0*dt0-1', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'c+2*F0*L0', 'dt*F-F0*dt0']
  ['F0*L+F*L0', 'F0*u-F*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*m0-F*m', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*dt0-1', 'c+2*F0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*L+dt0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*F-F0*dt0']
  ['F0*dt0-1', 'c+2*F0*L0', 'dt*L+dt0*L0']
  ['c+2*F0*L0', 'dt*F-F0*dt0', 'dt*L+dt0*L0']
  ['F0*L-F*L0', 'L0*u+L*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'L0*m0+L*m', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'F0*L-F*L0', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'F0*dt0+1', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'c-2*F0*L0', 'dt*F+F0*dt0']
  ['F0*L-F*L0', 'F0*u+F*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*m0+F*m', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*dt0+1', 'c-2*F0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*L+dt0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*F+F0*dt0']
  ['F0*dt0+1', 'c-2*F0*L0', 'dt*L+dt0*L0']
  ['c-2*F0*L0', 'dt*F+F0*dt0', 'dt*L+dt0*L0']
  ['F0*L+F*L0', 'L0*u-L*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'L0*m0-L*m', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'F0*L+F*L0', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'F0*dt0+1', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'c+2*F0*L0', 'dt*F+F0*dt0']
  ['F0*L+F*L0', 'F0*u+F*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*m0+F*m', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*dt0+1', 'c+2*F0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*L-dt0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*F+F0*dt0']
  ['F0*dt0+1', 'c+2*F0*L0', 'dt*L-dt0*L0']
  ['c+2*F0*L0', 'dt*F+F0*dt0', 'dt*L-dt0*L0']
  ['F0*L-F*L0', 'L0*u-L*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'L0*m0-L*m', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'F0*L-F*L0', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'F0*dt0-1', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'c-2*F0*L0', 'dt*F-F0*dt0']
  ['F0*L-F*L0', 'F0*u-F*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*m0-F*m', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*dt0-1', 'c-2*F0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*L-dt0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*F-F0*dt0']
  ['F0*dt0-1', 'c-2*F0*L0', 'dt*L-dt0*L0']
  ['c-2*F0*L0', 'dt*F-F0*dt0', 'dt*L-dt0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'm']
  ['F0*L-F*L0', 'c-2*F0*L0', 'm']

Strong candidates (minimal): 40
  ['F0*L+F*L0', 'L0*u+L*u0', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'F0*L+F*L0', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'F0*dt0-1', 'c+2*F0*L0']
  ['F*dt0*L0+L', 'c+2*F0*L0', 'dt*F-F0*dt0']
  ['F0*L+F*L0', 'F0*u-F*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*dt0-1', 'c+2*F0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*L+dt0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*F-F0*dt0']
  ['F0*dt0-1', 'c+2*F0*L0', 'dt*L+dt0*L0']
  ['c+2*F0*L0', 'dt*F-F0*dt0', 'dt*L+dt0*L0']
  ['F0*L-F*L0', 'L0*u+L*u0', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'F0*L-F*L0', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'F0*dt0+1', 'c-2*F0*L0']
  ['F*dt0*L0+L', 'c-2*F0*L0', 'dt*F+F0*dt0']
  ['F0*L-F*L0', 'F0*u+F*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*dt0+1', 'c-2*F0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*L+dt0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*F+F0*dt0']
  ['F0*dt0+1', 'c-2*F0*L0', 'dt*L+dt0*L0']
  ['c-2*F0*L0', 'dt*F+F0*dt0', 'dt*L+dt0*L0']
  ['F0*L+F*L0', 'L0*u-L*u0', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'F0*L+F*L0', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'F0*dt0+1', 'c+2*F0*L0']
  ['F*dt0*L0-L', 'c+2*F0*L0', 'dt*F+F0*dt0']
  ['F0*L+F*L0', 'F0*u+F*u0', 'c+2*F0*L0']
  ['F0*L+F*L0', 'F0*dt0+1', 'c+2*F0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*L-dt0*L0']
  ['F0*L+F*L0', 'c+2*F0*L0', 'dt*F+F0*dt0']
  ['F0*dt0+1', 'c+2*F0*L0', 'dt*L-dt0*L0']
  ['c+2*F0*L0', 'dt*F+F0*dt0', 'dt*L-dt0*L0']
  ['F0*L-F*L0', 'L0*u-L*u0', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'F0*L-F*L0', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'F0*dt0-1', 'c-2*F0*L0']
  ['F*dt0*L0-L', 'c-2*F0*L0', 'dt*F-F0*dt0']
  ['F0*L-F*L0', 'F0*u-F*u0', 'c-2*F0*L0']
  ['F0*L-F*L0', 'F0*dt0-1', 'c-2*F0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*L-dt0*L0']
  ['F0*L-F*L0', 'c-2*F0*L0', 'dt*F-F0*dt0']
  ['F0*dt0-1', 'c-2*F0*L0', 'dt*L-dt0*L0']
  ['c-2*F0*L0', 'dt*F-F0*dt0', 'dt*L-dt0*L0']
