variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
c0+c2*Rad^2
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
-.944059-4.04015*ii, 1.76988+1.33408*ii, -4.24634e-61-6.53863e-61*ii, 1.09476-.566124*ii, -1.28634-.466156*ii, -3.45495-3.14523*ii, .068774-.969262*ii, 4.25236e-17-3.4327e-16*ii, -8.2743e-18-1.89516e-16*ii
.199786+.286327*ii, .290389-.327955*ii, -1.01866e-63+8.62748e-64*ii, -.704708+.076170*ii, .701453-.552275*ii, -.0420267+.200384*ii, -.981548-.117444*ii, 1.03004e-17+7.26294e-18*ii, -5.33513e-17-9.93051e-17*ii
-.938109+1.73614*ii, .469351-1.22671*ii, 9.91069e-63-6.71831e-63*ii, -1.36245-.355762*ii, 1.22316+.079601*ii, -.294351+2.15242*ii, -1.52219-.251177*ii, -8.20159e-17-1.98076e-17*ii, 2.88448e-16+2.43262e-16*ii
2.16337-.354831*ii, 2.02865+.688826*ii, -3.28771e-193-1.34248e-192*ii, -1.52417-.159738*ii, -.245317-.981375*ii, 1.69483+.041467*ii, 1.41877+2.12235*ii, -1.36988e-193-3.04798e-193*ii, -2.08222e-192+1.75345e-192*ii
3.34849-3.82546*ii, -1.73147+1.20382*ii, 2.42065e-222+2.59355e-222*ii, .031799-3.90084*ii, 1.54111-.189151*ii, -1.95109-.206602*ii, .264367-.481054*ii, -5.94355e-224-4.10645e-223*ii, 1.62097e-224-5.40323e-225*ii
-2.02098-.408827*ii, 1.74126+1.48299*ii, 1.04799e-170+1.20648e-170*ii, -1.28117-2.18188*ii, -.919264+.237602*ii, 1.18905-1.69975*ii, -1.38069+.258816*ii, 1.95386e-171-3.6389e-173*ii, 8.57153e-171+1.20648e-170*ii
2.27405+2.00429*ii, .41855+1.94908*ii, 5.17526e-172-5.25613e-172*ii, -.689896-.328291*ii, -.386044-1.17112*ii, -.163031-.835214*ii, -.389413+.676808*ii, -5.76152e-173-8.08635e-173*ii, 2.4259e-172-4.52836e-172*ii
-.549777-.451261*ii, 1.18912-.968855*ii, 1.47991e-189+1.10467e-189*ii, .921481-.844477*ii, .527139+.431086*ii, .486154+.642437*ii, 1.51941+.33665*ii, 1.40276e-190+1.46961e-190*ii, -2.60913e-189-2.60299e-189*ii
1.97652+3.5858*ii, -.395081-2.14362*ii, -2.24208e-44+1.62551e-43*ii, .304019+1.05339*ii, -1.35289+.219376*ii, -1.48059+1.0664*ii, -.725961-.348111*ii, -3.92364e-44+2.8026e-45*ii, 1.12104e-43+6.72623e-44*ii
-.287016-3.46878*ii, 1.7415-.044846*ii, -5.48634e-99-1.28015e-98*ii, -1.27745-4.23577*ii, -1.02748-.970705*ii, -.975422-1.25314*ii, .219676+.332652*ii, -2.05738e-99*ii, -2.1431e-100-1.71448e-100*ii
-1.45663-1.68278*ii, 2.62718-.350117*ii, -4.28669e-201+2.85779e-201*ii, .962194-1.33835*ii, -.806423-.435225*ii, -.613109+1.30091*ii, -.225142+1.8006*ii, -6.379e-203+2.04128e-202*ii, 8.1651e-202+1.10229e-200*ii
-6.75745-.758999*ii, 3.52287+4.57996*ii, 6.26151e-143-1.10615e-143*ii, 1.28826-3.91733*ii, -.998496+.424086*ii, 4.40393-3.06552*ii, .389562-3.17198*ii, 3.20083e-144-4.17121e-144*ii, -2.3875e-144+1.11776e-142*ii
-1.39145-.940671*ii, -2.01053+2.88817*ii, 0, .459318+.274962*ii, -.485161+.491834*ii, .751713-1.75575*ii, .865603-1.21234*ii, 0, 0
.549312+3.37481*ii, -.74158+.956363*ii, 1.42759e-116+1.58621e-117*ii, .711738-2.02641*ii, -.670725-1.54126*ii, -1.29337+.882369*ii, 1.87256+.396733*ii, -2.37932e-117-3.27157e-117*ii, -1.74484e-116+3.17243e-117*ii
.044612-1.02158*ii, .758491+.995659*ii, -3.40637e-108-3.83216e-108*ii, -1.6494-.484624*ii, -.849885-.307659*ii, .116144-.339634*ii, .0162856-.33588*ii, -1.06449e-108+4.25796e-109*ii, -4.72367e-109+4.25796e-109*ii
-.183634-.748846*ii, 3.63753-.031195*ii, 1.73653e-163-9.72457e-163*ii, -.521897+.95235*ii, -.361021-.285696*ii, -3.8047-2.54636*ii, 3.01493-.600881*ii, 1.3024e-164-8.68265e-164*ii, -5.5569e-163+1.66707e-162*ii
-1.00315+.804228*ii, .160882-.460428*ii, 1.23808e-73+3.75846e-74*ii, 1.47538-1.01724*ii, -1.56065-.447808*ii, -.333179-.30166*ii, .009151+2.14768*ii, -1.65814e-74+5.52715e-74*ii, 1.59182e-73-1.85712e-73*ii
1.91587+2.25718*ii, 2.26599-4.29047*ii, 2.58763e-172-5.9839e-172*ii, -.22771+2.55914*ii, .646966-.437739*ii, 3.2993+1.61246*ii, 4.7012+1.18365*ii, -7.68203e-173, -3.10516e-171+5.43403e-171*ii
1.42731-.134433*ii, -4.24216+1.85829*ii, 5.07118e-70-5.43341e-70*ii, 3.32902-.689965*ii, .549312+.088356*ii, 1.02965+.169122*ii, .211192+.968167*ii, -5.43341e-71+3.16949e-71*ii, -6.21446e-70-1.44891e-70*ii
-1.75053+.470538*ii, .962315+.826722*ii, -1.49392e-234-4.40313e-234*ii, .992708+.93789*ii, 1.05682-.558507*ii, .688352-.555364*ii, 1.13965-1.80087*ii, -9.04214e-235+7.8627e-236*ii, 7.54822e-234+1.88706e-234*ii
.0621826+.0337128*ii, 1.68459-.226505*ii, 3.86039e-188-4.66838e-188*ii, -2.0029+.631152*ii, -.0632454+.193943*ii, -.675614-.224986*ii, .578854+.240763*ii, 4.48883e-189-1.03243e-188*ii, -5.38659e-189-2.24441e-190*ii
-.482953-.160061*ii, -.685397+.453175*ii, -6.15805e-48+2.3948e-48*ii, .0808368+.0970739*ii, -.343772+.707836*ii, .451995-1.53128*ii, -.629959+.03385*ii, 1.11187e-48-3.63496e-49*ii, -2.3948e-48+8.55285e-49*ii
