variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
2.67588+1.41416*ii, -1.32146-2.08138*ii, .052622+.807033*ii, -.828859+.527691*ii, -.489232+2.47265*ii, 1.43817-.721239*ii, -1.25899-.760447*ii, .1138+.126289*ii, .718307-1.46155*ii, -.715891-1.27612*ii
-.727025-.925754*ii, -.103269+.50582*ii, 1.6758-.373359*ii, .308573+1.28647*ii, .20851+.16104*ii, -.470538-.294187*ii, .429934+1.06873*ii, .274996-.66377*ii, .133826+.898567*ii, -.155746+.88283*ii
-.756454-1.60236*ii, .0108881-.145089*ii, -.76095+.771781*ii, -.570281+1.14265*ii, .756053-.72466*ii, -.411205-.565904*ii, .0952978-.200278*ii, .66645+.898408*ii, -.414491+.60475*ii, .511554-.137715*ii
-1.77165-1.2269*ii, .209951+.171164*ii, 1.04002+.592872*ii, .078963+1.5101*ii, .012787-.777052*ii, -.744257-.13581*ii, .284994+.623643*ii, 1.0497-.119018*ii, .087867+1.34517*ii, .212882+.488734*ii
1.10587+.890249*ii, .234635-.0792945*ii, -1.09123-.598289*ii, -.321453+.083857*ii, -.045803+.690266*ii, .649526-.338124*ii, .503777-.742693*ii, -1.30465+.212538*ii, .1627-.480606*ii, .368286-.744764*ii
4.9374+.527324*ii, -3.80778-2.57676*ii, -.533456-.404283*ii, -1.23618+.374849*ii, 1.62744+4.13768*ii, 2.13952-1.75856*ii, -1.80582-.485534*ii, -.0459622-.0919367*ii, .249517-3.57056*ii, -.672999-1.16777*ii
-.715013-1.40154*ii, .139355-.464714*ii, -.523257-.944119*ii, -.212688+.810229*ii, 1.05867-.055681*ii, -.245588-.339507*ii, .817191-.045987*ii, .202379+.611832*ii, .274015+.327242*ii, 1.11617+.601415*ii
-3.44443-4.9983*ii, .005773+4.75475*ii, -.482921+.423985*ii, .22774+1.99835*ii, 2.79817-4.17266*ii, -2.62684-1.08406*ii, 1.46776+1.89593*ii, .0496832-.100985*ii, -3.16629+2.458*ii, .570289+1.16289*ii
4.27727+2.73113*ii, -1.81725-3.88382*ii, .549608-.359689*ii, -.83756+.055585*ii, -.785256+4.6389*ii, 2.46833-.615839*ii, -1.48822-1.06568*ii, -.079905-.0741948*ii, 2.01182-2.65094*ii, -.697967-1.15544*ii
-.931761-.233115*ii, 1.18648-.081616*ii, 1.00577-1.12802*ii, .352701+.748447*ii, -.315783+.222456*ii, -.282714+.199105*ii, 1.12147+.364137*ii, -.307535-.0706006*ii, .864512+1.11182*ii, .513608+.964584*ii
-1.22412+.519433*ii, .0278875+.157147*ii, .717343+.847377*ii, .125681+1.1406*ii, -.837329-.498125*ii, -.180619+.0551498*ii, .0883322+.125824*ii, .517161-.673297*ii, .289355+.793243*ii, .044961-.515065*ii
-.940514-3.79027*ii, -.782409+2.12195*ii, -.281001-.706545*ii, -.128312+1.42381*ii, 2.75019-1.27865*ii, -1.23793-1.20677*ii, .86929+1.2978*ii, -.0260923+.189189*ii, -1.72711+.743175*ii, .514613+1.19843*ii
2.40149+.026368*ii, -.12668+.0373398*ii, -.757935-.579687*ii, -.585195+.165266*ii, .580581+1.42062*ii, .718059-.890163*ii, .118327-.366267*ii, -1.52913+.545249*ii, -.313939-.740513*ii, -.320719-.359659*ii
4.55666+2.77218*ii, -1.95424-4.35338*ii, .538924-.348861*ii, -.948214+.038107*ii, -.766443+4.98062*ii, 2.63067-.654442*ii, -1.65566-1.17976*ii, .076844+.068976*ii, 2.19271-2.857*ii, -.701757-1.17531*ii
-3.66047-2.48193*ii, 1.73003+2.87332*ii, .664382+.352969*ii, .553424+1.60243*ii, .330478-3.11382*ii, -2.00544+.042165*ii, 1.59115+1.18798*ii, .110286-.0944427*ii, -1.10154+3.00171*ii, .526301+1.09838*ii
1.5462+1.01573*ii, -.120218+.0053015*ii, .772254-.547968*ii, -.0140908+.425428*ii, -.434834+1.50899*ii, .650838-.392571*ii, .120231+.135007*ii, -1.09105-.548306*ii, .364285-.31176*ii, -.563244-.194118*ii
5.12918+.68075*ii, -3.728-3.04339*ii, -.531353-.388878*ii, -1.31831+.322914*ii, 1.48948+4.42661*ii, 2.28777-1.71549*ii, -1.90307-.648863*ii, .0506249+.0883484*ii, .500066-3.65884*ii, -.663913-1.18415*ii
.380469-.083904*ii, -.363851-.332886*ii, -1.3248+1.21451*ii, -.762029+.74735*ii, .139941-.182116*ii, .283803-.60698*ii, -.35507-.806961*ii, .106677+.649281*ii, -.394018-.199688*ii, .170306-1.24493*ii
-3.91081-2.16058*ii, 2.43993+2.89511*ii, .63481+.378457*ii, .619816+1.48001*ii, -.138708-3.29998*ii, -2.05172+.28525*ii, 1.81801+1.00472*ii, -.107214+.0762294*ii, -.913024+3.37205*ii, .574275+1.09677*ii
-2.05072-.294082*ii, -.093852-.130216*ii, .879713+.717113*ii, .169857+1.43104*ii, -.421921-.808525*ii, -.501612+.094811*ii, .196019+.336988*ii, 1.2251-.553435*ii, .418879+1.04941*ii, .444865-.0547101*ii
.560648-2.39731*ii, -.542295+.034551*ii, .943661-.147261*ii, -.367757+1.32713*ii, 1.36834+.685481*ii, -.371836-1.00654*ii, -.058364+.928331*ii, .390611+.472911*ii, -.449808+.402829*ii, -.369153+1.06603*ii
-1.64937+.096052*ii, -.388088+.0143642*ii, -.913376+.539452*ii, -.123276+.9566*ii, .033137-1.11652*ii, -.174162-.0519862*ii, .352424-.450649*ii, .615516-.272335*ii, .0496023+.279653*ii, 1.049-.912873*ii
-1.03915-.161129*ii, 1.1075-.848078*ii, .924474-.942795*ii, .221739+.798794*ii, -.421404+.3973*ii, -.157282+.278577*ii, .925316+.118209*ii, .18036+.157246*ii, 1.21991+1.00258*ii, .694719+.875604*ii
