variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
.121978-.748658*ii, -.353972-.202048*ii, .872426+.41307*ii, .649587-.254031*ii, .363917+.0515825*ii, .194287+.245673*ii, 1.19471e-16-3.26917e-17*ii, .111623-.278531*ii, -4.55773e-17+5.87017e-17*ii
1.83465+1.59589*ii, -2.33185+.298542*ii, .478549-1.89204*ii, .964987+2.09349*ii, -3.07387+1.55731*ii, -.681357-.607126*ii, 4.81599e-196+9.09686e-196*ii, -.0909199+.267915*ii, -6.95643e-196-1.07022e-196*ii
1.02393-.221768*ii, .959362+.09218*ii, -.169878-.472553*ii, -.329698+.229929*ii, -.351663-1.01627*ii, .096382-1.00081*ii, 2.6933e-189-3.2544e-189*ii, -1.76353+.488916*ii, 8.41655e-190+1.79553e-189*ii
.466712-.0745227*ii, .885377+2.83241*ii, -2.15093+.138883*ii, -1.45776+.65052*ii, -.025859-1.52631*ii, -2.66509+.076100*ii, 4.28288e-130+4.76188e-130*ii, 2.17439-.999403*ii, 8.56575e-130+7.21326e-130*ii
-.352557-1.00238*ii, 2.28085+.168106*ii, .180165+1.32541*ii, .561137+1.15454*ii, -.187982-1.16803*ii, .042731+.776647*ii, -2.01076e-86-3.51884e-86*ii, .507052+1.17634*ii, -5.02691e-86+4.02153e-86*ii
.259314+.329916*ii, .647424-1.35982*ii, -1.68873+1.76257*ii, -.378612-.212126*ii, -.580045+.716532*ii, .17288+1.36069*ii, -8.7203e-105-6.97624e-105*ii, .525945+.984973*ii, -8.7203e-105-6.97624e-105*ii
.677661-1.43762*ii, 1.8243-2.71391*ii, -.555539+2.6732*ii, 2.40133-1.53463*ii, 1.63073-1.23597*ii, -1.2627-.882157*ii, 1.1532e-143-2.81893e-143*ii, -.524582-.144758*ii, -8.20053e-143-6.66293e-143*ii
.885317-1.87204*ii, -1.17843-.087459*ii, 1.19202-1.39845*ii, -1.50835+.366038*ii, -1.34555+1.32442*ii, 3.68787-4.61605*ii, 2.93274e-149-7.82064e-149*ii, 2.40265+1.37833*ii, 1.27085e-148+9.7758e-149*ii
1.37794-2.0341*ii, -1.76668-1.13317*ii, 2.02318-.18161*ii, -.063302+1.34828*ii, 1.59775-1.82481*ii, -1.29242-1.62963*ii, 3.28771e-193+1.88359e-193*ii, -.98568-.424446*ii, -6.02748e-193-2.60277e-193*ii
-1.3727+.62645*ii, .42092-.227456*ii, -.53074-.210786*ii, -.31827+.990854*ii, -.063400+.644592*ii, -.381379-.422822*ii, 1.5677e-199-5.22568e-199*ii, -.525873-1.26837*ii, 5.22568e-200-2.74348e-199*ii
.94973-.247655*ii, -1.45294-.332247*ii, 1.58577+.117452*ii, -.375457+.808114*ii, -1.43337+.134486*ii, -.270829-.256178*ii, 1.68331e-190+9.81931e-191*ii, -.966384+.372552*ii, -8.41655e-191*ii
-.506994+.965083*ii, -.312324+.977568*ii, .900413-2.0639*ii, 1.36083+.652902*ii, -1.80497+.670399*ii, .294238+.904745*ii, -2.87285e-188-7.18212e-189*ii, -.654493+.378332*ii, 5.7457e-188-4.0869e-188*ii
1.80967-.169173*ii, -.0397427-.494983*ii, -.940531-1.91493*ii, .117282+.599725*ii, -1.5941-1.60694*ii, 2.11587+1.80938*ii, 3.21066e-196*ii, -.878498-1.22242*ii, -8.2942e-196-2.14044e-196*ii
-2.73585+3.39943*ii, -1.44292+2.30366*ii, 1.25097+1.79728*ii, .266872-3.20389*ii, 1.52605+4.15014*ii, -1.03153-3.06944*ii, 5.13705e-195-1.32707e-194*ii, 1.8404+.573097*ii, -2.56853e-194+5.13705e-195*ii
-.768317+.65551*ii, .169563-.477433*ii, -2.04675+.794769*ii, 1.21521-2.07041*ii, -.143373-.57713*ii, -2.30258-.498534*ii, 4.84074e-122+4.23565e-122*ii, .014969+.598382*ii, 7.56366e-122-1.81528e-122*ii
1.55137-.845991*ii, .069803-1.00076*ii, -.130757-.187731*ii, -.23518-.0936095*ii, -.119234-.22736*ii, .331504-.28067*ii, 1.76686e-32-1.56645e-32*ii, -.0867523+.0508374*ii, 1.11292e-32+1.34937e-32*ii
.310906+1.08151*ii, 1.73482-1.32575*ii, .285042-1.50809*ii, -1.3595-.607335*ii, -.453281+2.64412*ii, .830404-1.16124*ii, 1.36241e-104*ii, .491087-2.69766*ii, -4.36015e-105-2.09287e-104*ii
1.38489-1.19275*ii, .057275-1.04472*ii, .81289+.389142*ii, -1.15875+1.38886*ii, 1.56993-1.65883*ii, -1.77268-1.44991*ii, 4.38362e-193+2.19181e-193*ii, -.221828-1.01262*ii, 1.75345e-192+9.0736e-193*ii
.516896+.431525*ii, -2.47044-.418082*ii, .6123-5.62885*ii, 1.6712+1.37648*ii, 3.32029-1.38437*ii, 3.16558+3.79921*ii, -3.20907e-103-2.7905e-104*ii, .968182-.905933*ii, 1.1162e-103-1.06039e-102*ii
2.32748+1.67304*ii, -1.57898+1.98406*ii, .256051+1.2304*ii, -.535708+.020042*ii, .394239-.755443*ii, .172106-.683322*ii, -1.54303e-190+1.40276e-191*ii, -.387089-.280089*ii, 3.50689e-191+2.04277e-190*ii
.159024+1.19435*ii, -.876346+.335337*ii, .136313-.6335*ii, -.95008+.74577*ii, .287663+1.13513*ii, -.210701+1.65342*ii, -5.02691e-88+1.25673e-88*ii, .214096+1.28696*ii, -6.28364e-89-3.37746e-88*ii
-1.21359+.775054*ii, -4.02958+2.17574*ii, -1.01513-.678327*ii, -1.00211-3.21808*ii, .548066+.174315*ii, -.421736-1.12659*ii, 9.42546e-89+6.28364e-89*ii, -.863771-.281318*ii, 3.92727e-89+8.64e-89*ii
.024311+1.26026*ii, 1.10751-.739533*ii, -.607788+.44417*ii, 1.01077+.120821*ii, .032771-.717843*ii, 1.12458-.787703*ii, -1.49831e-195-2.14044e-195*ii, 3.22943+2.18128*ii, -1.71235e-195-6.42132e-196*ii
