variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
c0+c2*Rad^2
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
4.03257+2.01403*ii, .48949+.517376*ii, 2.22333-1.26318*ii, .772411-.993401*ii, .437863+2.4773*ii, .597535-2.01941*ii, -.380439-2.55511*ii, .214259-.871617*ii, 2.40817-1.65487*ii
4.77224+2.34784*ii, -1.08918-5.5529*ii, 1.45226-.217775*ii, 1.26476-1.65868*ii, -.868722+.430353*ii, 1.27525-6.52282*ii, .465146-3.38275*ii, -.0029081+.0648125*ii, -1.0227-1.13597*ii
.0155119-.152931*ii, .174657-.478909*ii, .418809+1.32255*ii, .89735+1.00543*ii, -.068087-.544892*ii, .0212728-.433184*ii, .086745-.540869*ii, -.538977+.41519*ii, .144671+.344044*ii
.606806+.370429*ii, -1.33893-.163455*ii, .013819+1.35385*ii, .335487+.945723*ii, -.709537-.15368*ii, -.846551-1.01278*ii, .221634-.929008*ii, -.0329489-.248764*ii, .25875+.916246*ii
2.69026-1.95835*ii, -5.27146-1.12223*ii, -.183535+.621508*ii, -.84964-.096325*ii, -.717622+.320035*ii, -4.36186-3.39023*ii, -1.3605-1.78353*ii, .00232399-.0299699*ii, -1.0967+1.85379*ii
2.53436-1.24537*ii, -.130352-.395526*ii, 6.5413+7.07863*ii, 5.80926+1.95564*ii, -1.70958+1.96418*ii, -.86555-1.01862*ii, -.670728-3.7744*ii, -5.26495+2.39941*ii, 1.33052+2.4414*ii
-19.4081-7.21036*ii, .128186-.295561*ii, 15.6766+17.0627*ii, 14.9827+5.42133*ii, -5.81824-5.51495*ii, -.37545+11.09*ii, .160545+3.69964*ii, -7.30711+16.4292*ii, .88504+13.6961*ii
-.612481-.190963*ii, -.53815-.074574*ii, -1.26027+.30904*ii, -.497813+1.02773*ii, .089299-1.083*ii, -.523274-.181684*ii, .169531+.21981*ii, .554914-.220463*ii, -.181337+.363781*ii
1.90263-.998509*ii, -1.13154-2.12321*ii, -.910153-.655012*ii, -.616456-.142756*ii, .670366-.666119*ii, -1.00047-2.72035*ii, -.661866-.880148*ii, .104546-.0514509*ii, -1.19649-.556959*ii
.0438238+.0146329*ii, .165822-.245992*ii, .518844+.189459*ii, .54202+.405741*ii, .23882-.314174*ii, .0648921-.388874*ii, -.105581-.396633*ii, .112007+.451794*ii, .489664-.0274251*ii
.582621-.397333*ii, -.190176-.522333*ii, -1.69052-.439078*ii, -.913367+.703064*ii, .69122-.889303*ii, -.449205-.950934*ii, -.118098-.0798471*ii, .445666-.646855*ii, -.480739-.534081*ii
-.163466-1.93793*ii, -.642791+1.55422*ii, -.523012-.196241*ii, -.625672+.898592*ii, 1.04497-.253678*ii, -1.86281+.801924*ii, -1.07305+.263416*ii, .0027560+.0829877*ii, .417998+.228665*ii
.515931+.128818*ii, .16669+1.32626*ii, .708306+.156252*ii, .379063+.611438*ii, .356422+.520372*ii, -.362003+.338463*ii, -.295458-.590527*ii, .0455152-.127795*ii, 1.40508-.077546*ii
2.18825+.441979*ii, .489406-3.00489*ii, -.305661-.726506*ii, .16877-.406823*ii, .616854-.59394*ii, .909642-3.13298*ii, -.002501-1.22535*ii, .054847-.0343632*ii, -.872557-1.42709*ii
-.224076-.137255*ii, -.429673-.0470172*ii, -.815432+.168491*ii, -.310461+.808897*ii, .17038-.760857*ii, -.46275-.321244*ii, .0384655-.0221027*ii, .458235-.148177*ii, .0388525+.194464*ii
.468631-.481279*ii, .0831771-.0364683*ii, .0157649-.0314642*ii, .666874+1.98662*ii, .520987+2.66927*ii, -1.28603-2.76449*ii, -2.94552+4.43703*ii, .0745215-.0618966*ii, -1.63987+.900687*ii
.852282-.38048*ii, -.188636-.916546*ii, 1.68639-.152694*ii, -.325353+1.64379*ii, .625612-.778487*ii, -.802211+.118549*ii, 1.45509-2.2441*ii, -.0508666+.449518*ii, -1.44398-.791913*ii
.681733-.809472*ii, -1.19508-2.54236*ii, .201521-1.94187*ii, -.540649+.12849*ii, .331048-.516845*ii, -.25808-.0535819*ii, .039139+1.2006*ii, .148765+.0897456*ii, -.125045+.442033*ii
3.1423-3.0339*ii, -2.60518+.894888*ii, .324392-2.61253*ii, -.731187-2.49342*ii, 1.2293-.272943*ii, 1.04821-1.10241*ii, -.370853-.616613*ii, -.104873+.214681*ii, .117887-.0433719*ii
-.433066-.137593*ii, -.137651+.215661*ii, -1.29715+.074009*ii, -1.08155+1.28914*ii, -.811999+1.05675*ii, .234629+.379557*ii, -.321622+1.33453*ii, .742909+1.02952*ii, -1.78231+2.29434*ii
-.11642-.125316*ii, -.0116617+.113197*ii, .287567+2.905*ii, -.647996+2.81957*ii, -1.11663+.506224*ii, -.89692-5.12224*ii, .0264582-.050259*ii, 6.28368-1.28245*ii, -.839102+.150825*ii
-.470607+.498905*ii, -.202094+1.13412*ii, .215715-1.16965*ii, -.821542+1.1227*ii, -.220592+.739386*ii, 1.20667+.454544*ii, .345761-1.0822*ii, -.258108-.0015577*ii, .739435+.665326*ii
-1.79582+2.0179*ii, .222178-.184785*ii, -1.88235+1.37047*ii, -1.92533+8.21955*ii, 3.04883-.228772*ii, 1.31388-1.1841*ii, 2.92344+3.23184*ii, -2.01015-.129751*ii, -.764995+.175843*ii
-1.10496-1.37872*ii, 2.36042+2.93916*ii, -1.44666+.669048*ii, -.176566+.153331*ii, -.684622-.000343*ii, -.54435+.845846*ii, -1.00568-.60536*ii, -.0254795+.102588*ii, .349463+1.01549*ii
10.5617+1.54669*ii, -.0032991-.277273*ii, -11.3595+5.45623*ii, 12.1426-10.5902*ii, 4.71835-4.02893*ii, 1.70578-.179223*ii, -16.4671-3.92056*ii, -4.79701-10.2993*ii, 5.40151-2.54*ii
-.568972-.031190*ii, -.295493-.745146*ii, .750855-.340596*ii, .174294-.564228*ii, .454445+.710171*ii, .093561-1.80041*ii, -.091255+.656115*ii, .0124195+.256841*ii, 1.44486+.188404*ii
