variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u

component_1:
equations:
dt*F-1
c^2*dt^2-dt^2*v^2-4*L0^2
m0*u0-m*u
-dt*u+dt0*u0
.9986*c^2*F0^2-1.0012*c^2*F^2-1.0104*v^2*F0^2
.9927*c^2*m0^2*u0-.9895*c^2*u0*m^2+.9992*v^2*u0*m^2
1.0032*c^2*L0^2-.9984*c^2*L^2-1.0011*v^2*L0^2
points:
-.869515-3.2114*ii, -.414813+1.2309*ii, -.097184+1.08912*ii, -.227102-.771102*ii, -.24586-.729558*ii, -1.35492+.665137*ii, 2.07262+.046619*ii, 1.99379-.031031*ii, -3.95931e-17-9.27354e-17*ii, 1.12243+.476776*ii, -1.39103e-16+5.93897e-17*ii, .525245+1.31614*ii
-.0687524+.0848504*ii, -.576302-.359148*ii, -.277942-.672451*ii, -.109576+.189245*ii, -1.24981+.778874*ii, 1.00183-.068108*ii, .245559+.0386265*ii, -1.33395-1.00264*ii, -1.00711e-16+1.58592e-16*ii, .175056-.303444*ii, 5.61379e-17+4.03427e-17*ii, .052706+.515342*ii
.701624-1.73573*ii, -.912594-1.44258*ii, -.380553+1.95671*ii, -.258428-.851536*ii, -.313191+.495075*ii, -1.08029-.672014*ii, .822318+.645205*ii, .042912+.683088*ii, 8.59549e-17-1.63739e-16*ii, -.942553+.446977*ii, 2.73225e-16-2.22077e-16*ii, -.487506+.605658*ii
4.31763+1.33546*ii, 6.93406-.238419*ii, -4.29275-1.32859*ii, 2.61609+6.21818*ii, .144045+.0049528*ii, 1.38813-2.05123*ii, -1.62107-.414763*ii, -.189117-.0458232*ii, -9.08008e-16-1.71589e-15*ii, 3.17333-1.586*ii, 1.76653e-16-1.84997e-16*ii, .209045-1.24904*ii
123.13+51.6852*ii, 8.39417+22.6929*ii, -122.409-51.3825*ii, -221.636+203.036*ii, .0143385-.0387628*ii, 149.52+39.7535*ii, 7.5276-174.422*ii, -.88471+20.5*ii, -5.64147e-18-2.55787e-18*ii, -23.7974+27.5096*ii, -1.26051e-18+3.74374e-19*ii, 56.07+225.729*ii
-.022635-.751135*ii, .394992+1.48917*ii, -.194277-.982395*ii, .559642+.388186*ii, .166408-.627377*ii, -.0902811+.232134*ii, .32665+.43803*ii, .28188-.432204*ii, 1.22314e-20-8.1681e-22*ii, 1.67394+.654093*ii, -2.17816e-21-3.2617e-20*ii, .156322+.244907*ii
1.34527-1.73708*ii, .851551-2.4306*ii, -1.33406+1.76128*ii, 2.17779+.094830*ii, .128382+.366443*ii, -.742895-1.08154*ii, -.190811+.398148*ii, -.0670513+.009583*ii, 4.93673e-17-5.40889e-17*ii, -.471059-.751344*ii, -1.05472e-16-3.72876e-17*ii, -.450628-.0324742*ii
-.0219838-.02236*ii, -.362381-.754719*ii, -.0132774+.292648*ii, .118125-.0472149*ii, -.517007+1.07675*ii, .119512-.457643*ii, .0473913+.113163*ii, -1.04306-.480107*ii, -1.20623e-20+8.98736e-21*ii, -.459933+.0170771*ii, 3.34633e-20+1.15703e-20*ii, -.20446-.160649*ii
.351686+1.26107*ii, 1.30904-1.43341*ii, -.844501+.029238*ii, .31698+.301941*ii, .347387+.380392*ii, .82088-.359374*ii, -1.28424-.764824*ii, -1.44815-1.00367*ii, -4.25422e-20+4.83725e-20*ii, -.848572-.317774*ii, 1.68984e-20-9.23723e-20*ii, -.298428-.293093*ii
.392471-2.61409*ii, -1.60035+4.77038*ii, .193074-2.25811*ii, .179586+.331352*ii, -.0632108-.188421*ii, -1.20106+.139235*ii, 2.858+2.12249*ii, 1.32901+1.37849*ii, 1.12567e-19+4.82835e-20*ii, 3.70773+1.74742*ii, -1.29133e-20+1.54394e-19*ii, -.001308+.984951*ii
1.35891-1.92968*ii, .891822-2.63814*ii, -1.34866+1.94632*ii, 2.3203+.054517*ii, .114998+.34018*ii, -.849092-1.07204*ii, -.147036+.396788*ii, .0511528-.0153056*ii, -1.37789e-16+2.72519e-17*ii, -.505286-.843333*ii, -8.98282e-17+6.91811e-17*ii, -.482493-.016964*ii
.0404878+.0125325*ii, -.400221-.736602*ii, .0606514+.321343*ii, -.127012+.0856225*ii, -.569499+1.04816*ii, .110108-.413057*ii, .0863183+.107316*ii, -.979004-.429672*ii, 9.17216e-18+1.41524e-17*ii, -.43736+.154328*ii, -3.62014e-17+2.02547e-18*ii, -.216043-.09622*ii
-4.40775-2.43729*ii, -7.63551+.188961*ii, 4.38201+2.42374*ii, -3.40198-6.90642*ii, -.130887-.0032391*ii, -2.09816+1.7074*ii, 1.84033+.935152*ii, -.215964-.1074*ii, 1.14127e-16+1.01277e-16*ii, -3.42276+3.23733*ii, 2.53952e-16+6.33362e-16*ii, -.257432+1.64859*ii
-.608015-1.35993*ii, -.399394+.147292*ii, -2.23428+1.36912*ii, -1.04456-.50648*ii, -2.20403-.812821*ii, 1.85111-1.0565*ii, -.489521-.411624*ii, -1.06555-.731079*ii, -1.1658e-17-5.99204e-17*ii, -.523947-.385171*ii, 1.91545e-16+1.0034e-18*ii, 2.90496+1.47053*ii
-.208388-.0700135*ii, -.834216-.823699*ii, .711855+.129186*ii, .156941+.219742*ii, -.606969+.599317*ii, .22439-.0719023*ii, -.328023+.237491*ii, -.901358-.900753*ii, 2.16814e-18-4.0709e-17*ii, -.170894+.52435*ii, 2.70615e-17+3.22269e-17*ii, -.0774875-.07926*ii
.932552-.954507*ii, .460224-.978618*ii, -1.49653+.926096*ii, .557611-.743674*ii, .393522+.836784*ii, -.623247-.821705*ii, .705663+.0961*ii, -.41389+.568805*ii, -1.67005e-16+9.0738e-18*ii, -.723889-.514373*ii, 4.08296e-17-7.37216e-18*ii, -.754781+.384079*ii
-.324795-.430594*ii, 1.04256+.367738*ii, -.557787+.046107*ii, .548765-.403931*ii, .853042-.300888*ii, -.348482+.127335*ii, -.0053599-.395022*ii, .144776-.504085*ii, -1.77127e-20-6.08673e-21*ii, .271037+.124908*ii, -1.95707e-21+1.45616e-20*ii, -.0968517+.0255143*ii
