variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-theta*L+d
-T*j+Tj
1.0028*g*Tj^2-3.9921*L*j^2*Pii^2
points:
7.80915-4.06281*ii, -.610463-.426296*ii, -4.46001+3.4438*ii, -.415349+.26043*ii, -2.84498-.315491*ii, 1.62318+.245563*ii, -2.55511+1.71141*ii, -2.53906-2.18324*ii, .632108+7.11675*ii, -.357328+.0145103*ii, 2.64797-4.61398*ii
8.05291-7.77322*ii, -.615421-.660543*ii, -5.1094+3.05358*ii, -.263467+.67998*ii, -3.45344+.137489*ii, 2.49665-.842139*ii, -2.41763+2.15461*ii, -2.31375-2.77515*ii, 3.13151+7.51981*ii, .428298+.0080823*ii, 3.03996-6.69634*ii
-.326502-1.39327*ii, -3.33994-.942536*ii, -1.16355-1.11179*ii, .138403+4.28776*ii, .565729+.24293*ii, 1.2757+.409386*ii, -1.38019-1.87013*ii, .104972-.294132*ii, .495519+.4544*ii, 4.63657-1.00884*ii, -1.22672-1.98471*ii
.240083-.0629071*ii, -.0064977-.139032*ii, .544361+.119679*ii, .0133961+.0445949*ii, .59601+.622733*ii, -.0186974+.00452591*ii, .139857-.251675*ii, -.022433+.412533*ii, .050864+.619155*ii, -.0572968-.0104111*ii, .0857518-.0110948*ii
.204774-.114867*ii, -.145087-.14031*ii, .385262+.0959147*ii, .0000275+.0854296*ii, .604942+.584347*ii, -.0251277-.00759583*ii, .0802272-.267377*ii, -.0890081+.294105*ii, .062978+.59376*ii, .0669447-.0693887*ii, .074173-.0949833*ii
.255956-.47111*ii, -.214812-1.03787*ii, -.163723-.869165*ii, .276028-.390707*ii, .818467+.670518*ii, -.126455-.46993*ii, -.0950405-.49774*ii, .649788-.782722*ii, .216335+.501484*ii, .225353+.299622*ii, .474007-.332253*ii
12.6594-3.96478*ii, -.217424-.436554*ii, -1.93354+.936237*ii, 2.29175+2.11579*ii, -3.24622-.222669*ii, 4.69476+.657963*ii, -3.79808+1.48188*ii, 1.24902-.866021*ii, .80482+10.5817*ii, .37675-.135374*ii, 4.44451-2.65206*ii
14.2603-1.08888*ii, -.118422-.404897*ii, -1.29942+1.10759*ii, 2.47647+1.85256*ii, -3.08716-.671825*ii, 4.58821+1.73707*ii, -4.33709+1.29655*ii, 1.52439-.438912*ii, -1.2808+11.621*ii, -.342293+.101999*ii, 4.85699-.85759*ii
.418262-.336889*ii, -.331616-.801611*ii, .282285-.493187*ii, -.49787+.0482909*ii, .771645+.545184*ii, -.0661739+.0649293*ii, .155807-.546667*ii, .144207-.116427*ii, .167903+.643714*ii, .49007+.582759*ii, .460329-.348058*ii
.0425941-.264842*ii, -.185809-.568672*ii, -.22585-.363831*ii, .515434-.599407*ii, .758474+.666165*ii, -.251247-.516299*ii, -.141426-.224963*ii, .287973-.66679*ii, .108952+.422419*ii, -.130135-.126322*ii, .219974-.140447*ii
1.65469-2.30089*ii, 2.12756+.476496*ii, 1.13021-6.96737*ii, .465491-.358168*ii, 1.47616-.358906*ii, 2.04898-1.66818*ii, 1.4162-1.21437*ii, 4.49688-.123617*ii, 2.27002-.373417*ii, .698605-.084480*ii, 5.00755+.287189*ii
1.6667-.61632*ii, 3.7423+.837143*ii, 2.69228-4.43161*ii, .229786-.350052*ii, .841201+.072268*ii, 1.57743-.869459*ii, 1.90433-.896269*ii, 3.80308+2.00978*ii, 1.04652+.042509*ii, -1.30494+.323423*ii, 3.88081+1.03517*ii
.573844-.939406*ii, 3.11084+2.32821*ii, -.832612-2.23797*ii, -.211588-1.84518*ii, .305016-.704447*ii, .274942-1.43293*ii, 1.42003+.19975*ii, .749634+.234967*ii, .672182-.65341*ii, -2.22854-1.39871*ii, 3.61233-.467674*ii
-7.7465-6.09622*ii, -1.95263-3.21498*ii, -3.36118+11.2133*ii, .603009+.215701*ii, -1.85122+4.67899*ii, -3.64702-2.3098*ii, -.560178+1.87723*ii, -6.57671-1.47793*ii, 2.94204-1.26864*ii, -.978397-.275063*ii, -9.82334-6.98143*ii
-1.08968+2.60004*ii, .397849+.443425*ii, -3.69895+.240219*ii, 1.10225+3.17184*ii, -.549597-.879955*ii, -.0811248-.0340753*ii, -1.56918-2.21841*ii, -.0175159+.0194896*ii, -3.38128-.9067*ii, .501346-2.99892*ii, -.943188-1.86008*ii
-1.69738+3.65432*ii, -6.5363+3.24635*ii, 5.1477-2.89792*ii, 1.87332-1.37684*ii, 5.12183+.3319*ii, .117524+1.36541*ii, -.283974+.73188*ii, -.307084+.503174*ii, .589704-.909916*ii, 3.59885-2.20593*ii, -.900571+7.86188*ii
1.29091-7.13505*ii, 1.56404-.819974*ii, -.527566-5.83521*ii, -8.24241+.5628*ii, .837798-1.31697*ii, 1.02374-.093496*ii, 4.30083-1.75578*ii, -.124398+.0028493*ii, 4.95668-.954735*ii, 3.33796+4.25488*ii, 6.96956-5.55759*ii
-1.48788-.39078*ii, 1.15717+.992409*ii, -2.71246-1.33417*ii, -1.08573+1.7435*ii, -.023304-.903189*ii, -.003784-.617967*ii, .474855-1.63511*ii, -.254424+.160609*ii, -.574637-1.77374*ii, .617027-1.70961*ii, 1.09533-2.6228*ii
-4.2409-1.82295*ii, -4.50468-1.3805*ii, -.459438+6.22978*ii, .461515-.0742403*ii, .703291+2.78522*ii, -2.22438-.144884*ii, -.976713+1.27602*ii, -4.64893-1.06177*ii, 1.36291-.100302*ii, 1.31976-.370432*ii, -6.27794-1.42967*ii
-2.622-.588002*ii, -2.47026+.325871*ii, 1.30052+.911606*ii, 3.29047-.284695*ii, 1.56096+2.00634*ii, -.220919-1.15019*ii, -.815934+.672048*ii, -.0366213-.352721*ii, 1.32308-.458496*ii, .762492-2.01676*ii, -3.11895+1.56376*ii
-7.94313+1.81612*ii, -1.85396-3.54903*ii, 4.09297+5.47124*ii, 5.15274-3.62676*ii, 2.57597+5.55301*ii, -3.93913-1.9015*ii, -.276912+1.30196*ii, -.337523-.606592*ii, .24633-2.44955*ii, -2.75804+.340204*ii, -9.15021+3.66713*ii
