variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pi, Tj

component_1:
equations:
-sintheta*g+ad
omega^2*d-ad
-theta+sintheta
-4.04*d*L*j^2*Pi^2+1.01*d*g*Tj^2
points:
-1.77494e-30-8.87469e-30*ii, .814834+.533242*ii, -.240056+.70318*ii, 9.86076e-30+4.24013e-30*ii, 1.0058e-29+3.15544e-30*ii, 2.48491e-29+1.93271e-29*ii, -.938124-.910742*ii, 2.24425-.118315*ii, -.605983-1.18327*ii, -2.15477-.929671*ii, 2.24458+1.45797*ii
-4.53116e-32+4.35675e-32*ii, -1.31903-.262777*ii, .30123+.971127*ii, -9.34694e-32+1.18581e-31*ii, -5.88207e-32+3.57234e-32*ii, 5.1032e-203-5.86868e-202*ii, .891386-.199321*ii, 2.07539+2.21788*ii, 1.05909+3.03438*ii, .741484+.694853*ii, .987442+1.11239*ii
-1.81907e-31-1.42712e-32*ii, -.528622+1.57197*ii, 1.93003-.251778*ii, -2.8665e-31+1.28047e-31*ii, -2.8665e-31+1.28047e-31*ii, -2.99661e-32+1.20761e-33*ii, .510492+.277823*ii, 1.6885-.777078*ii, .0766883+.349509*ii, 1.33672+.085425*ii, -.580671+2.02559*ii
-1.83685e-76-3.71355e-76*ii, 5.37162-2.23056*ii, 3.58383-1.4582*ii, -1.65814e-74+1.9345e-75*ii, -1.65814e-74+1.9345e-75*ii, 1.49279e-82+3.9945e-82*ii, -.868378-2.11688*ii, .399272+3.02017*ii, -3.10525+5.64815*ii, 4.08823+3.37315*ii, 4.34223-1.95362*ii
8.21073e-48+9.8550e-49*ii, 3.16184-2.5737*ii, -2.58914-1.66239*ii, 1.09476e-47+1.75162e-46*ii, 1.09476e-47+1.75162e-46*ii, 1.10246e-186-8.04398e-187*ii, 1.40042+.282652*ii, -2.27019+4.24601*ii, 3.23407+2.98689*ii, 1.61162-8.95815*ii, -.583911-5.75612*ii
-1.36846e-48+6.84228e-49*ii, 1.14511+.347271*ii, -.573437-.851398*ii, -2.46322e-47+2.18953e-47*ii, -2.46322e-47+1.64215e-47*ii, 4.28088e-196+5.24408e-195*ii, .570147-.596614*ii, -2.30711+.207898*ii, -1.75815+1.52926*ii, 1.25165+.536191*ii, -1.59516-.274659*ii
-9.56022e-32+1.09063e-31*ii, -.168454-2.1492*ii, .791798-.781618*ii, -1.75391e-31-1.9072e-32*ii, -1.75391e-31-1.9072e-32*ii, -2.87814e-60+4.51169e-60*ii, .471882-.673137*ii, -.739493-.258245*ii, -1.37505-.7384*ii, .736117-.216724*ii, 1.70093+.18792*ii
2.88665e-63-1.21543e-63*ii, -1.13691-2.24452*ii, -.093364+.627893*ii, 3.03858e-63-4.86173e-63*ii, 3.03858e-63-4.86173e-63*ii, -3.1895e-203+2.5516e-203*ii, 1.81138+1.93431*ii, -.049555-.741074*ii, 2.79323+.447499*ii, 1.3618-.671185*ii, .57407-.105695*ii
3.58402e-32+1.61023e-32*ii, .428768-.593572*ii, -1.23374-1.84523*ii, -1.80735e-32+1.06225e-31*ii, -1.80735e-32+1.06225e-31*ii, 3.2641e-66-1.06825e-65*ii, .0915306-.352973*ii, -.0953699-.0072609*ii, -1.74028+.346094*ii, -1.94961-.184582*ii, 2.32146+1.38631*ii
-4.90515e-32-4.12277e-33*ii, .740277-.201545*ii, .167812+1.51726*ii, -1.20216e-31-1.70145e-31*ii, -1.20216e-31-1.70145e-31*ii, 2.0599e-32+6.56908e-33*ii, .152029-.180876*ii, -.823442-.19988*ii, -1.04355-.45567*ii, .314581+.466397*ii, -.166686-.737892*ii
6.84228e-49, -.575306+.861218*ii, -.792437-.226091*ii, -5.47382e-48+8.89496e-48*ii, -5.47382e-48+8.89496e-48*ii, 1.60533e-196-8.02665e-197*ii, .718239+.354814*ii, .162842+.595111*ii, 1.24734-.399391*ii, 2.07193-.305339*ii, -1.4731+.444556*ii
-1.06052e-31+2.55867e-31*ii, 2.36133-.95974*ii, -.147934+2.31417*ii, 2.73863e-31-3.08764e-31*ii, 2.73863e-31-3.08764e-31*ii, 5.63961e-61, -.634311+.21914*ii, .003686-1.33551*ii, -.713369+.176656*ii, -.228183-2.38296*ii, -.740241+2.59057*ii
-3.6463e-63-4.01093e-62*ii, -.54935-.206475*ii, 1.51547-2.50962*ii, -4.86173e-63, -4.86173e-63, -1.31509e-191-5.26034e-192*ii, 4.31884-5.16251*ii, -.157557+1.2616*ii, -5.62656-1.69195*ii, 4.3095+5.40633*ii, -.621003-3.48527*ii
-3.35894e-139+1.5955e-138*ii, -5.74955+3.45709*ii, -.253562+5.20799*ii, -6.1093e-31+4.25266e-31*ii, 3.86278e-138-5.3743e-138*ii, -1.1227e-200+1.04105e-200*ii, 3.94751+2.27725*ii, -1.13413-1.58232*ii, 2.5123-2.43056*ii, 8.41547+.97755*ii, -5.61409+5.55068*ii
1.38013e-31-4.31058e-31*ii, 1.25737+1.72761*ii, 2.17392+1.61438*ii, 1.32225e-31-2.50779e-32*ii, 4.71268e-31+2.28321e-31*ii, 4.89398e-55+4.69006e-55*ii, -.121719-.855705*ii, 1.57551+.170488*ii, -.740821+1.41381*ii, -2.16651-1.36087*ii, -.880271+1.06285*ii
-3.40637e-108-4.08764e-107*ii, 1.52947+.522218*ii, -2.13335-.192724*ii, -1.78321e-31-1.23165e-31*ii, 9.81034e-106-5.78936e-106*ii, 2.03035e-114-2.63946e-114*ii, -.182216+.751596*ii, .113978-.800063*ii, .793697+1.05778*ii, 1.11225-1.96464*ii, 1.8901+.109655*ii
-5.06602e-49+4.10537e-48*ii, -.183576+.317256*ii, -1.108+.336293*ii, 1.42682e-31+1.3967e-31*ii, -4.10537e-48-4.10537e-48*ii, 7.65481e-202-3.06192e-202*ii, -.891918-1.74236*ii, -1.5693+1.62897*ii, 3.14892+.334374*ii, 3.59589-.746865*ii, 1.79372+1.31005*ii
