variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Ugi*r+G*M*m
Eki-Ekf+Ugi-Ugf
2.00002*G*M*m-1.00082*m*ve^2*r
points:
1.09306+.154339*ii, .901246-.105298*ii, 9.07102e-18+1.45817e-17*ii, .19181+.259636*ii, .710638+.511127*ii, -.118215-.3999*ii, -8.51083e-17-2.54553e-17*ii, -.992977+.798936*ii, .086870-.604751*ii
-3.45741+1.69407*ii, 2.52018-.675876*ii, 1.35835e-71-1.81114e-71*ii, -5.97759+2.36995*ii, 7.04651-4.26201*ii, -1.48707+.237236*ii, -3.46663e-72+3.32513e-72*ii, 1.97688+1.41685*ii, -2.0958+3.69445*ii
-.958494-1.94164*ii, -1.89426-1.00642*ii, -6.13146e-107-1.36255e-107*ii, .935765-.935224*ii, .768046-3.20184*ii, -2.13253+2.85661*ii, -4.64759e-107*ii, -1.02106-5.52913*ii, -6.74304+1.074*ii
-.362531+1.05944*ii, .90052-.507832*ii, 1.21543e-63-1.21543e-63*ii, -1.26305+1.56727*ii, -.626516-.420811*ii, -.001657-1.13957*ii, -2.09287e-104-6.97624e-105*ii, -.0760672+.157405*ii, -1.42272+.551808*ii
-.173223+1.79508*ii, -.808912+.40953*ii, 3.9067e-103+7.81339e-103*ii, .635689+1.38555*ii, -.071428+4.09954*ii, 2.70578-1.52512*ii, -6.01503e-188-3.59106e-188*ii, -.770504-4.67496*ii, -2.2369+1.48059*ii
.39298-.0283682*ii, 1.19587-.290437*ii, -5.39753e-33-6.66067e-33*ii, -.802885+.262069*ii, .405167-.373435*ii, .130752+.205951*ii, -4.67016e-32+3.81445e-32*ii, -.25842+.190681*ii, -.239957+.914493*ii
-1.15734-.267678*ii, -.101958-1.16734*ii, 1.82226e-87+3.77018e-88*ii, -1.05539+.899665*ii, -.070943+1.52133*ii, -2.5207+.681138*ii, 1.64386e-192+6.02748e-193*ii, 2.13657-2.2279*ii, -1.25242-1.39931*ii
.608249-.438022*ii, .056039-.528861*ii, 1.96364e-90-9.81819e-91*ii, .55221+.090839*ii, -.309395-2.07961*ii, .193129+.983051*ii, 5.36932e-92+4.90909e-91*ii, -.666446+.563455*ii, .142586-1.29878*ii
.628419+.065095*ii, .207366+.0596146*ii, -6.47713e-78+1.07952e-78*ii, .421052+.0054805*ii, .633055-.522388*ii, .132881+.070793*ii, 1.02741e-194+6.4213e-196*ii, -.37068-.986947*ii, .769517-1.0718*ii
-.127637+.514277*ii, -.231517+.646134*ii, -1.15057e-92-3.83523e-93*ii, .103879-.131856*ii, -.670905+1.04907*ii, 1.15293-.352047*ii, -4.89908e-201, -.097587+.628154*ii, -1.14286+.264635*ii
.471691-1.85769*ii, -.674543-2.71644*ii, 2.39702e-94-1.19851e-94*ii, 1.14623+.858747*ii, .810337-.936438*ii, 1.08632-1.32751*ii, 8.56176e-195-3.4247e-195*ii, 4.28918+2.03668*ii, 2.99025-.838592*ii
-.932644-.611131*ii, .0739697+.170979*ii, 1.04321e-32-1.92428e-33*ii, -1.00661-.782109*ii, .339853-.0060695*ii, .967465-.192071*ii, 1.74531e-32-4.35357e-32*ii, .356733-.641253*ii, -.508089+1.3926*ii
.728222+.128316*ii, 1.27944-.210287*ii, -6.19041e-74-1.21597e-74*ii, -.551219+.338603*ii, 3.31843-.446924*ii, .456372-.229065*ii, -4.42172e-75-3.75846e-74*ii, -2.47741-2.46929*ii, -.471138-4.96086*ii
-4.59917-6.84581*ii, -1.31248-3.52224*ii, -2.58523e-126-1.10796e-126*ii, -3.28669-3.32357*ii, -.48616+3.52708*ii, .33633+5.5036*ii, -8.52855e-141+6.56043e-141*ii, -7.90587-.412294*ii, 2.1962-1.01538*ii
-.461008-1.11171*ii, -.742463-.979005*ii, 1.38179e-76-1.72723e-76*ii, .281455-.132707*ii, .941689-1.58048*ii, .966176-.174231*ii, 2.41813e-76-2.07268e-76*ii, .724465-.610628*ii, -.306736-1.16302*ii
1.35253-.320019*ii, .413362-2.38847*ii, 3.45447e-76-1.38179e-76*ii, .939167+2.06845*ii, -.191054+.375657*ii, 1.29973+1.8971*ii, 5.1817e-77-1.25224e-76*ii, 1.53746+1.9343*ii, .566795+1.61508*ii
1.88971-1.17219*ii, .853639-3.77443*ii, -2.8299e-72-4.95232e-73*ii, 1.03607+2.60224*ii, 3.99832+1.7382*ii, -6.19134-1.99312*ii, -3.71769e-119-1.92081e-118*ii, 3.17991+2.89015*ii, -.009358-1.66522*ii
2.09668+1.46466*ii, 1.66821+.399383*ii, 3.16858e-32+9.04264e-32*ii, .428468+1.06528*ii, -.582704+1.41237*ii, .36708+.113037*ii, 5.05397e-175-5.05397e-175*ii, -1.35375-.78948*ii, -.566173-.34895*ii
.987373-.709126*ii, .941389+.843864*ii, -1.4988e-31-7.00746e-32*ii, .045983-1.55299*ii, -.030495-1.04248*ii, -.037201+3.02703*ii, 1.16948e-112*ii, .367105+.124082*ii, .551576-.176721*ii
-2.60983-2.64871*ii, -3.01775+2.37291*ii, -9.9568e-60+2.04115e-58*ii, .407913-5.02162*ii, .407934+.342668*ii, -3.09287+.575223*ii, -5.3618e-194+1.28426e-195*ii, 1.79369+2.5355*ii, 1.08564+.647222*ii
-.052851+.739818*ii, 1.30037+.946124*ii, 9.03181e-47+5.4738e-48*ii, -1.35322-.206306*ii, -.611422-1.13473*ii, .717726-.378023*ii, 7.11597e-47+9.3055e-47*ii, .404722+1.06321*ii, -.009081+1.40536*ii
.468202+.385292*ii, -1.33357-.627943*ii, 1.81114e-69+1.15913e-69*ii, 1.80177+1.01323*ii, -2.9406-1.46915*ii, 3.61008+2.2513*ii, -1.08668e-70+5.20702e-70*ii, 1.19642+1.64631*ii, -2.09975+2.60063*ii
-.972827-.789729*ii, -.0078403+.355455*ii, -6.9279e-33+1.46031e-31*ii, -.964987-1.14518*ii, .323196-2.21302*ii, -1.51243-.055434*ii, -2.72914e-139*ii, -2.56972+.944725*ii, .34967-.410605*ii
