variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
.273698-4.41519*ii, .227618-.583128*ii, .197247+.697961*ii, 3.40984-1.07697*ii, -2.56992+2.36799*ii, -.20209+.122665*ii, 1.80948+3.49003*ii, .189691-1.07859*ii, -1.07634+1.94826*ii, -.629272+.041776*ii
-.0448341+.0274516*ii, -.230818-.395986*ii, 1.06172-.144122*ii, -.497655-3.68563*ii, .996375+.42686*ii, -.151061+2.46969*ii, 2.31615-.367584*ii, -.501484+1.04067*ii, -.091561+1.23695*ii, -.690449+.214199*ii
-6.07612+6.42803*ii, -1.26193+4.60939*ii, .618515-.063935*ii, -6.03115-.04563*ii, 5.28312+1.68656*ii, .104175+.196322*ii, -.11753-9.45166*ii, -.193915-.108966*ii, 1.15204-3.95883*ii, 1.28027-.010216*ii
.025221-.121954*ii, .493475+.592423*ii, .203596+1.48289*ii, -1.2129-.512179*ii, -.158244+.364753*ii, .314098+1.42643*ii, .042978-.991028*ii, -.0308821-.445557*ii, -.621907+.164212*ii, 1.09811+.699543*ii
.628082-7.16131*ii, -1.42712-3.03285*ii, .199065+.589492*ii, 5.05013-2.62623*ii, -4.58794+3.0972*ii, -.170822+.134707*ii, 4.13068+6.08117*ii, -.223678+.167904*ii, -.036465+3.22824*ii, -1.18103+.270998*ii
.245739+.112671*ii, -.396418+.637271*ii, -1.81324+1.46598*ii, -1.96792-2.62532*ii, .0475267-.0938224*ii, -.50955+2.11207*ii, 1.25333-1.5113*ii, .541687+.351112*ii, -.0860671+.0840916*ii, .35632+2.94851*ii
-5.58995-.908691*ii, -.173209+.321062*ii, .66021-.25517*ii, -1.0275-3.19936*ii, 1.68394+3.36191*ii, .151823+.166589*ii, 4.01999-2.62999*ii, -1.46743-1.47034*ii, 1.57607+.801181*ii, -.386608+.377274*ii
-6.34044+6.31732*ii, -1.82815+4.96773*ii, .612952-.074825*ii, -6.22038-.24712*ii, 5.29083+2.0182*ii, .107128+.195385*ii, .26425-9.74556*ii, .183966+.0880341*ii, 1.29601-4.20495*ii, 1.30388+.034985*ii
.0180839-.0438801*ii, -.203579-.356245*ii, -.000185+.977217*ii, 2.39335-2.23131*ii, .000812+1.42878*ii, -1.79389+1.06277*ii, 1.13529+1.40636*ii, -.931277+.645086*ii, -1.00485+.627525*ii, -.504445+.485113*ii
-1.48944+2.50884*ii, .221633-.186125*ii, .990189-.062217*ii, -1.1342+.344938*ii, 1.34115+.255499*ii, .142028+.274168*ii, -.686547-2.262*ii, -1.78662+.426248*ii, .139385-.667569*ii, .253392-.732101*ii
.175143+7.6921*ii, .243726-.10759*ii, -.179034-.67029*ii, -3.3787+2.56365*ii, 2.81649-2.82992*ii, -.180902+.12812*ii, -4.39742-4.88219*ii, -2.46494+2.234*ii, .043108-2.89437*ii, .194715-.303718*ii
.0283875-.00969188*ii, -.245223-.582618*ii, -.798657-.060405*ii, 1.63657+4.99369*ii, -2.52877+.582679*ii, .463037-2.85528*ii, -3.23172+.516378*ii, -.939536-.310486*ii, -.526122-1.41301*ii, -.016151-.769826*ii
.14944-8.2579*ii, -1.81643-2.80054*ii, .183248+.566872*ii, 5.04971-2.65622*ii, -5.08472+3.72935*ii, .159193-.121394*ii, 4.78066+6.16533*ii, .248179-.148695*ii, .195849+3.32565*ii, -1.1509+.304051*ii
-.118681-5.18716*ii, .0859104-.453841*ii, .187504+.667254*ii, 3.22001-.922869*ii, -2.93291+2.72663*ii, .181058-.109407*ii, 2.15488+3.42118*ii, .469573-1.43004*ii, -.860333+2.02556*ii, -.541686+.058338*ii
-.0296434+.00657551*ii, -.204709+.640902*ii, .96327+.014398*ii, -2.80737-4.34782*ii, 1.48975-.06684*ii, .662213+3.45746*ii, 2.74708-1.98891*ii, .551812+.768882*ii, .13204+1.14394*ii, -.191304+.888638*ii
-.381418+.640056*ii, -.330683-.201608*ii, -.934828-1.10958*ii, .177822-1.46035*ii, .376755+.220538*ii, -.478934+.293173*ii, .694634-.623797*ii, -.527126+.682803*ii, .0169411+.14191*ii, -1.76085+.855455*ii
-4.58007+3.33562*ii, -.250267+.198103*ii, .745112-.101308*ii, -2.95498-1.04743*ii, 2.88158+1.23672*ii, .117001+.212028*ii, .991653-4.81453*ii, -2.40143+.034239*ii, 1.55148-1.06296*ii, .489623-.0168746*ii
-2.6929-.334855*ii, .223214-.171545*ii, .77352-.352098*ii, .732379-1.14039*ii, .619656+2.08171*ii, -.145919-.176615*ii, 1.51729-.646853*ii, -1.41773-.691425*ii, .23224+.554218*ii, -.644928-.496594*ii
-4.05204+9.71613*ii, -.176877+5.78579*ii, -.279565-.533073*ii, -7.30287+2.77321*ii, 6.06828-.742619*ii, .143969-.165495*ii, -3.99409-10.991*ii, .170795+.112035*ii, .042875-5.56983*ii, 1.21223+.013859*ii
-5.57856+3.4238*ii, -.201978+.192398*ii, .704729-.122251*ii, -2.69793-1.13187*ii, 3.17068+1.79562*ii, -.116422-.187271*ii, 1.29479-5.04037*ii, -2.81303-.28633*ii, 1.77628-1.1162*ii, .431472-.0433083*ii
.0197354-.0337043*ii, .519854+.20269*ii, -.84157+.028967*ii, -.819857+5.35811*ii, -2.22116-.230084*ii, 1.70793-2.28935*ii, -3.58013-1.14546*ii, -.25859-1.17324*ii, -.339395-1.42563*ii, .649969-.340579*ii
.592105+5.45868*ii, -.282136+.063105*ii, -.193333-.778036*ii, -2.04076+1.79918*ii, 1.72692-1.92712*ii, -.212145+.137724*ii, -3.19088-3.2739*ii, -1.48402+2.08239*ii, -.229727-2.19988*ii, -.321127-.285882*ii
.0541069-.038036*ii, -.35761+.749206*ii, -.223925+1.22916*ii, -1.02642-2.57736*ii, .351848+.586171*ii, -.434899+2.15491*ii, 1.43756-.931268*ii, .364611+.405171*ii, -.456876+.317471*ii, .372178+1.40419*ii
