variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
.226544+.36852*ii, -.341024+7.02792*ii, -1.46966-.685615*ii, 2.59932+.238055*ii, -.357512+1.46302*ii, -.363402-.195227*ii, .501134+1.01183*ii, .0253529-.0456478*ii, -1.70864-7.22232*ii, 1.14652+.162033*ii
-.203597+.0308513*ii, 1.33384-1.76443*ii, -.308662+.0664021*ii, -2.54505-1.22998*ii, .618175-2.34056*ii, -.422776-.640444*ii, .55611+.171903*ii, .056905+.104809*ii, -1.03577+2.20585*ii, -1.12682-.11779*ii
1.87229+.08606*ii, -.0108217-.159485*ii, 1.61396-.173349*ii, -.326579-.180305*ii, -.331013-.0326036*ii, -.320832-.0841935*ii, -.595932-.365688*ii, -1.7033-.608169*ii, .0590543+.0335977*ii, -1.60696-.863112*ii
-.00375923+.00899069*ii, -.0294276+.0285917*ii, .693434-.418506*ii, -1.14748+.485825*ii, -.3531-1.32148*ii, -.35316+.233197*ii, -.00005425-.012143*ii, -.928473+.015451*ii, .239249-.0409607*ii, -.466989+.144823*ii
-.377843-.429825*ii, .0570794-.0572322*ii, -1.32081+2.53894*ii, .716649-.337001*ii, .0595593-.0303098*ii, -.432106+.687474*ii, -.415633-.1807*ii, 2.4103-1.57574*ii, -.911405-.19203*ii, -.30791+.167093*ii
.491052-1.1819*ii, 1.20747-.486291*ii, .140615+.177691*ii, -.064604-.510051*ii, .586503-.29337*ii, -.358213+.650085*ii, -.634553-.174107*ii, -.10645+.187326*ii, -1.26355+.478121*ii, -1.16726+.012324*ii
.0197363+.395913*ii, -.132689-.0264712*ii, -.966322-.953911*ii, .289274+.478265*ii, -.758127-.63552*ii, .250928-.0573994*ii, -.183642+.123967*ii, .570123+1.05915*ii, .052543-.724196*ii, -.339712-.38487*ii
-.623818+1.69376*ii, -1.80135+7.14111*ii, -1.94035-1.95562*ii, 1.00366-1.2189*ii, -.00819049-.0165147*ii, .398286-2.18911*ii, 1.43842+2.46034*ii, -.0214282+.0763031*ii, -.588797-7.33062*ii, 1.17417+.193852*ii
-2.17127+.532101*ii, .004401+.545285*ii, .0223947-.0210952*ii, .132924-.384952*ii, .250717-1.48914*ii, 1.05833+.525145*ii, -.083781+.906564*ii, .450322-.404016*ii, -.312747-.680406*ii, .992214+.212923*ii
-.185322-.680075*ii, .188978-.194987*ii, -.010434+.872575*ii, -.11825-.730998*ii, .539951-.533428*ii, -.126097+.402649*ii, -.475219+.215889*ii, .510159-.765513*ii, -.616979+.144954*ii, -.746971+.218962*ii
-.25142+.0150743*ii, 1.54619-1.23094*ii, -.228084+.124981*ii, -2.48561-1.73383*ii, .980754-2.25918*ii, -.365778-.787137*ii, .651068+.39845*ii, -.0892859-.124058*ii, -1.46386+1.86387*ii, -1.07862-.126046*ii
.235538+.360929*ii, -.304523+7.00998*ii, -1.46192-.773686*ii, 2.57923+.28506*ii, -.378171+1.44183*ii, -.365216-.184968*ii, .504621+.998061*ii, -.0253453+.0455329*ii, -1.70772-7.21036*ii, 1.14622+.159174*ii
1.0056-.166941*ii, .064013+.141024*ii, 1.43642+.238513*ii, -.436932-.231441*ii, -.0159425-.347203*ii, -.325273+.22309*ii, -.478017-.159796*ii, -1.31928-.878389*ii, -.139263-.0810433*ii, -1.11074-.354364*ii
.180016-.064798*ii, -.0663667-.0856319*ii, 1.39259+.056366*ii, -1.12089-.090768*ii, .023794-1.14161*ii, -.239495+.234868*ii, -.20766+.0562916*ii, -1.2795-.744476*ii, .165512+.24942*ii, -.714948+.026271*ii
-.958708+.177193*ii, .10368+.117391*ii, 3.71953+.688353*ii, 1.67385+.387237*ii, -.00333593-.00921507*ii, 1.51038+2.25797*ii, -1.67335-.074652*ii, -2.09877-1.93861*ii, .161364-.219593*ii, .701828-.565906*ii
-10.7844+1.54772*ii, .139158+.214951*ii, .0000696061-.000296942*ii, .0057822-.290498*ii, 1.43853-5.43256*ii, 4.42716+2.71916*ii, .387251+3.14179*ii, 2.31395-.645828*ii, -.00758934-.00240837*ii, 6.34771+2.2775*ii
-.260521+.0712392*ii, -.666281+2.41059*ii, .0323213+.0897619*ii, 2.31209+2.53696*ii, -1.62804+.73596*ii, -.027867+1.79047*ii, -.78308-.496221*ii, .1331+.0016961*ii, .330097-3.26435*ii, 1.03457+.087570*ii
-.191829-.487682*ii, .194589-.0591956*ii, -1.00723-.69406*ii, -.685706-.226298*ii, .123483-1.07396*ii, -.245704-.163045*ii, .0211764+.377817*ii, .51785+.908485*ii, -.387056-.230934*ii, -.730531+.323287*ii
-.282474+.69906*ii, -.0421682-.0113688*ii, -.594224+.972453*ii, -.0333501-.0116367*ii, -.50415-.791185*ii, -.0127902+.0713941*ii, .0175553-.0200266*ii, .997336-.821254*ii, -.315898-.248243*ii, -.0784138-.384165*ii
1.14039+1.76399*ii, .0307707+.0886629*ii, 2.13252+1.12448*ii, -.247158-.0659974*ii, -.904302-.473471*ii, .120712-.0445182*ii, -.165437-.511246*ii, -1.54227-2.21687*ii, -.0109684+.0487608*ii, -.446673-1.56719*ii
-.186665-.508172*ii, -.15423-.174318*ii, 1.32132-.774394*ii, -1.12906-1.14088*ii, .866564-1.25139*ii, .301269-.137391*ii, -.36901+.786719*ii, -1.36746-.218189*ii, .071004+.297398*ii, -1.00659+.251653*ii
-.341707-.130428*ii, -.444023+.258802*ii, -.0896786-.0068616*ii, -3.31286-.833718*ii, .51934-2.52456*ii, -1.10075-1.06533*ii, 1.02329+.716976*ii, -.50567-.556596*ii, .201272+.351095*ii, -.944211+.95102*ii
1.14318-.830792*ii, -.0297461-.202347*ii, 1.43599-.355686*ii, -.427155-.341374*ii, .273083-.233809*ii, -.293774+.278233*ii, -.771927-.035377*ii, -1.46495-.249747*ii, .0306278+.115856*ii, -1.55112-.087333*ii
