variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
.593132-.478778*ii, -.243305+2.04451*ii, 1.60007+1.39596*ii, -1.77527-1.05592*ii, -.0764738-.116385*ii, .879195-.582487*ii, -1.55852+.223661*ii, .206834-.039717*ii, .661083-1.33537*ii, -.237354-1.37761*ii
-1.15664+.264142*ii, .173064+1.80746*ii, -1.36032-.686262*ii, .897681-.914753*ii, -.0634447+.371593*ii, .594637+.041586*ii, -.796669+1.29515*ii, .21485-.0944579*ii, -.668269-.102386*ii, 1.19744-1.53763*ii
4.10541-.656697*ii, -6.14391+1.458*ii, .178886-.690103*ii, -1.20302-1.33148*ii, -2.53755-2.66501*ii, .258346+.205371*ii, -5.81328-4.67623*ii, -.0808831+.125715*ii, 1.33552-3.11657*ii, -.729873+1.44949*ii
.904809-1.51901*ii, .0394191-.144377*ii, -.694413-.26638*ii, -1.0803-.406975*ii, -1.47326+2.88658*ii, .143505-.235946*ii, -1.59566+1.27275*ii, -2.71682+1.87139*ii, -.383485+.522318*ii, .104224+.561937*ii
.955303+.002383*ii, -.324188+.926244*ii, 1.75837+.802571*ii, -.498855-.667076*ii, .0521321-.17713*ii, .4747-.38251*ii, -.474968-.638449*ii, -.311535-.0403856*ii, .470197-1.59707*ii, .022985-.912729*ii
1.15635+1.1513*ii, .0918542-.0104107*ii, .356395+.925393*ii, .132933-.0609854*ii, -1.22032+.616712*ii, -.0721167-.109432*ii, .22393+.0825252*ii, -1.75035-.521185*ii, .776956-1.08637*ii, -.285856-.127157*ii
4.14617-.721861*ii, -6.3235+1.82305*ii, .172378-.669317*ii, -1.26464-1.35329*ii, -2.77097-2.93772*ii, .256464+.199738*ii, -6.22031-4.69806*ii, .0832821-.120663*ii, 1.32405-3.30085*ii, -.70992+1.45359*ii
.27615-1.76301*ii, -.0284846+.169642*ii, -.676482-.203842*ii, -.989827-1.20501*ii, -2.41454+2.90903*ii, -.204291+.226342*ii, -2.39778+1.41231*ii, -3.04281+1.40474*ii, -.545151+.900619*ii, .472146-.0903024*ii
.742773-.129875*ii, -.267488-.342639*ii, -.44806+.992531*ii, 1.51209-.888043*ii, .986768+.303801*ii, .0786733-.492099*ii, 1.00781-.855997*ii, -.279563+.870409*ii, .0089014-.275151*ii, 1.40496-.509018*ii
.736603-1.29888*ii, -.0006413+.161965*ii, -.642174-.155248*ii, -1.92417-1.24972*ii, -3.5015+3.01943*ii, -.173401+.299225*ii, -3.04059+1.57872*ii, -3.83295+.951854*ii, -.196927+.857836*ii, -.507011+.056432*ii
1.53372-.904847*ii, -.0008622+.163719*ii, -.696352-.188809*ii, -1.35518+.100972*ii, -2.48779+2.5326*ii, .0655811-.283163*ii, -1.98709+1.38109*ii, -3.12813+.998432*ii, -.130335-.0954659*ii, -.544238+1.06628*ii
-1.89618-1.98119*ii, .423668+2.32688*ii, .272735+1.03188*ii, -.061403-.99589*ii, -.767487+.783304*ii, -.324-.17541*ii, -1.85662+2.01003*ii, .235204-.0556731*ii, -.428097+.175903*ii, 2.08947-1.69146*ii
.825118+1.18048*ii, -2.7933+2.03642*ii, -.974551-.023788*ii, -.479018+1.63949*ii, -1.4354+.105279*ii, .255413+.358629*ii, -2.33063+.787304*ii, .0706025-.140008*ii, 1.86972-2.40565*ii, -.176854+1.25429*ii
.247392-1.57571*ii, -.0509403+.149923*ii, .601485-.478484*ii, -.708164-.884051*ii, -1.2646+2.65043*ii, .0628719+.275607*ii, -1.56821+.897157*ii, -2.44199+1.62573*ii, -.505013+.093842*ii, .569757-.333651*ii
-1.66352-.420632*ii, 1.41705+.700579*ii, 1.24271-.461453*ii, -.187465-.642985*ii, .276496+.501169*ii, .106489-.359468*ii, .041391+1.14847*ii, -.223317-.0711002*ii, -.500952+.060646*ii, .6015-2.01704*ii
1.18142+1.49685*ii, .121507+.0125668*ii, .267572+.898325*ii, .266914-.0808582*ii, -1.2359+1.04591*ii, .072331+.155021*ii, .436369+.304002*ii, -2.02152-.412275*ii, .82927-1.16769*ii, -.29998-.175024*ii
-2.32737+2.37637*ii, -1.07976-.128636*ii, -2.43863-3.59661*ii, .313213+.0123888*ii, .0158698+.00349387*ii, .457984+.705069*ii, -.758402+.715477*ii, .154646+.285299*ii, .455424+.627877*ii, -.564287-1.29003*ii
4.22146-.251896*ii, -5.1076+1.00463*ii, .576694+.51709*ii, -.899553-1.08767*ii, -1.67194-2.33169*ii, .292917-.123825*ii, -4.07141-4.36498*ii, -.0921602+.133474*ii, 1.60294-3.08757*ii, -.631246+1.31058*ii
4.23325-.806134*ii, -6.25558+.514783*ii, .134384-.656688*ii, -1.03281-1.55784*ii, -2.5201-3.64003*ii, -.243331-.20269*ii, -5.62798-5.76215*ii, .0722536-.138551*ii, 1.38796-2.65866*ii, -.830493+1.50665*ii
-.300091-1.86603*ii, -.389133+2.4784*ii, -.969618-.073145*ii, -.229861-1.70442*ii, -1.4134+.324804*ii, .314177-.309025*ii, -3.11153+.940409*ii, -.23708+.0739851*ii, -1.11391+.045927*ii, 1.37934-1.1313*ii
4.22274-.730549*ii, -6.12936+.08397*ii, .132556-.676248*ii, -.962213-1.54687*ii, -2.2352-3.40652*ii, -.245691-.207249*ii, -5.19324-5.82909*ii, -.0664113+.142838*ii, 1.42981-2.46479*ii, -.860189+1.51737*ii
-.164892+3.36633*ii, -.229261+.746371*ii, -4.35497+.411309*ii, .427697-.175651*ii, -.0152979-.00444042*ii, .985279-.292958*ii, .520775+1.46874*ii, .172236-.524996*ii, 1.30367+.453891*ii, -.644013-.620603*ii
1.26067-1.19378*ii, -.0156135+.138307*ii, .528891-.466609*ii, -1.24952-.197686*ii, -2.13936+3.14089*ii, .164698+.219159*ii, -1.81124+1.24244*ii, -3.37033+1.47704*ii, -.295081-.408029*ii, -.225662+.583077*ii
