variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
c0+c2*Rad^2
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
.36116-.13106*ii, -.235512+.471475*ii, -1.03606-1.54022*ii, -.959105-.975792*ii, .793004+.31647*ii, -.108837-1.45706*ii, 3.06139e-16+4.51471e-17*ii, -.0552788-.363392*ii, -5.34339e-17-2.47834e-16*ii
-.127704-.291994*ii, -.176146-.159741*ii, .61702-1.35508*ii, -.327358-.999632*ii, -.242416+1.13202*ii, .420775-.514658*ii, -1.43815e-16-3.4615e-18*ii, .087138-.692015*ii, -8.49531e-17+1.27683e-17*ii
.383065-.894359*ii, .687217+.288689*ii, -.599546+.888857*ii, -.657775-.087529*ii, -.805038-.810672*ii, -1.22476-.305011*ii, 1.7757e-16+9.44403e-17*ii, .472316-.299985*ii, 4.12922e-17-2.12338e-16*ii
-1.41044+4.0142*ii, -.254109-.039629*ii, 8.38459-2.99374*ii, 4.99295-.381464*ii, 2.60099+3.12711*ii, 6.9034-.373736*ii, -1.84552e-279+3.30541e-280*ii, -.61001-.649806*ii, 1.38276e-278-5.28866e-279*ii
-.322929-1.27102*ii, -.294398-.446277*ii, -.470387+.162881*ii, -.701683+.598741*ii, .260599-1.54434*ii, -2.4759+1.30927*ii, -1.33976e-229+2.06117e-230*ii, -.252658-1.80776*ii, -4.12234e-230+5.66821e-230*ii
-.128754-1.63903*ii, 2.25969+1.4692*ii, .749027-1.90437*ii, -.852789+.229706*ii, -.700534-.345292*ii, -.570008-.548494*ii, 2.11199e-247+6.75654e-248*ii, -1.389-.41611*ii, -1.79158e-247+3.19461e-247*ii
-2.63181-1.57165*ii, -.147729+.429292*ii, .873434-.359737*ii, -1.25632-1.75591*ii, 2.0173-1.6378*ii, 2.12971+2.1342*ii, 4.56882e-215+3.19998e-215*ii, -.197494-.441746*ii, -6.12802e-215-2.23002e-215*ii
2.44694+.96741*ii, .204787+.421485*ii, -.510318+4.51462*ii, -1.89896-.177525*ii, -.85912-2.20839*ii, 1.70361+1.54694*ii, 0, -.137439-2.53124*ii, 0
-3.57361+1.45071*ii, 1.41103+3.87036*ii, 1.86368-2.87086*ii, -.826869+1.21825*ii, .671753-.696403*ii, -.687881-2.3125*ii, -1.22796e-202+7.01691e-203*ii, -1.51732-2.21729*ii, 1.2758e-202-3.8274e-202*ii
.494654-.381289*ii, -.285869-.32849*ii, .22744-.495593*ii, -.945182-1.01215*ii, -.871616+.821287*ii, .096239+.517382*ii, 8.05299e-177-1.3376e-176*ii, .216124+2.4084*ii, 2.20459e-177+1.55854e-176*ii
.495633+.598659*ii, -.526352+.09064*ii, -1.15639-.356241*ii, .211747-2.21618*ii, -1.0439-.604511*ii, .929608+.452693*ii, 5.17395e-239-2.87942e-239*ii, -.404758+.216401*ii, 7.19854e-239
3.35501-.821323*ii, -.23908+.437318*ii, -2.21654-1.90278*ii, .306051+.671844*ii, 2.40887+1.06191*ii, 1.80631-.759553*ii, 8.43376e-80+2.53013e-80*ii, .83934-2.68353*ii, 9.27713e-80+2.0241e-79*ii
-1.28172+.274518*ii, 1.37708+1.78727*ii, .248228+.254932*ii, 1.03285-1.43093*ii, -.644708+.406584*ii, -.925351+.97639*ii, -1.95313e-55-4.77928e-55*ii, -.342279-.391169*ii, -2.31197e-55+1.17172e-55*ii
-3.20056+4.14738*ii, 1.88326+.680206*ii, -4.68866+5.43917*ii, 1.64793+1.73999*ii, -1.30691+.953042*ii, 1.90056+3.77289*ii, -4.14021e-171+3.72619e-170*ii, .082668-1.46425*ii, 2.31852e-169+2.93955e-169*ii
-1.72473+.2155*ii, -1.62073-.972259*ii, -2.61429-.699408*ii, 1.03848+6.25007*ii, -.312858-.90652*ii, -.147717+1.14978*ii, -7.59895e-95+5.61801e-95*ii, -2.60822-.005048*ii, -1.29214e-94+7.49068e-95*ii
.344913+.369302*ii, -1.51089-1.96886*ii, -3.11396+2.19227*ii, -.268073-.757875*ii, -.450708+.0218136*ii, .180212-3.247*ii, 3.06192e-202+2.04128e-201*ii, -2.35994+.500252*ii, 7.14449e-201+1.22477e-201*ii
-2.80571+1.64866*ii, -.210918-.0819047*ii, -2.58214+1.45033*ii, 1.40364-.230228*ii, -1.65242-3.41352*ii, .595279-1.91811*ii, 3.15214e-321+2.99404e-321*ii, 1.10976+1.53587*ii, 8.48805e-321+1.04248e-321*ii
-.787737-.344666*ii, .252675+.349839*ii, .0372533-.419819*ii, 1.076+1.27402*ii, -1.36175+.371634*ii, .365544-.5697*ii, 3.54916e-271-7.09831e-271*ii, 1.76465-2.2529*ii, 7.09831e-271-5.91526e-272*ii
-.659303+.025119*ii, 3.66321-3.68013*ii, .024932-3.39116*ii, .846663-.514755*ii, -.331713-.130498*ii, -2.09553-1.50263*ii, 9.10442e-159-5.46265e-158*ii, 2.47256+1.35598*ii, 1.58758e-157+2.73133e-158*ii
1.75551-1.92102*ii, -.568037+2.2566*ii, 1.30871-1.49557*ii, 3.18164-2.16556*ii, 1.02544+.25846*ii, .562268+3.34309*ii, 2.48413e-169+2.48413e-170*ii, -2.17116-.949368*ii, -3.9746e-169+3.47778e-169*ii
-1.50595-2.69678*ii, -1.43422-1.21438*ii, -1.66485+1.15575*ii, 2.2213+1.35859*ii, -.22884+1.26144*ii, -.553979+.538186*ii, -5.29973e-193-5.92473e-193*ii, 1.08705-.729568*ii, -1.31765e-192-8.67734e-193*ii
-1.17849+.86326*ii, -1.21385+.669804*ii, 1.30026-.326926*ii, .892563+.753724*ii, -.065647-1.0244*ii, .255471-.0103639*ii, 0, 4.39168+1.46297*ii, 0
-.404203+.153323*ii, .416329+.238638*ii, 1.16128-2.44328*ii, -.283665-.906963*ii, -.858126+.405579*ii, 1.35911+.085431*ii, -1.7385e-114-4.5886e-112*ii, -.38681-.860374*ii, 1.0885e-111+3.6658e-112*ii
