variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt*F-1
.9989*c^2*F0^2-.9976*c^2*F^2-1.0057*F0^2*v^2
points:
-4.20077-.459805*ii, .932821-1.76536*ii, -.893825+.926486*ii, -2.33429-.407727*ii, -2.36446-.759367*ii, -.305615-.156524*ii, .233987+.442818*ii, -3.22841+1.38851*ii
1.71649-.131354*ii, -.787222+1.05447*ii, 1.87152+1.44438*ii, 1.71858-.079042*ii, .851766+2.45041*ii, -.448254-.632157*ii, -.454614-.608948*ii, .060252-.642319*ii
-.150831-.440418*ii, 1.05237+.955984*ii, .31819+1.25952*ii, -.23694-.987037*ii, .104754+1.20888*ii, .24509-.498497*ii, .520617-.472934*ii, -1.03388-.74217*ii
-1.11821-1.50717*ii, 1.99152+.14552*ii, -2.26506+.305522*ii, -1.56924-1.91857*ii, -1.14045-1.20908*ii, 1.04095-.908996*ii, .499463-.0364957*ii, -1.19526-1.11259*ii
-.559484+.895967*ii, .603124+.95044*ii, 3.01524+.830471*ii, .44543-.143269*ii, 1.51137+2.41795*ii, -.395352+.628355*ii, .47599-.750094*ii, -1.59308+.967645*ii
-2.49146+1.823*ii, 1.57567-1.20321*ii, -2.06094-5.00783*ii, -1.55903-1.49645*ii, -.132022-3.83571*ii, 2.64359+1.69851*ii, .400887+.306126*ii, .137938+3.77359*ii
.443262+.832259*ii, .869967+.594917*ii, -1.64527+.332299*ii, -.509954-.809562*ii, -.770255+.268456*ii, 1.57129-.620948*ii, .783212-.535591*ii, .673866-.165922*ii
-3.88574-1.51807*ii, .83449-1.79274*ii, -1.98098+2.89169*ii, -2.65121-.388032*ii, -3.62139-.279698*ii, -.6449-1.37789*ii, .213409+.458468*ii, -3.40425-.262037*ii
2.65042-.951766*ii, -1.2333+1.27193*ii, -.38141+3.05539*ii, 1.56505-.249026*ii, -.897081+2.56412*ii, -.200288-2.01951*ii, -.392916-.405224*ii, .983758-2.50091*ii
.201351-1.20448*ii, 1.54042+1.52506*ii, .583494-.119748*ii, .133252-1.89971*ii, 1.22347+.379429*ii, .448327-.0826016*ii, .32784-.32457*ii, -.953942-.972978*ii
.321987+.421225*ii, .713777+.752001*ii, -.195697+1.60105*ii, -.230252-.454235*ii, -.399092+1.51711*ii, .608716-.749155*ii, .663989-.699547*ii, -.283054-.543488*ii
1.08276-1.15711*ii, .887136+2.49665*ii, 2.46564-.10141*ii, 1.42091-1.83593*ii, 2.5544+1.64742*ii, -.1613+.371563*ii, .126368-.355634*ii, -.785845-1.03373*ii
3.13621+1.91544*ii, -1.17749+2.4691*ii, 1.94374-2.75488*ii, 3.11429-.895109*ii, 2.85496+1.3128*ii, 1.31465+1.26637*ii, -.157357-.329964*ii, 2.81983+1.25052*ii
.331234-1.91889*ii, -.524361-.43078*ii, -3.11331-1.85011*ii, .327263-1.88524*ii, -1.49739-2.68732*ii, 1.07821-.879007*ii, -1.13861+.93541*ii, .91245-.551056*ii
2.70468+1.41953*ii, -2.00225+1.95638*ii, 1.74274+.07832*ii, 2.83126-.030910*ii, 1.16646+2.71375*ii, .259491+.177315*ii, -.255506-.249652*ii, 2.03488+.317583*ii
-.387752+.0529641*ii, -.967961-.791237*ii, -1.76981-.744278*ii, .145701-.499602*ii, -1.67118-.986458*ii, .723377-.451616*ii, -.619295+.506228*ii, .522043+.852059*ii
1.08556-.548186*ii, -1.03937-.096435*ii, -.542441-.247*ii, 1.13982-.531733*ii, -.492158-.0563923*ii, .312575-.752438*ii, -.953907+.088505*ii, .707033-.122238*ii
1.48212-.578578*ii, -.90396+.091128*ii, .230667-.625678*ii, 1.51341-.577923*ii, .336884+.0588133*ii, .243835-.549726*ii, -1.09511-.110398*ii, .69603-.05111*ii
.17732+.859192*ii, .93658+.768313*ii, -.303829-.376501*ii, -.146505-.893255*ii, .273298+.375493*ii, 1.23682+.043071*ii, .638221-.523557*ii, .188584+.43308*ii
-.662178+.188417*ii, -.844913-.538223*ii, .001246-2.15412*ii, .705724-.705734*ii, -.083399-1.09334*ii, .439092+.590357*ii, -.841914+.536313*ii, .053835+1.83811*ii
