variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
.77637-3.5106*ii, -.0661352+.0650974*ii, 1.88082+1.08247*ii, 4.53239-2.7528*ii, .760887-.718324*ii, .602427-.094569*ii, -2.15617-.995546*ii, -4.81215+3.13236*ii, .073227-2.57557*ii, -.0842225+.209381*ii
-1.92933+.520978*ii, .102625-.145809*ii, -.886043-1.23014*ii, 1.45729-1.51105*ii, .77442+1.07998*ii, -.39739-.089446*ii, .172393+1.19444*ii, -.213588+2.1195*ii, .0105043-.0655196*ii, .439027-1.8993*ii
.983398-3.63715*ii, -.0554833+.0639224*ii, 1.96764+1.1245*ii, 5.53677-2.41232*ii, .888012-.603586*ii, .619958-.104224*ii, -2.16946-1.08392*ii, -5.63311+2.95535*ii, .545651-2.9293*ii, .193418+.0525606*ii
.950622+.717029*ii, -.0274109-.0637699*ii, .675129+2.36765*ii, 3.51843+3.48666*ii, .749846+.136809*ii, -.609823+.220057*ii, -.603043-.336652*ii, -3.26892-2.53986*ii, 3.78938+.141788*ii, -.135999-.0859703*ii
1.41857-.759581*ii, 1.47619+.904298*ii, -.924901-.24028*ii, -.621027-.550831*ii, 1.46915+1.0381*ii, -.276583+.0199127*ii, .469511-1.03162*ii, -.0923586+.191527*ii, -1.2747+.019214*ii, -.386097+1.33092*ii
.720513-3.7456*ii, -.0632414+.0551481*ii, 1.94266+1.02131*ii, 5.09771-3.63222*ii, .905093-.818546*ii, .59974-.111574*ii, -2.24569-1.01618*ii, -5.1844+3.86959*ii, -.153777-3.11477*ii, -.175521-.0851097*ii
-2.14651-1.485*ii, -.150258+.112277*ii, 1.18907-.966544*ii, .712785-1.09744*ii, -.465456+.458142*ii, .10519-.444014*ii, -1.47318+1.25622*ii, -.730187+2.45869*ii, -.256855+.177597*ii, .921512-.016945*ii
-2.00198-1.0402*ii, -.000143-.5161*ii, .02858+1.66229*ii, -2.01549+1.11919*ii, .053120-.766473*ii, -.147868-.515293*ii, -1.96023+.08891*ii, .938211-.021006*ii, .191545+2.9224*ii, -.0162648+.498952*ii
-.387118-.371883*ii, .649632+.903177*ii, .375063-.939675*ii, -.763133+.905489*ii, -.036893+1.32175*ii, -.223931-.301336*ii, -.181779+.590955*ii, .244348-.0030899*ii, -.125756+.774854*ii, .541152+1.30823*ii
-1.88724+.507265*ii, .117542-.147365*ii, -.881261-1.17767*ii, 1.22558-1.36473*ii, .73942+1.05383*ii, -.384313-.0809466*ii, .154959+1.15513*ii, -.089926+1.97814*ii, -.0162+.0795172*ii, .424058-1.76215*ii
.077507-2.49567*ii, .142075-.15989*ii, 1.17307+.86083*ii, .797249-.467109*ii, .21989-.482461*ii, .436694-.0043453*ii, -1.78849-.584372*ii, -1.86847+1.19386*ii, -.206596+.120267*ii, .177629+1.11077*ii
.504601-4.04915*ii, .067042-.0504179*ii, 1.91958+.933141*ii, 4.84308-4.25141*ii, .969611-.977327*ii, .580122-.112638*ii, -2.40368-1.03405*ii, -5.00002+4.41074*ii, -.644708-3.12146*ii, -.162958-.103267*ii
-.547873+.870432*ii, .261485+.0396068*ii, -1.17741-.28191*ii, -.85944-.000575*ii, .743854+.842442*ii, -.271871+.163302*ii, .493585+.323908*ii, .994685+.140221*ii, -.133065+1.1237*ii, -.399878-.413073*ii
1.21118+.777951*ii, -.0253115-.0538666*ii, .90209+2.60268*ii, 4.09052+4.48629*ii, .701592+.216091*ii, -.648982+.238525*ii, -.653127-.386031*ii, -3.84992-3.28363*ii, 4.50337+.163863*ii, .116685+.0711518*ii
.000324276-.000596626*ii, .0021029+.0383585*ii, -.420004+.0234229*ii, .109787-.0232101*ii, .543527+.564831*ii, .107211+.206627*ii, .000593165+.00163525*ii, -.231977+.295117*ii, .127513+.512115*ii, -.319412-.0303172*ii
.489243-2.02816*ii, -.136324+.159587*ii, 1.23782+1.02281*ii, .839681-.596908*ii, .128628-.403862*ii, .490828-.011315*ii, -1.515-.605565*ii, -1.82936+1.0397*ii, .0023967-.199664*ii, -.415172+1.14636*ii
.41592-.242656*ii, .163735+.0293052*ii, -.877078-.710378*ii, 1.81944-.122683*ii, 1.03806+1.17345*ii, .289939+.283106*ii, .489033-.174494*ii, -1.40779+.511446*ii, .281891-.342698*ii, .367935-.628288*ii
-2.12668-2.60324*ii, .107339-.132591*ii, 1.64666-.882783*ii, 1.67783-.548121*ii, -.414228+.313149*ii, .215454-.493234*ii, -2.10341+1.01056*ii, -1.9137+2.43385*ii, -.0275857+.0667797*ii, 1.80828+.262946*ii
1.40189-.474164*ii, .613332+.871372*ii, 1.83381+1.14349*ii, -1.27187-.013141*ii, -.202096-.208206*ii, -.444134+.354594*ii, -.803397-.295802*ii, -.211374-.213205*ii, -.160904+.0066338*ii, -1.46481+2.68551*ii
-.238708+.464873*ii, -.707585-.417774*ii, .574043+1.10148*ii, -.095288+.65082*ii, -.186444-.278257*ii, .0885086+.493886*ii, -.629329+.335846*ii, -.249541-.253032*ii, 1.11694+.938343*ii, -.88948+.073716*ii
-.433598+.440754*ii, -.0970572+.165334*ii, .993224-.866289*ii, .892322-1.70903*ii, -.144342+.59316*ii, -.285174+.547951*ii, -.033888+1.13567*ii, -.511783+1.85295*ii, -.034491-.913658*ii, -.522698-.152731*ii
-.438124+.0229097*ii, -.336078-.657287*ii, .105279+1.11336*ii, -.975106+.041511*ii, .133598-.524528*ii, .049997+.504227*ii, -.751979+.04619*ii, .367463+.173885*ii, .229528+1.35946*ii, -.860069+.132361*ii
.486222-2.22936*ii, -.0309427+.0509691*ii, 3.41414-1.73531*ii, 4.93463-5.67468*ii, -.273546+.0175895*ii, .170463+1.05433*ii, -1.09998+.996655*ii, -4.31534+5.59362*ii, -1.01826-4.80067*ii, -.121863-.0482943*ii
