variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-theta*L+d
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
-.249689-.0515926*ii, -.898517-.12505*ii, .107738+.105642*ii, -.026335+.982777*ii, -.23189+.774039*ii, -.954911+.16067*ii, .0275162+.314336*ii, .189387+.966571*ii, .201397+.205748*ii, .252039+.0488303*ii, -.15523-.210053*ii
.387344-.483479*ii, -.21102-.401928*ii, -.223626-1.25788*ii, -1.49048+.431003*ii, -.322813-.215906*ii, -.413415-1.13076*ii, -.136942+1.5893*ii, .053516+.774125*ii, -.014581+.802225*ii, -.128516-.298976*ii, .325513-.163425*ii
2.5444-6.10124*ii, 2.6691+1.74795*ii, -1.86191-1.77639*ii, -7.01781+1.75001*ii, -.77868-.736033*ii, .930387-6.44216*ii, 2.18576+5.76931*ii, -.340324+.833107*ii, -.455283-1.0214*ii, -4.08945-.849511*ii, .570159-3.52203*ii
-1.111-6.98289*ii, .666088-3.19625*ii, -1.00674+.016297*ii, -2.88607+.068524*ii, -2.0507-2.28718*ii, -.244956-5.95542*ii, 1.93391+1.2482*ii, .035861+2.06435*ii, .592996-.898238*ii, .484068+1.65422*ii, -2.476-2.49367*ii
3.13918+3.05091*ii, .403794-.761733*ii, -1.52399-3.87281*ii, -1.18681-.353328*ii, .569119-1.28598*ii, .633485+.637369*ii, -1.0805+2.91926*ii, -.637179-.347347*ii, .710291+3.79316*ii, -.323054-.832255*ii, 3.17618+.990604*ii
-.172816-.0019844*ii, .948957+.612962*ii, .585257+.301839*ii, .584394+.261417*ii, 1.26054+.84887*ii, .0380379+.0417203*ii, -.0950515+.0624351*ii, .0808469+.0352253*ii, -.421484-.0125292*ii, -.049642+.639501*ii, -.39229-.270243*ii
-.460527-.242535*ii, -.380081+.806395*ii, -.13317-.48062*ii, .156585-.335239*ii, .124567+.884194*ii, .162453-.323757*ii, -.340912+.472815*ii, .978595+.027500*ii, .178648+.165231*ii, .343564-.0160366*ii, -.201142+.0812599*ii
.189298-6.46726*ii, -1.93441+2.12147*ii, -.261569-5.05654*ii, .303294-.591907*ii, -2.1655-.46119*ii, 3.32524-2.59354*ii, .524821+2.87473*ii, 5.75045+2.6713*ii, .08528+.715937*ii, -.914137+.337643*ii, -1.6838-1.204*ii
-2.99226-7.21493*ii, -4.33329+.149502*ii, -.799457-4.01907*ii, -.11878-.541266*ii, -4.54746-.399567*ii, .964645-3.71259*ii, .791304+1.51705*ii, 6.17081+3.13638*ii, .710232+.135234*ii, 1.0372+.293094*ii, -3.09786-.479828*ii
8.50779+1.25293*ii, .759567-.383745*ii, -5.31851+12.3707*ii, -.154056-.223666*ii, 1.89726+2.54967*ii, 1.02928+2.20593*ii, 1.91438-1.91229*ii, -8.83896-1.4862*ii, 8.1022-4.82542*ii, .189279+.137216*ii, 4.30243-6.7744*ii
-.318885+.439531*ii, .252752-.177391*ii, .843208-1.34783*ii, -.541369+.926871*ii, .486397+.144576*ii, -.824067-.203189*ii, -.35559+1.00934*ii, .223747+.758399*ii, -1.0037+1.04055*ii, -.171634+.0529338*ii, -.0691035+.441051*ii
-.165354+.892093*ii, .429492-.300485*ii, .336562-2.27611*ii, -.0116338-.272099*ii, .626838-.30871*ii, .0166796-.181025*ii, -.776375+1.04081*ii, .661461+.089581*ii, -.647703+1.80318*ii, .332548+.151735*ii, .263645+.969074*ii
-.317969+.342443*ii, -.606694+.393185*ii, .1443+.181744*ii, .274501+1.58457*ii, .108865+1.24519*ii, -1.18379+.636647*ii, .250769+.277281*ii, .264425+.792878*ii, -.0514273+.270324*ii, -.171579+.17031*ii, -.0750865-.184224*ii
12.6332+1.75571*ii, .798891-.388836*ii, -6.95981+16.1418*ii, -.204705-.266891*ii, 2.50024+2.98739*ii, 2.02958+3.51307*ii, 2.42698-2.19764*ii, -11.9598-1.56864*ii, 10.9494-6.30521*ii, -.179279-.146374*ii, 6.29572-9.29472*ii
.0756549-.023825*ii, -.095618-.319671*ii, -.694824+.432115*ii, .722975-.254594*ii, .275683+.48419*ii, .00286624-.00154749*ii, .0300248-.139155*ii, .00419771-.000662238*ii, .944087+.330033*ii, .751259+.606576*ii, .0152303-.333354*ii
-.279342+.511828*ii, 1.33339+1.41958*ii, -.441871+.572947*ii, .176075+.0186796*ii, 1.36319+1.4544*ii, .0262056-.198096*ii, .0915065+.277834*ii, .029147-1.12816*ii, -.0309639-.116428*ii, -.297931+.396255*ii, .123991-.1992*ii
-3.53482-.510506*ii, -.602325-2.35969*ii, 2.63534+1.74158*ii, 1.94212-4.52934*ii, .649117-.598247*ii, .539709-1.23667*ii, -2.55258-3.139*ii, .27379+.0017608*ii, -.260199-1.34452*ii, 4.59568+.888125*ii, -3.01592+1.42383*ii
2.51396-9.15641*ii, .53234-1.23102*ii, -2.39877+.484532*ii, -3.35889-2.31372*ii, -2.04382-2.37204*ii, 3.51543-6.6762*ii, 1.69131+2.51712*ii, .218744+1.83694*ii, 2.7606-2.24963*ii, -.146609+.845964*ii, -1.29975-4.59592*ii
-1.67714+.321787*ii, .5592-.320413*ii, 3.55928-1.20887*ii, -.311299+.61607*ii, 1.26069+.013240*ii, -1.03971-.253245*ii, -1.32751+.269188*ii, .351863+1.50986*ii, -2.88004+.308214*ii, .289512+.0831022*ii, -1.51177+1.09516*ii
.765456+2.18676*ii, .311406-.421*ii, .508271-4.41062*ii, .383208+.789958*ii, .77766-.760527*ii, -.103588+1.08677*ii, -.902523+1.92934*ii, 1.06217+.646389*ii, -1.15748+3.63564*ii, -.335636+.0691216*ii, 1.17016+1.61946*ii
-3.78722-14.2409*ii, .61755-.756831*ii, -.888335+3.28341*ii, -9.63984-3.32289*ii, -4.21064-1.53139*ii, .83446-14.0016*ii, 1.88073+2.6981*ii, .370131+1.32489*ii, .376842-7.30446*ii, .372763-.656759*ii, -5.29552-4.79607*ii
