variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
dp*L+delP
-c0-c2*r^2+u
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-1.11742-.373191*ii, -.040796+.801857*ii, .38623-.0382162*ii, 1.0425-.77601*ii, -.158223+1.13024*ii, .160207+.0814136*ii, 4.95088e-17+4.20852e-17*ii, -.1909+.350624*ii, 4.8776e-17+1.16959e-16*ii
-.477993+.703615*ii, -1.31709-1.25817*ii, .770666-.35977*ii, -.297202-.631136*ii, -.438246-.456103*ii, .402313+.599548*ii, 5.02795e-17+3.30398e-17*ii, -1.57564+1.36891*ii, -3.54802e-17-8.48015e-17*ii
.331016+.127913*ii, -2.86133-.114909*ii, .491434-.642495*ii, -.0950702+.417964*ii, -1.67339-.131043*ii, .79588+.374343*ii, 7.60221e-17+2.23148e-16*ii, -.680429+2.39645*ii, -1.0912e-16+1.23869e-16*ii
-1.15494+.9008*ii, .26022+.0410401*ii, .325232-.681229*ii, -2.80119+.524331*ii, .164911+1.35538*ii, .935937+.447147*ii, 8.84444e-175+1.75704e-175*ii, -.100661+.314701*ii, -2.50724e-175+3.15873e-176*ii
.78378-2.19516*ii, -1.93574+.716886*ii, -.110217+.276704*ii, .242646-1.13256*ii, -3.44153-3.63127*ii, 3.54676-2.00857*ii, -2.20635e-185+1.56283e-185*ii, 4.71085-2.7893*ii, -1.58581e-185+5.7457e-186*ii
.084131-1.26415*ii, .258849+.0981166*ii, 2.51294+.957814*ii, .314664+1.26098*ii, -1.8464-.578945*ii, -.379686-1.20504*ii, -4.03989e-228-1.25319e-227*ii, -2.65845-1.09123*ii, -1.51702e-227+2.37447e-227*ii
-2.67171-9.77343*ii, -.36627+.283587*ii, 12.149+.84887*ii, -4.03452+2.14257*ii, -2.20306-12.3912*ii, -2.04941-.126967*ii, 1.02254e-214-1.7405e-215*ii, 8.28197+3.5477*ii, -4.11919e-214+2.32067e-214*ii
.862132-.41228*ii, .365028+.280122*ii, -.425221-.471749*ii, -.915741+.732822*ii, 1.45613-1.15744*ii, 1.34817-.817731*ii, -3.17721e-197-2.40381e-197*ii, .449988+.0440778*ii, 5.43471e-198-1.00333e-197*ii
1.31754-2.6427*ii, -.803135+.79305*ii, .232181+1.63822*ii, 1.36478+.335231*ii, .571872+2.45108*ii, -.813804-1.98956*ii, 0, .076748+.638119*ii, 0
-3.47953-4.11662*ii, -1.76944-.853462*ii, 1.46819+.603966*ii, -.413071+2.02578*ii, .497898+1.12932*ii, 2.05161+2.20147*ii, 7.48393e-180-7.79294e-180*ii, -.747814+1.68636*ii, -1.45019e-179+1.91523e-180*ii
-3.26985-1.14416*ii, -4.49385+4.33378*ii, -4.38047-.334131*ii, -.308203+.890482*ii, -3.51185-5.98539*ii, 2.24552-1.70234*ii, 1.56283e-185+3.90707e-185*ii, -2.23484+3.0289*ii, 1.83862e-185+8.64153e-185*ii
.839085+.997184*ii, -.361847-.873418*ii, 1.65473+.763646*ii, .714802-.765136*ii, 1.55775-.208091*ii, -.089342+1.45805*ii, 4.05042e-132+5.63536e-132*ii, -.101013-.212574*ii, -3.5221e-132-1.26796e-131*ii
-2.37496+1.08261*ii, .345761+.795387*ii, .445892+1.39937*ii, 1.18807-1.22083*ii, -1.51532-1.1034*ii, -.0949424+.0168342*ii, 1.81717e-268-2.04431e-268*ii, .719966-.685506*ii, -3.10433e-268
-2.11655-1.18271*ii, 2.31234-3.28958*ii, -.643178-.703441*ii, .057849+.44599*ii, 4.35471+.84487*ii, -2.39901-.420086*ii, -2.09934e-139, -1.0541+.982166*ii, -2.36175e-140*ii
.934223+.442838*ii, -.215087-.088157*ii, .301702-.74493*ii, -1.31223-1.13064*ii, -1.6252-1.24056*ii, 1.1004-.234502*ii, 1.36988e-194+7.70558e-195*ii, .048154+1.3631*ii, -5.99323e-195+1.66954e-194*ii
-.175064+.887416*ii, -.0878392-.242157*ii, 3.85026+.523162*ii, -.326252+3.46228*ii, -1.28574+.377006*ii, .321478+3.96291*ii, 7.05154e-278-2.46804e-278*ii, -.511052-2.74519*ii, -4.51299e-277+1.31886e-277*ii
-2.16179-3.1807*ii, 1.26497-.054221*ii, -1.34537+.019342*ii, -1.33843-1.21993*ii, -.331533-.674529*ii, -1.60122+.933719*ii, 2.90747e-267-3.39205e-267*ii, 1.15962+1.65312*ii, -2.30175e-267*ii
1.74658-8.79524*ii, 4.57949+6.04296*ii, -.441995+4.26062*ii, -1.03087-.489827*ii, -2.84415-1.43839*ii, -.588349+.801513*ii, -1.82169e-169-2.07011e-170*ii, 2.54929+1.30297*ii, -2.98095e-169+7.28677e-169*ii
.598428-2.13428*ii, 1.01853+.630208*ii, -.089284+2.89288*ii, -1.0366-.995115*ii, -.32872-.497814*ii, -.615892+.020137*ii, -1.13781e-261-1.40923e-262*ii, -2.11721-.880138*ii, -5.47814e-262+2.51478e-261*ii
-.162441-.0670165*ii, -.028336-.904928*ii, .13196+.0950796*ii, -.781749-.812266*ii, .608568+.053086*ii, .988175-.058983*ii, 4.94066e-324*ii, .043092+1.33924*ii, -4.94066e-324-4.94066e-324*ii
-.684644-.308102*ii, .975535-1.38095*ii, .942676+2.50538*ii, -.816515-.445878*ii, .97819-.575018*ii, .777317-.243916*ii, 1.94672e-208+3.89344e-208*ii, -.22333-.706663*ii, 3.89344e-208-8.76023e-208*ii
1.23944-3.81679*ii, -1.13597+5.42188*ii, 4.78979-.629488*ii, -.95227+.338438*ii, 5.77613+.512605*ii, 3.83422+1.21107*ii, -3.05947e-183-8.47237e-183*ii, -3.19353+3.39338*ii, 1.49443e-182+2.2593e-182*ii
1.25352+.008577*ii, 1.11418-1.18811*ii, .658431+.427958*ii, -.049004-.641613*ii, .915544-1.5446*ii, .872232+.564892*ii, 5.7595e-223+3.91734e-223*ii, 1.11007-.858997*ii, -4.22971e-223-5.0993e-223*ii
