variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
c0+c2*Rad^2
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
.0272095+.00405446*ii, .134805-.61156*ii, .672083+.068912*ii, 1.48996e-17+8.32038e-18*ii, -.143+.15323*ii, .107613-.12282*ii, .686444+.012760*ii, -.410087+.410228*ii, -.206044+.124962*ii
-2.18912+.008653*ii, -2.97085+.882975*ii, .172995-1.55231*ii, 6.8151e-17+1.06245e-16*ii, -.119335+.831922*ii, 2.4546-.969286*ii, -.019264-1.39087*ii, .603131-1.29122*ii, -.83755+.787388*ii
2.96459+1.28243*ii, 5.11325-.790659*ii, .39337+2.50487*ii, 3.03126e-16+5.75548e-16*ii, .218995-.759164*ii, -3.49068-.362171*ii, .807429+2.28035*ii, -2.73779+2.07597*ii, 1.01406-.386193*ii
.00933317-.0177298*ii, .57612-.249845*ii, -.137573-.486887*ii, -1.32652e-74+2.65303e-73*ii, .0593208+.168487*ii, .837531-.334065*ii, -.717461+1.41176*ii, -.0094867+.158513*ii, -1.32086-.807899*ii
-.514677+.862729*ii, .732257-2.30851*ii, -.967732-.639181*ii, -2.89389e-83+2.95985e-84*ii, -.639767-.074137*ii, 1.20653-.820842*ii, -.558817-.91575*ii, -.032407+1.46412*ii, -1.07595+.140441*ii
4.72442-3.39471*ii, 2.24891-.504824*ii, -5.16744+2.09*ii, -4.89963e-301+3.03311e-301*ii, -.317382-1.5567*ii, 4.8565+2.76511*ii, -1.92067-2.09483*ii, -1.19168+3.12634*ii, -6.38149-2.77472*ii
-.258246+.2929*ii, .50597-.557732*ii, 1.21223+1.36083*ii, 7.09093e-125-1.18182e-125*ii, .720086-.005102*ii, -.274107+.187452*ii, -1.28683+.138305*ii, 1.71231-1.15871*ii, .351844+1.08897*ii
-.545066+.435144*ii, .301381-.0713477*ii, .476665-.874532*ii, 1.47058e-59+9.845e-60*ii, -1.46428+.328414*ii, .25428+.929824*ii, .374092-1.40419*ii, 1.12602-.341733*ii, -.0730285-.210244*ii
-2.05185-2.36428*ii, -1.41205+.761181*ii, 1.45001+.851749*ii, 2.31237e-144-2.88816e-144*ii, .87319-1.09043*ii, .712071-.370538*ii, .180314+.457954*ii, -.97065+.711474*ii, 4.13916-.065002*ii
.391489+.969124*ii, -.038108+.530382*ii, .109264+.0079855*ii, -5.31159e-220+6.0862e-220*ii, .316651+1.36577*ii, .161206+.562237*ii, .957027-.026032*ii, .432448-.284798*ii, .771567-.238459*ii
.0241358+.0245285*ii, .0365155+.241837*ii, -.158381+.610333*ii, 8.7203e-106+5.23218e-105*ii, .11576+.35679*ii, .614107-1.9218*ii, -1.04203+.235406*ii, .571969-1.75963*ii, .156603-.930082*ii
2.5903+2.54194*ii, .426233-2.45788*ii, -4.3929+5.11947*ii, 1.43089e-181+2.2593e-181*ii, 1.06804-.560474*ii, -2.00934+2.299*ii, -4.13968-4.99262*ii, 4.8552+1.67976*ii, -5.43168-.215118*ii
-.10008+.0688231*ii, -1.20816+.155315*ii, .913876-.500805*ii, -2.00359e-75+4.14536e-76*ii, -.0742252-.306925*ii, -.73545+.092589*ii, 1.7127-1.08998*ii, .19109-.368227*ii, .146777-1.72798*ii
-.616498-.516057*ii, -1.00284+5.91506*ii, -2.60369+2.01068*ii, -9.77533e-84-3.7802e-85*ii, -.317521+.182179*ii, 1.28904+.49429*ii, .197251-1.2366*ii, -1.21625-1.466*ii, -1.64902+1.93812*ii
.4937-1.50076*ii, .388494-1.0725*ii, -.759985+.122152*ii, -3.38754e-31-4.85527e-31*ii, .017484+1.17674*ii, .303983+.476287*ii, -.249052+.17279*ii, -.235502-.0651237*ii, -.627844+.262921*ii
6.50396+4.62529*ii, -.443949+1.11598*ii, -2.95836-3.16337*ii, -8.13052e-252+7.73198e-252*ii, 1.59191+2.02751*ii, -1.13207-4.3272*ii, 4.35458+2.20053*ii, -1.91414-3.5461*ii, .69554+9.39647*ii
-.14449+8.57402*ii, .191055+.0658136*ii, -6.07677-2.64549*ii, 5.32245e-110+1.19755e-109*ii, 3.82709-5.27161*ii, -4.31493+4.02778*ii, 3.71506-10.7046*ii, 3.53303+4.50201*ii, -2.23672-5.08978*ii
-1.80657-3.92346*ii, 4.7693-.960965*ii, -1.5891-2.14427*ii, 1.42567e-282+4.30392e-283*ii, -.739105-.584423*ii, 2.32668+3.55416*ii, .903125+.290413*ii, 2.18485+1.4424*ii, -.484595+6.48246*ii
-.719326-.557585*ii, -.603103+.320271*ii, .682195-.203817*ii, -4.93552e-178+9.87103e-178*ii, -.626665+.969585*ii, .180593-.550612*ii, .979841-.403397*ii, .741535+.481832*ii, -1.11891-.546554*ii
-.626968-1.81006*ii, .0339489-.193594*ii, -1.11162+1.68783*ii, -3.40893e-28-4.12162e-28*ii, -.783007-3.02208*ii, 1.26113+2.45823*ii, -.36253+.84859*ii, .128885-1.01309*ii, .560382-.95663*ii
1.19188-.229887*ii, -.639514-.636808*ii, -.83157+.117511*ii, -1.8786e-164+9.06252e-163*ii, -1.02495+.542634*ii, -.862609+1.60021*ii, .623084-1.27527*ii, -.327443+.652209*ii, .484207+.962794*ii
1.12575+4.98552*ii, 2.31432-.352436*ii, -.785487+2.73755*ii, 9.88131e-324-3.45846e-323*ii, -1.00709+1.08121*ii, -1.234-3.4771*ii, -.0129707-.152712*ii, .460578-.0522509*ii, 5.06581+1.19719*ii
-4.8139-7.61881*ii, 11.1462+8.58539*ii, 7.64842+10.6079*ii, -5.39329e-94-7.6405e-94*ii, .788056+.139723*ii, -.145646-1.06796*ii, -4.76575+1.76952*ii, 3.09656+5.68215*ii, -2.98594-10.3483*ii
-.934682+3.31219*ii, 1.56109-.952131*ii, 1.39954-1.01806*ii, -1.08814e-114-1.92725e-114*ii, 1.27705-.501263*ii, 1.77053-1.21593*ii, .401011-4.02748*ii, .783721+1.1735*ii, 2.08038+1.28074*ii
