variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-sintheta*g+ad
T*omega-2*Pii
omega^2*d-ad
-3.9921*L*j^2*Pii^2+1.0028*g*Tj^2
points:
-.110911+.0887486*ii, 1.1973+2.19363*ii, .531684+1.4624*ii, .364874-.604913*ii, .00401434-.0328005*ii, .0586504+.00132402*ii, -3.07351-3.00521*ii, .0441652-.051002*ii, 1.65727-.377108*ii, -1.2857+1.45863*ii, .784924-.257427*ii
-8.91608+2.90793*ii, 1.32892-7.35746*ii, .70521+.326498*ii, -4.90295+.797691*ii, 12.7968-1.18075*ii, -5.88007+14.3727*ii, -.711651+.161575*ii, 9.72056-9.08984*ii, -.122293-.0583003*ii, 1.66968-2.37733*ii, -2.35357-2.38885*ii
-.650835-.332332*ii, -1.68123-1.89222*ii, .675637-.406325*ii, .208404+.84128*ii, 1.31308+2.55393*ii, -.018570-1.17552*ii, -.206549+.148642*ii, 1.968-.112691*ii, -.0359456-.16006*ii, -.952381-.297664*ii, .849006+.32473*ii
.570593-.085922*ii, .463786+.775662*ii, -.87611+1.70164*ii, .498296-.5892*ii, -.0098512+.268471*ii, -.071396+.140413*ii, -.397492-2.11075*ii, .634153+.89276*ii, .18558+.156132*ii, -.863112+.054816*ii, .121918-.272814*ii
.0439756-.00981548*ii, -.0931763+.13365*ii, -.186383+.182882*ii, .887249+.55684*ii, -.473139-.154186*ii, .156156+.642107*ii, -.0779099+.0461347*ii, .143949-.128843*ii, -.234695-1.24261*ii, -.00353782-.0209751*ii, -.0342048-.0705403*ii
.000553762-.00716924*ii, -.621009-.274034*ii, .0059870-.153401*ii, .774676+.880426*ii, -.0123774+.00168027*ii, .0002835+.305103*ii, -.121139+.562777*ii, .395065-.329063*ii, -.108762-1.31056*ii, -.0228775+.0468114*ii, .0836197-.0984907*ii
4.23477+11.1969*ii, .0409295-.0657963*ii, -12.0512-1.45426*ii, -.32716-3.01232*ii, 10.7128-4.47236*ii, .0459921+.0669722*ii, -.034953+1.0306*ii, -4.553+1.94298*ii, -1.53572+2.67308*ii, -.294467+.366701*ii, 1.22203-6.21918*ii
6.62648+.004003*ii, .0739502-.190136*ii, -2.97564+5.4528*ii, -1.18238+.673378*ii, -.772684-6.48272*ii, -.0930035+.144361*ii, -.120737+1.00778*ii, .062391+2.82318*ii, 1.5801-.306666*ii, .408363+.484506*ii, -2.78576-1.93919*ii
-1.20003+.525516*ii, -.289508-.0680309*ii, .539421+.365928*ii, .296258+1.04508*ii, .754001-1.51898*ii, .105093+3.08156*ii, -.592202-.49606*ii, .756702-2.35864*ii, .34214-1.346*ii, -.0656363-.0713182*ii, -.478673-.0465607*ii
-1.18898-.714905*ii, .342302+.125755*ii, .773474-1.35045*ii, 1.78834+.485411*ii, -1.93146+2.31208*ii, .502989-.274084*ii, .0709038+.455013*ii, -.18848+.235928*ii, -1.12093-1.91431*ii, .217294-.182498*ii, .739435+.698322*ii
-.739641-.27209*ii, -1.98903-2.29554*ii, .663006-.397079*ii, -.020749+.864707*ii, 1.92925+2.82581*ii, -.182909-1.30681*ii, -.187562+.133691*ii, 2.397-.185263*ii, .0382364+.122071*ii, -1.11513-.366077*ii, .928829+.271828*ii
.508486+.164367*ii, .340479+.590532*ii, -1.27303+1.0972*ii, .80621-.494556*ii, -.0614975+.361968*ii, -.0309936+.186646*ii, .209379-1.44035*ii, .300723+.939115*ii, -.365219-.0962487*ii, -.540686-.189096*ii, .127479-.331632*ii
.602779-.33821*ii, -1.2633+.303407*ii, -.429435-.698371*ii, 1.28328+1.23958*ii, -.090797-.386259*ii, -.853735-.573239*ii, .482127+1.67389*ii, .0777212+.0442683*ii, -.144737-1.89289*ii, .377197+.375978*ii, .144296-.433742*ii
-.248682-.77458*ii, -.407959-.364154*ii, .805658-.42116*ii, 1.14474+.763372*ii, -1.36094+1.631*ii, .597832-.782004*ii, -.204971+.323505*ii, .334929+.345855*ii, -.394964-1.34277*ii, -.241021-.0607837*ii, .50501+.592215*ii
-.230388+.005142*ii, -.205612+.483857*ii, -.527937-.362035*ii, 1.3243+.4597*ii, -.421588+.188128*ii, -.190863+.528975*ii, .460268+.193192*ii, -.0468903-.0714468*ii, -.621483-1.38449*ii, .141862-.0905035*ii, .162124-.134764*ii
.771681+.012009*ii, -3.99844-2.27754*ii, .638856+.101517*ii, .417531+2.41576*ii, .418061-.280393*ii, 1.76223-.544375*ii, 1.25986+.873714*ii, 1.03973-1.29735*ii, .0717445-.283472*ii, -1.16161-.930466*ii, -.155187+.89081*ii
-.028425+.0150779*ii, .0934639+.139472*ii, -.510327-.090922*ii, 1.02345+.208081*ii, -.314552+.651249*ii, -.0798978+.0891963*ii, .0358665+.0263234*ii, .161585+.402803*ii, -.508231-1.07633*ii, -.0175081-.0398371*ii, .270491-.176119*ii
-1.99225-1.10252*ii, -3.53224+2.82901*ii, .522657+.898645*ii, 2.23361+.929794*ii, -.0074483-.432174*ii, .024802+2.10673*ii, 2.62978-4.56451*ii, 1.0621-3.08258*ii, .169247+.358897*ii, -2.19421-.847816*ii, .244081+1.44467*ii
-8.84467+4.41987*ii, .219256-7.9011*ii, .70428+.320738*ii, -5.18775+1.66358*ii, 13.3716-3.34467*ii, -4.12749+15.9857*ii, -.700317+.15537*ii, 8.87298-10.9789*ii, .114091+.0675302*ii, 1.3443-2.74713*ii, -2.85019-2.18091*ii
-1.90557+.472045*ii, -.534317-.760824*ii, -.6734-.119502*ii, -.483839+.332158*ii, 4.70394+.103263*ii, -3.47791+2.34934*ii, -.402703+.109191*ii, 3.1763-1.80392*ii, .490986-.643681*ii, .134445+.288096*ii, .135261-1.51341*ii
-5.86016+6.29822*ii, .0663282+.0204553*ii, -3.53851-8.56985*ii, 3.1486-1.53277*ii, 5.95597+6.31297*ii, .100003-.0038273*ii, .064486+.989112*ii, -2.77711-1.95899*ii, -3.83532-.92448*ii, -.0297022-.320402*ii, 4.47835-1.39308*ii
