variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
G*M*m+Ugi*r
Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
-3.8457e-30+5.91646e-30*ii, .561498+.838121*ii, -.385827+.413141*ii, -3.12291e-31-7.22648e-32*ii, .0815655+.131845*ii, .263415-.460197*ii, -1.34106e-29-7.79e-30*ii, .811517-.715067*ii, 1.72563e-31-4.68386e-31*ii
4.40263e-133-8.80525e-134*ii, -2.57991-1.68522*ii, .435452+.172273*ii, 0, 2.48686-.416388*ii, 1.58947+.534234*ii, -4.40263e-134+1.10066e-133*ii, -.409445+3.16284*ii, -1.40884e-131-2.05162e-131*ii
-2.21086e-75-1.9345e-75*ii, -2.21468+.490306*ii, -3.00811+1.88426*ii, 0, -1.88434-2.6044*ii, -1.03536-1.31481*ii, -5.52715e-76-1.51997e-75*ii, 1.34019-.588794*ii, -2.59085e-76-3.45447e-76*ii
1.69583e-167-1.44146e-166*ii, -1.35289-.839802*ii, -.634089+.50272*ii, 0, -.518495+2.38696*ii, .381391-.682357*ii, -2.11979e-167+4.66353e-167*ii, .018548+2.0991*ii, 4.7364e-168+1.0069e-167*ii
5.80889e-121+1.54904e-120*ii, .0720787+.317351*ii, -1.41773+.070847*ii, 0, 1.75323+2.0891*ii, -1.05944-2.10379*ii, 2.32356e-120-6.19615e-120*ii, .128645+.539073*ii, 5.9057e-120+3.09807e-120*ii
-5.42666e-165-6.86623e-165*ii, .960524-.665755*ii, .471195+.252187*ii, 5.42724e-32+4.83218e-32*ii, .926559-2.08151*ii, -.128694+2.8047*ii, 5.42666e-166+1.35666e-166*ii, -.011568-1.08803*ii, 1.73653e-164+1.21557e-163*ii
0, -7.26599-4.02891*ii, 10.0148+12.0282*ii, 0, 19.7738-2.00088*ii, 8.84477+7.94423*ii, -7.531e-183+2.82412e-182*ii, 5.28584+10.9076*ii, 2.40992e-181-1.44595e-180*ii
2.72257e-61+3.30598e-61*ii, -7.35042-3.07287*ii, -2.87494-.139519*ii, 2.57271e-31+1.89613e-31*ii, .388912+1.85962*ii, -.690412-1.55361*ii, -9.72346e-62-1.1182e-61*ii, -.286502-2.61541*ii, -1.21543e-63-4.86173e-63*ii
1.45852e-62-7.74206e-63*ii, -.457062-.987246*ii, -.53928+1.13315*ii, 0, .552217-.643212*ii, -1.3262-.339382*ii, 4.86173e-62+1.36128e-61*ii, -.667311+.123291*ii, -4.37556e-62*ii
0, 2.47023-.591935*ii, .898993+.459497*ii, 0, -2.26211-1.23906*ii, -1.03302+1.2774*ii, 4.19478e-94-7.19105e-94*ii, 1.13611+3.16005*ii, -1.31836e-93-9.58807e-94*ii
-4.36672e-182, 2.23633-5.28681*ii, -1.5224+2.84869*ii, 4.8905e-32-1.49235e-30*ii, -1.1877-1.72635*ii, -3.22101-4.89029*ii, -7.531e-183-2.35344e-183*ii, -.603382-.622344*ii, 9.41375e-184-4.70687e-184*ii
-4.7902e-109-1.14433e-108*ii, -1.59189+2.06932*ii, -4.34883-3.2485*ii, 0, 1.35416-.437316*ii, -3.60854+.416672*ii, 1.0645e-109-7.66433e-108*ii, 1.12929+.477119*ii, -1.27739e-108-1.05118e-108*ii
3.77768e-32-4.82217e-32*ii, 1.15107+.951094*ii, -.423631+.82553*ii, 0, -.211633-.0627589*ii, 1.14201-.327192*ii, -6.44388e-33+2.67254e-32*ii, -.448256+2.06289*ii, 5.58502e-34+2.25125e-33*ii
-1.8565e-137, -1.32085+.417265*ii, 1.26634+.090051*ii, 0, -1.81966-.321855*ii, -1.44674-3.24621*ii, 4.29944e-137, -.052256-.644235*ii, -1.61229e-137+8.59888e-137*ii
1.43775e-31-8.5851e-32*ii, 1.43944-.588591*ii, -.0320087-.238098*ii, 0, -.370988-.0506752*ii, -.615474+.30039*ii, 2.84493e-32+3.13357e-31*ii, -.549352+.873282*ii, 1.71237e-31+1.55235e-31*ii
1.15057e-92-2.30114e-92*ii, -1.44245+1.12811*ii, -1.18856+.657235*ii, 0, .863045+.709199*ii, .258813+1.01075*ii, 1.34233e-91-1.22727e-91*ii, -.162793+.0663929*ii, -2.80451e-92-1.34233e-92*ii
0, 2.81218+.410263*ii, -.83533+.658889*ii, -1.65068e-30-5.60601e-31*ii, -1.95865-3.03224*ii, 6.67287+5.66492*ii, -4.49441e-94-5.5431e-94*ii, 1.66613+3.44656*ii, -1.79776e-93+4.07493e-93*ii
-1.45852e-62+1.94469e-62*ii, -.675423-3.10699*ii, -1.80323-.110136*ii, 0, -.905449-.372924*ii, -.484322+1.08878*ii, -2.91704e-62-4.86173e-63*ii, 1.18868-1.29068*ii, -8.50803e-63-4.86173e-63*ii
1.20906e-76+2.59085e-77*ii, .658901-.273632*ii, -.456579-.372456*ii, 0, -.958074-.500187*ii, -.744336-.991412*ii, -1.03634e-76+1.20906e-76*ii, .80133-1.20679*ii, -2.15904e-78-4.74989e-77*ii
9.30055e-133+7.92473e-133*ii, -1.35212-1.82562*ii, 1.88957-1.31182*ii, 0, -2.30425-.343017*ii, 1.07017-4.00609*ii, 3.5221e-133-2.66909e-133*ii, 3.74009+1.20339*ii, 2.7516e-135-9.76833e-134*ii
-5.72801e-152-1.90934e-152*ii, .567313-.767325*ii, .56888-.753244*ii, -7.97572e-33+7.9211e-32*ii, .268458+1.25086*ii, 1.67904-1.72826*ii, 7.63734e-152-5.72801e-152*ii, .505563+.462379*ii, -6.10987e-151+6.10987e-151*ii
-1.3442e-72*ii, -.894857-.454375*ii, .241363-1.5753*ii, 5.19242e-31-1.04433e-31*ii, 2.91718+1.17132*ii, 1.74904-.477242*ii, 6.36727e-73+3.44894e-73*ii, 2.13221+2.26439*ii, 3.3163e-75-1.50338e-73*ii
-1.70352e-31+4.71324e-32*ii, 2.78701-.508409*ii, -.60474-1.48613*ii, -8.28812e-32-3.76878e-32*ii, .516856+.196293*ii, .358274+.143734*ii, -6.49101e-32+3.83846e-32*ii, -2.14627-.285085*ii, 2.35953e-33+1.65425e-33*ii
