variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
-.396197+.454536*ii, .959077-.359369*ii, 5.01282e-17+2.94062e-17*ii, .710295-.321243*ii, .0491986-.00549089*ii, -.429432-.234621*ii, -.318577-1.2089*ii, 1.81843e-17-6.27288e-17*ii, 1.05126e-16+2.7719e-16*ii
1.43368-.202618*ii, -.549779+.161497*ii, -3.60812e-72*ii, .891607-.986821*ii, .494716+1.09558*ii, .311037-.527298*ii, -.052335+.504591*ii, -1.69794e-72+2.90065e-72*ii, -2.8299e-73+5.6598e-73*ii
1.45516+4.09388*ii, 1.13675-1.32171*ii, 2.60796e-90-2.79588e-90*ii, -6.14706-1.75009*ii, -7.36245-4.39249*ii, .937597+2.36611*ii, -13.2049+.37948*ii, -2.09864e-89+1.40983e-89*ii, 2.28273e-89-3.09273e-89*ii
-1.55612-1.49166*ii, -.51553+2.06409*ii, 7.17547e-143, 1.42195-.367617*ii, -.425941-.243935*ii, -.520267+2.43226*ii, -.973968-2.3241*ii, -1.28133e-144-3.844e-144*ii, 4.35653e-143+2.66517e-142*ii
-.595296+3.09278*ii, .600961-.166333*ii, 2.89782e-70+2.10092e-69*ii, .834536+.766993*ii, -.38914+.44825*ii, .391227+.40079*ii, -.0329454-.450378*ii, -1.08668e-70+2.58087e-70*ii, -9.78013e-70+1.99225e-70*ii
-1.19626-4.26679*ii, .106225-.0178494*ii, 2.76357e-75+4.69808e-75*ii, 1.09612-.814105*ii, -.270174+.760708*ii, -2.33226+.121877*ii, -.520144-1.21388*ii, 3.31629e-75-3.52356e-75*ii, -6.63258e-75+2.21086e-74*ii
-.64714+.779305*ii, .643393-1.92552*ii, 2.28597e-99-5.71494e-99*ii, -2.10578+.276108*ii, -.246445-.32665*ii, -.492725+1.11769*ii, .337639-.419411*ii, 7.42942e-100+1.14299e-100*ii, -6.85792e-100
-4.6437+7.67987*ii, 5.37127-10.73*ii, 5.87341e-110-1.34725e-109*ii, -4.36597+2.76547*ii, -15.2766-2.78925*ii, -4.49173-4.82322*ii, 2.57349+8.28487*ii, 2.66122e-110-9.97959e-111*ii, -8.2498e-109+2.66122e-110*ii
-.455163+1.27531*ii, -.711319+.650479*ii, 1.50807e-87-3.61309e-88*ii, -.21218+2.05946*ii, -.368502-.396505*ii, -.392966-1.31649*ii, -.724715+.583136*ii, -1.06036e-88-5.96946e-88*ii, 1.88509e-87-1.88509e-87*ii
.826658+3.11238*ii, .945346+1.75424*ii, -4.38634e-72-2.54691e-72*ii, -1.55863-1.50752*ii, 1.34946-.683775*ii, .947596+.370025*ii, -2.90872-2.79752*ii, -9.90465e-73+1.98093e-72*ii, -4.81083e-72-1.35835e-71*ii
-.081527+.920358*ii, -1.47741+1.08031*ii, -2.94301e-127-3.66026e-127*ii, 2.42537+.313636*ii, -.512726+1.66402*ii, .290889+1.30678*ii, .875573-3.11421*ii, 8.65592e-129+6.05914e-128*ii, 1.43111e-126-6.23226e-127*ii
-1.1049-.53874*ii, -.435402+.289798*ii, -6.95476e-69+1.15913e-68*ii, .291599-.0634029*ii, .162867+.657029*ii, .120499-1.16715*ii, .389851-.212763*ii, -3.47738e-69-7.82411e-69*ii, 5.21607e-69-3.47738e-69*ii
-1.2145+.833342*ii, 2.52847-7.51722*ii, 7.96546e-59-3.23597e-59*ii, -1.06911+3.95677*ii, -3.12313-2.7964*ii, -4.24615+1.58238*ii, -.250393+.845721*ii, 9.95682e-60-5.25712e-60*ii, 3.79604e-59+1.55575e-60*ii
-.205842-.660049*ii, -.782045+.396767*ii, 2.81768e-132*ii, 1.63827-1.94409*ii, .710724+.746654*ii, .213042+.568576*ii, -.620198-.056882*ii, -1.05663e-132-1.76105e-132*ii, 7.0442e-133-1.76105e-133*ii
1.2247-2.75768*ii, 1.06698+1.30663*ii, 3.77018e-88+3.77018e-88*ii, -.296253+3.82224*ii, -1.35037-.967734*ii, -2.30724-.407686*ii, -2.51238-1.41007*ii, -4.71273e-89-1.25673e-88*ii, 8.16873e-88-7.54037e-88*ii
3.34518-1.76882*ii, 8.88289-4.70584*ii, -1.69658e-87-8.04306e-87*ii, 3.04714-1.61264*ii, -2.31873+1.44408*ii, 4.27897+5.26645*ii, -3.82895-3.0716*ii, -4.12364e-89-2.54782e-88*ii, 1.21903e-86-2.86534e-86*ii
.343815-.159649*ii, -.340667-1.64418*ii, 3.16266e-81-8.43376e-81*ii, .9642-.110553*ii, -.766205-.380479*ii, -.773555+.917173*ii, -1.7059-.281784*ii, 1.84488e-81+9.22442e-82*ii, 8.43376e-81-8.43376e-81*ii
-.562247-.665389*ii, 2.50836-.23856*ii, 1.23477e-30+3.32156e-31*ii, -.272666+.366612*ii, -.773942-.69406*ii, -3.44815-1.63998*ii, -.378738+.351869*ii, -4.59315e-32+1.3633e-31*ii, 8.70901e-31+1.3922e-31*ii
-.128213-1.15914*ii, 1.0459-.188798*ii, 4.08764e-107+1.90757e-106*ii, -1.74818-.410551*ii, -.126135+.859435*ii, -1.23587-.664904*ii, .054491-1.0764*ii, 3.40637e-108+1.02191e-107*ii, -9.53783e-107-2.72509e-107*ii
-3.22844+1.46652*ii, -.693138+.313029*ii, -9.67374e-137+1.5048e-136*ii, 3.61886+.758025*ii, .155642+1.85815*ii, -.199189-3.23695*ii, -5.76174-.061898*ii, -4.83687e-137-1.07486e-136*ii, -5.80424e-136+6.66413e-136*ii
-3.07862-1.21445*ii, 1.474+1.065*ii, 9.95682e-60-7.77877e-59*ii, -1.29577+2.63015*ii, 3.28784+4.24827*ii, 1.3726-.356188*ii, .604739-.800579*ii, -4.04496e-60-1.08903e-59*ii, 4.48057e-59+1.61798e-59*ii
-.137883+1.14026*ii, 1.29058-.928643*ii, 2.64478e-60+6.22302e-61*ii, -.550809+1.11818*ii, -.456834-.837482*ii, -1.37352-.186119*ii, .383586-.292501*ii, 2.46733e-61+3.69492e-61*ii, -1.16682e-60+5.0562e-61*ii
