variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u

component_1:
equations:
dt*F-1
m0*u0-m*u
-dt*u+dt0*u0
c^2*dt-2*c*L-dt*v^2
1.00016*c^2*F0^2-.999984*c^2*F^2-1.00003*v^2*F0^2
.999922*c^2*m0^2*u0-1.00019*c^2*u0*m^2+1.00029*v^2*u0*m^2
.999933*c^2*L0^2-.999994*c^2*L^2-.999986*v^2*L0^2
points:
.345823-1.53286*ii, .590834+1.91807*ii, -.435179+1.65636*ii, -1.10277-.096537*ii, .146679-.476175*ii, .900489-.079033*ii, -.095188+.703456*ii, -.300712-.108342*ii, .115903-.484997*ii, -.762783-.96353*ii, 1.10684+.025802*ii, -.496366+.244912*ii
-88.8525+3.8326*ii, 34.0836-48.8634*ii, 88.8583-3.8328*ii, -79.3498+52.8412*ii, .00960284+.0137669*ii, .728839+.508383*ii, -21.3735-13.578*ii, .183289-.288524*ii, .845933-1.1331*ii, 16.5985+15.9492*ii, -75.9661-56.7141*ii, -.237895+.247581*ii
-.416996+1.09834*ii, -11.2806-2.79665*ii, .421999-1.27515*ii, .0097096+.151198*ii, -.0835149+.0207048*ii, -.423979+6.5898*ii, 3.52926+1.60589*ii, -.541144+2.13503*ii, 4.30524-.159976*ii, 3.79145+1.20309*ii, -1.07029+7.50658*ii, .289619-2.24144*ii
-.679144+.053253*ii, -.11972+.0045929*ii, .439523+1.08741*ii, -4.11356-1.13347*ii, -8.34055-.31998*ii, -.2736+.071325*ii, .0750643-.0271566*ii, .130808-.0852658*ii, -2.3801e-17-7.63246e-18*ii, -2.681+.951472*ii, -3.75679e-16-3.46458e-16*ii, -5.69643+3.55314*ii
-.364556+1.07342*ii, -11.6143-2.50439*ii, .367081-1.25037*ii, -.0064743-.145192*ii, -.0822749+.0177409*ii, -.307404+6.87698*ii, 3.63362+1.4177*ii, -.458304+2.21231*ii, 4.39127-.288588*ii, 3.97514+1.09362*ii, -.774025+7.556*ii, .240293-2.37659*ii
-.576034+1.53729*ii, 11.3803-12.7138*ii, -.536088+1.79161*ii, .0909403-.0444698*ii, .0390872+.0436672*ii, -8.87738-4.34295*ii, -5.89225+5.57137*ii, -4.03176-2.40702*ii, -1.97598+5.99812*ii, -5.2677+1.78562*ii, -9.03977-6.09679*ii, 1.82417+2.65527*ii
-1.23498-.836851*ii, .606989-.830162*ii, 1.00859+.266368*ii, .887945+.763271*ii, .573928+.784946*ii, -.888611-1.05656*ii, -.632819+.072753*ii, -.525416-.060699*ii, 1.89775e-20+5.84763e-20*ii, .35589+.839062*ii, -5.60829e-20+3.14592e-20*ii, 1.2077-.196098*ii
-2.1364+.455026*ii, 2.60006+8.00305*ii, -2.13634+.455013*ii, -2.7202+8.37318*ii, .0367192-.113023*ii, 4.86394-5.15245*ii, -7.06419+.091420*ii, -.000244582-.000423334*ii, -1.031e-18-1.22922e-15*ii, -.472685-5.38308*ii, 2.10619e-16+5.96291e-16*ii, -3.78688+2.52267*ii
.551675-.965969*ii, -.157793+2.79303*ii, -.59581+1.09719*ii, -.694947-.032343*ii, -.0201629-.356896*ii, 1.43667-.066739*ii, .363851-.712001*ii, -.383224-.148444*ii, .035065-.999173*ii, -.157057-1.12491*ii, 1.92621+.267389*ii, -.566986+.139698*ii
.133842-.0819407*ii, .287132+.346257*ii, -.774789+.444344*ii, -.312768-.244127*ii, 1.41907-1.71127*ii, .263588+.258902*ii, -.069422+.185177*ii, -1.02559-.419465*ii, 1.39537e-17-4.51936e-17*ii, -.014834-1.54616*ii, -1.27042e-16-7.60165e-17*ii, -.141493-1.26213*ii
-2.43029+.135156*ii, 4.71694+2.79955*ii, -2.17644+.295412*ii, .255151-.27676*ii, .156777-.0930484*ii, -1.79973-1.95317*ii, -2.3195-2.25156*ii, -.763578-1.36612*ii, -1.64447+1.31645*ii, 1.17321-2.77807*ii, 2.47475-3.57802*ii, -.929702+1.12595*ii
1.16064-.531591*ii, -.504112+3.23376*ii, -1.18712+.636796*ii, .696762+.222561*ii, -.0470636-.301901*ii, 1.30325-.415555*ii, .645377-.587518*ii, -.340147-.131495*ii, -.023449-1.17626*ii, -.150849-1.23212*ii, 2.54269+1.20757*ii, -.432506+.286552*ii
-.10833+1.21433*ii, .294818+.165018*ii, 1.45945+1.39103*ii, .87247-1.43204*ii, 2.58276-1.44565*ii, .310303+.509352*ii, -.326012+.160797*ii, -.64062-.035355*ii, 1.22569-2.00181*ii, -.11911-1.45919*ii, .047934-1.32878*ii, 1.08187-2.34718*ii
-1.53602+.029732*ii, -.732443+.119172*ii, -1.37588+.06941*ii, 2.98295+.112188*ii, -1.33008-.216411*ii, -.334643+.012541*ii, .256865-.0146315*ii, .115834+.0077619*ii, .891472+.992013*ii, -.092649-.602163*ii, 2.23186+1.93742*ii, -.0079254-.274823*ii
3.93898-3.31123*ii, -6.87669-9.44598*ii, 3.93887-3.31115*ii, -3.73201+5.12604*ii, -.050373+.0691935*ii, .0598916-.0435886*ii, 4.21271+13.6689*ii, -.00155244-.000383669*ii, -.071525-.0643162*ii, -3.9117+8.04025*ii, -10.1433+11.2833*ii, -.0509702-.0248064*ii
-.372907-.167454*ii, -.791711-.817715*ii, .516507+.105378*ii, -.299929-.892382*ii, -.611141+.631214*ii, -.338588+1.00706*ii, -.147405+.159394*ii, -.195327-.0538705*ii, .269708-.138272*ii, .0756975+.285547*ii, -.0011286+.324689*ii, .204313-.185193*ii
-4.74798-6.86759*ii, 15.3058-3.31216*ii, 5.1071+6.91853*ii, -.127444+.173331*ii, .0624119+.0135058*ii, -2.75266-3.75115*ii, -6.32986+18.3477*ii, 5.74237-.506138*ii, -.680106+1.64688*ii, -10.9623-.27434*ii, -4.12806-4.35014*ii, 1.25351+3.00723*ii
-46.2369+227.404*ii, 542.969+132.706*ii, -46.2399+227.419*ii, -3.3247-285.553*ii, .00173791-.00042476*ii, 1.97928-8.09825*ii, -560.68-264.162*ii, 3.56565-7.56805*ii, -9.91262-.5196*ii, -146.553-409.875*ii, 34.838-664.617*ii, -6.11319+2.18581*ii
