variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
75.89*P-319.1*qc^2*x0^2*w^4
points:
4.85449-4.44908*ii, -1.61374+6.30369*ii, .641198+.116197*ii, -9.82854-4.29338*ii, 4.13827-2.46835*ii, -.277111+.683465*ii, .28087+11.1427*ii, .408328-.180207*ii, -4.15324+6.01753*ii, -.334443-.622144*ii
3.48294-29.5452*ii, -5.8952-17.1306*ii, -19.594-6.01772*ii, -18.9022+21.2866*ii, -.0000969772+.000120694*ii, 4.68771+37.5022*ii, 17.8656+14.8272*ii, -.379687+.404976*ii, 21.3942+4.37962*ii, .203707-.390303*ii
6.02724+1.14*ii, -7.45413+3.48674*ii, -.205647+.535117*ii, -4.15715-13.9469*ii, 6.30944+3.20571*ii, -.403593-.638991*ii, -9.89776+9.65777*ii, -.36557+.154237*ii, -8.70933+.21623*ii, -.521686+.502476*ii
2.55589-3.93928*ii, -.195621+3.73821*ii, .743846+.177357*ii, -7.75234-1.82985*ii, 2.27635-1.92587*ii, -.255718+.700629*ii, 1.71516+7.91123*ii, -.512267+.237427*ii, -1.80961+4.69433*ii, -.280531-.640126*ii
-1.79634-1.2905*ii, -.348937-.332416*ii, -.795417-.495558*ii, -1.52032-3.04283*ii, .162882+1.61173*ii, .535245-.265124*ii, -.547232+2.65662*ii, -1.95624-.204284*ii, .0690367-.0633699*ii, -1.44229+1.50907*ii
3.33959+1.17751*ii, -4.58613+.38314*ii, -.481391-.467049*ii, -1.11021-8.80937*ii, 2.97968+3.26304*ii, -.688593+.053683*ii, -6.95058+4.80416*ii, -.348645+.236093*ii, -4.59428-.778165*ii, -.637422+.562304*ii
.636472-1.70786*ii, .066376+1.8159*ii, 1.19325+.382655*ii, -2.56636-1.01913*ii, .404572-.54358*ii, .344573-.631744*ii, .600001+3.0844*ii, -.395978+.158844*ii, -.946673+1.99293*ii, -.435466-.853644*ii
5.37239+4.20306*ii, -8.78336-1.12237*ii, -.107493+.541742*ii, 3.38018-14.7988*ii, 4.38756+6.58662*ii, -.341577-.660549*ii, -14.0434+3.61843*ii, -.354382+.179244*ii, -8.01498-4.27305*ii, -.543405-.468577*ii
-.319397-.162396*ii, -.131496-.346507*ii, -.940157-.613988*ii, -2.14346-1.15789*ii, .154492+.92898*ii, -.445384+.410468*ii, .150505+2.09877*ii, -.651932+.577884*ii, .016643+.445046*ii, .039526+1.3497*ii
.000820801-.00213117*ii, 2.67053+3.1577*ii, 1.06631-5.23712*ii, -4.64469-4.90896*ii, -.00495002-.0071955*ii, -3.94269-2.74031*ii, -.904547+5.06032*ii, .00907569+.00504026*ii, -1.28862+3.93077*ii, -3.67675+3.497*ii
-.319523-1.20486*ii, .179603-.403461*ii, .699363-.810528*ii, -.127543-.0807824*ii, -.917892+.581786*ii, .0783677+.120509*ii, .18039+.664974*ii, -.168455+.294714*ii, .584825+.582077*ii, -1.07682-.534475*ii
-.160869+.845094*ii, -.00817194-.0408992*ii, -1.04831-.368605*ii, -.000778428+.00602848*ii, -.513229+.825115*ii, -.0111908-.0277699*ii, -.0109037+.124574*ii, .561714+.208531*ii, -.0107639-.176732*ii, .631506+1.10759*ii
-1.93877-.76478*ii, .186794+.284517*ii, 1.52546+.481764*ii, -3.44255+.112384*ii, .197902-.258665*ii, .292983-.983292*ii, 2.24012+2.21189*ii, -1.85933+1.98588*ii, .105863+1.04847*ii, -.544667+.071857*ii
1.62729-29.9917*ii, -6.90537-16.5894*ii, -19.8269-5.35116*ii, -17.8442+21.9597*ii, -.000108263+.000109447*ii, 6.7809+37.1375*ii, 18.5645+14.1572*ii, -.387359+.405334*ii, 21.6041+3.30786*ii, -.386721-.206743*ii
1.23115+.143692*ii, -1.20856-.156224*ii, -.171351+1.06361*ii, -.614102-1.38063*ii, .491649+.94624*ii, .339235+.307191*ii, -1.12323+1.39387*ii, -.187997+.339528*ii, -1.12774-.050031*ii, 1.07207-.583082*ii
.750295-1.7334*ii, .302658+.188298*ii, -.840848-.319765*ii, 1.85839-3.10012*ii, -.846694+1.62398*ii, .584232-.089487*ii, -2.45051+1.15845*ii, -.208212-2.52461*ii, -.255173+.187791*ii, -.969604-.245477*ii
.44126-.507194*ii, -.0045309-.26419*ii, -.17823+.933584*ii, -2.51729-3.80927*ii, .832679+1.31084*ii, -.544823-.442438*ii, -1.31131+3.36053*ii, -2.28351-.190356*ii, -1.14923+.69502*ii, .413859+.360125*ii
.457299-.640703*ii, .378883+.077719*ii, .589582-.722771*ii, 2.14898-.297454*ii, -1.4559+.761607*ii, .274114-.387652*ii, -.99696-.635628*ii, .857087-.792942*ii, .174795+.228998*ii, -.836967-.935907*ii
7.61134+.613076*ii, -8.20493+5.50673*ii, -.22262+.504201*ii, -5.88491-15.23*ii, 7.55059+2.53098*ii, -.404886-.654535*ii, -10.4406+11.9878*ii, .368341-.129665*ii, -10.2217+1.4149*ii, -.503045+.479034*ii
-1.32253-2.31185*ii, -.10208-.383862*ii, 1.05003+.232139*ii, -6.29116+.819063*ii, .85172-.651164*ii, -.142517+.925152*ii, 3.47048+4.23656*ii, -2.36029+2.68696*ii, .777435+2.02407*ii, -.383259-.0169108*ii
-1.77027-1.83055*ii, -.112348-.347475*ii, .970692+.267633*ii, -6.83424+1.76421*ii, .903281-.943341*ii, -.131488+.915068*ii, 4.33673+4.00948*ii, -2.22368+3.33936*ii, .951085+1.9677*ii, -.0432587+.365098*ii
.554634-.894496*ii, -.183943-.453512*ii, -.773546-.504854*ii, -1.30741-3.62433*ii, .276044+1.66902*ii, -.581833+.23257*ii, -1.84755+2.8188*ii, -1.25484-.668894*ii, -.595977+.485855*ii, -.536651+.728574*ii
-.48609-1.44531*ii, .375787+.149926*ii, -.909978-.383782*ii, .038998-2.39269*ii, -.505006+1.28879*ii, .490664-.194918*ii, -.965246+1.72374*ii, -.830027-1.40474*ii, .0828056+.304527*ii, -.917876+.699063*ii
