variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
4*c2*r*mu-dp*r
dp*L+delP
-c0-c2*r^2+u
.999931*r^3*delP-1.00122*r*Rad^2*delP+3.99978*r*u*L*mu
points:
.193682+.397687*ii, -.277606+.172472*ii, -.258724-.258111*ii, -1.12627-.610252*ii, -1.67647+.271604*ii, -.29216+.170633*ii, 1.64687e-16-8.6539e-17*ii, .0639121+.272151*ii, 5.27172e-17+5.78509e-17*ii
.551617+1.34256*ii, 1.15129-.811584*ii, 1.55573-3.64699*ii, .777176-1.74577*ii, -.682612-1.87978*ii, -4.46408+.201772*ii, 1.06805e-16+2.03892e-16*ii, .598616-.36995*ii, -2.05511e-16+2.51941e-16*ii
.055003+.761777*ii, .309511+1.63231*ii, 1.60928+1.20255*ii, -.127568+1.45459*ii, -.066961+1.63891*ii, .010948-2.78021*ii, 4.91632e-17-3.8695e-17*ii, .2229-.204207*ii, 3.34609e-17+9.30923e-17*ii
-22.2054+15.0151*ii, .219897-.124549*ii, 37.6488-3.12242*ii, -12.3919+5.07608*ii, -.73552-4.17622*ii, -9.77305-28.5653*ii, -2.07966e-16+5.64085e-17*ii, 33.9289+15.6673*ii, -1.77177e-15+1.19502e-15*ii
-.221229-.253546*ii, .0519873-.0477991*ii, .164657+.370015*ii, -.891312-1.32096*ii, -1.30315-.188784*ii, -.158087-.0856948*ii, -7.41187e-17+7.20968e-17*ii, -.457464+1.35874*ii, -1.21689e-16+7.5095e-17*ii
-5.91754-2.43401*ii, .0408651+.0271706*ii, 2.37673-1.84493*ii, -14.301-10.2068*ii, -11.4184+13.5211*ii, -9.74914+12.2222*ii, 0, 4.87891-14.5306*ii, 0
-2.47546-4.54326*ii, 2.02456+1.60473*ii, -1.00215-3.8315*ii, 1.17677-.109046*ii, 1.442-3.32479*ii, .715912-2.85971*ii, -2.07011e-170+2.07011e-171*ii, -.306317-.230332*ii, -1.24206e-170+1.65608e-170*ii
-3.94589+.161966*ii, 5.61613-1.60877*ii, 2.60425-.77943*ii, 1.22504+.117583*ii, .434915-1.37035*ii, 4.8682-.612167*ii, -4.01021e-225-2.40612e-225*ii, .116321-.0013752*ii, 9.6245e-225+3.27149e-225*ii
.242145-1.11584*ii, .523423+.340644*ii, -1.22848-.368251*ii, 1.26112+1.09704*ii, -.679682-.431906*ii, -.497897+.464288*ii, 4.26959e-171-7.7629e-172*ii, -.492589+.144692*ii, 8.02166e-171+4.39897e-171*ii
.974322+.181403*ii, -1.23007-3.2895*ii, -1.52458+1.07676*ii, -.559625+.284419*ii, .549321+1.57967*ii, -.358572-.191126*ii, 5.61352e-202-3.95498e-202*ii, -.0337825-.1285*ii, -1.02064e-202-9.69609e-202*ii
1.28877+2.96847*ii, -.069793-1.75269*ii, .698738-2.97936*ii, -1.35273-.259944*ii, -1.11282+.093328*ii, 2.39838-.169379*ii, 2.37633e-176-8.07914e-177*ii, .420334+.116404*ii, 1.1139e-177+8.11126e-176*ii
-1.06191+1.04694*ii, .0674237+.0821246*ii, -.658654+1.26764*ii, -4.04104+2.41619*ii, 2.42389+2.61018*ii, 1.24922+.591947*ii, -2.54059e-262-2.54059e-262*ii, 1.32181+3.09024*ii, -3.81088e-262-6.35146e-263*ii
.759467-.55114*ii, .549715-.266818*ii, -.775458-.177549*ii, -.249667+.140173*ii, .205298-.155949*ii, .764257-.601006*ii, -1.2513e-147+9.5314e-148*ii, -.253702-.203887*ii, -1.09489e-147+9.38476e-148*ii
.660403+.114698*ii, -.912826+.108713*ii, -1.39258+.756936*ii, -.998631+.493465*ii, .768024-.606663*ii, .079501+1.0963*ii, -9.13332e-107+3.42074e-106*ii, .400402-.15962*ii, 8.50128e-107+5.09039e-106*ii
-1.06883-.402827*ii, 1.13978+2.29698*ii, -.780048-1.36621*ii, -.706438-.207123*ii, .769427-.065683*ii, -1.22111+.978494*ii, -1.87996e-199+5.96108e-199*ii, -.153122+.0089194*ii, -9.63624e-199+1.87887e-199*ii
-.371001+2.03507*ii, -4.78579-.122431*ii, .666467+1.10792*ii, .71585+.153417*ii, -2.06011-.590606*ii, -2.6839+.924022*ii, -1.47608e-180+2.83166e-180*ii, -.0362717-.0569476*ii, 3.1329e-180+1.80744e-181*ii
-2.40086+2.97295*ii, 1.13225+.053846*ii, -1.25426-1.06268*ii, 1.7531-1.27395*ii, -3.79129-1.44607*ii, -.518107-2.00639*ii, -7.25162e-73+1.41495e-73*ii, -.287448-.22097*ii, 3.53737e-73-8.4897e-73*ii
1.96816-.52931*ii, -.776696+.300043*ii, -1.15051+.007026*ii, -1.7463-.309261*ii, -1.00414+1.06867*ii, -.650224-.481936*ii, 1.8546e-67-5.56381e-68*ii, .322993+.122513*ii, 1.66914e-67-1.8546e-68*ii
-.509194-.358874*ii, 1.7799-.972656*ii, .660354+.464423*ii, -.900517+.15302*ii, .065518+.684804*ii, .624446-1.61539*ii, 7.08212e-220-3.18695e-219*ii, .0439732+.0892614*ii, -2.08037e-219+1.50495e-219*ii
2.02343-.231667*ii, -.0545441+.0358555*ii, .028529+.968832*ii, .377914+4.94935*ii, -2.46564-.30812*ii, 3.21762-1.30891*ii, -1.82109e-258-7.80468e-259*ii, 1.94698-3.16071*ii, 2.73164e-258+9.75585e-259*ii
-2.50544-.116216*ii, .127465+.448727*ii, .22218-3.99842*ii, -1.08073+.546657*ii, -1.20716+.349707*ii, -1.86445+.123186*ii, 0, -2.02878-.700076*ii, 0
.475284-.713199*ii, 1.59818+1.56332*ii, 1.31146-1.01328*ii, -.065975+.973864*ii, 1.59666+1.13893*ii, -.832601-2.39443*ii, 2.66153e-210*ii, .0256027-.18355*ii, -7.60437e-211-4.37251e-210*ii
-3.97329+3.75745*ii, .517871-.33873*ii, 4.85936-10.806*ii, 1.15065-1.91694*ii, 1.27038-4.09437*ii, -6.68491+2.26913*ii, 2.07576e-233-4.08862e-234*ii, 4.03263-2.57887*ii, -4.27733e-233+1.50964e-232*ii
