variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
-.855635-.644846*ii, .455559-.44511*ii, -.183283-.847185*ii, .182789-.201605*ii, 1.22136-1.64322*ii, .0920877+.126244*ii, -.28612+.0545749*ii, .184125-.227897*ii, 2.15486+.121279*ii, .260474+.591179*ii
.096756+.840598*ii, .0135824-.171427*ii, .455406-.991242*ii, -.865604+.082708*ii, -.987511-.282672*ii, -.326056-.131381*ii, -.153124-.718906*ii, -1.42133-.975314*ii, .068815-.756839*ii, -.003283-.565683*ii
-.081181-.50725*ii, .0640621+.238079*ii, -.912463-.304265*ii, 1.51068-1.2095*ii, -.852465+1.2322*ii, -.46235+.0072611*ii, -.735424-.66744*ii, 1.12816+.82488*ii, -1.38943-.680042*ii, -.432252-.196354*ii
1.23118+1.58805*ii, -1.51745-1.10071*ii, -1.30192+.376686*ii, -.381938-.564812*ii, -.355504-.400559*ii, -.0792838+.378536*ii, .426291-1.30062*ii, -.0671003+.20508*ii, .293494-.689444*ii, -1.17226-1.47101*ii
.0112015-.0251205*ii, .452453-3.1545*ii, -.344002-3.59301*ii, 1.67518-2.88354*ii, .00800884-.0271997*ii, 1.31925+1.85693*ii, -.0536178-.0743071*ii, .0310661+.0106552*ii, .344992-.582276*ii, -.503075-2.53098*ii
2.18826-3.01502*ii, -.132311-.478965*ii, .124018+1.17325*ii, -.410314-.280027*ii, -.252281+.771761*ii, -.281964-.0554324*ii, -1.74043+.623711*ii, .941617+.092068*ii, .0214721+.0595184*ii, -3.33016-.127791*ii
.295985-.557427*ii, .389872-.27987*ii, -.645269-.953116*ii, -.388743-1.96071*ii, .854348+.186203*ii, .559967+.051892*ii, -1.20681-.363284*ii, .562329-.581307*ii, .163725+.847645*ii, -.746726-.478097*ii
-.627962-1.53762*ii, .200761+.0434692*ii, 1.50354-1.05495*ii, .052696-.238393*ii, -.0562936+.207689*ii, -.0873804+.301214*ii, -.399252+.0686066*ii, -.314877-1.02401*ii, .126463-.174895*ii, -.634815+.971075*ii
-.13479+15.6006*ii, -16.2557+5.00222*ii, -3.25075+4.82139*ii, -.893842-.627043*ii, .00663385-.00140617*ii, 1.30674+1.64364*ii, 9.89285-13.8461*ii, -.0825552+.0147397*ii, -4.45391-2.29094*ii, .826663+2.02952*ii
2.09587+.43058*ii, 1.28718+3.36421*ii, -.383039-.526622*ii, -1.57424-.823755*ii, 4.58981+1.49938*ii, .277691-.113433*ii, -2.94177-2.40193*ii, -.14213-.121618*ii, .078802+5.43151*ii, .169042+.953519*ii
2.07474+1.07375*ii, -.781265+.438987*ii, -1.23391-.011697*ii, -.735082-.47194*ii, -.709335+.020178*ii, .115822-.381362*ii, -1.01734-1.76669*ii, -.47399+.280723*ii, -.308456-.344662*ii, -1.03614-1.2909*ii
-1.28885-.719137*ii, .567176-.383209*ii, -.245832-.959531*ii, .0491199-.244737*ii, .937615-1.0016*ii, -.137824-.101258*ii, -.23907+.279826*ii, .0495173-.302412*ii, 1.50401+.145548*ii, .270943+.753146*ii
-.717784-.153246*ii, .201006-.42763*ii, -.170172-.882759*ii, .0673866+.253433*ii, .99226-1.54361*ii, -.0713462+.142204*ii, -.009522-.192046*ii, -.30445-.101307*ii, 2.01796-.018647*ii, .306191+.487214*ii
-.738319-.367298*ii, -.0195709-.351391*ii, .024074-.880513*ii, .156923+.217491*ii, -.1598-1.94439*ii, .0756084-.138327*ii, -.035939-.217998*ii, -.334929-.317914*ii, 1.87248-1.17705*ii, .240887+.408667*ii
.293846-.56933*ii, -.102736+.233331*ii, -1.53687+.360045*ii, -.249422-2.27451*ii, -.261387-.215893*ii, .396078-.723872*ii, -1.36688-.525828*ii, 1.59757-.375982*ii, -.18153-.334037*ii, -.874219-.429086*ii
4.16255+.014056*ii, 2.46864+6.13575*ii, .605112-.123561*ii, -1.24164-.891236*ii, 4.65773+3.21585*ii, .0289285-.26227*ii, -5.15075-3.72356*ii, .101185+.0844498*ii, -1.66618+6.82601*ii, .353024+1.09842*ii
3.87155+.310791*ii, 2.23179+5.30746*ii, .591374-.101331*ii, -1.22182-.801457*ii, 5.39021+3.00869*ii, -.030148+.248823*ii, -4.47679-3.47914*ii, .106707+.0951833*ii, -1.08777+7.18239*ii, .286657+1.01918*ii
-.368539-.800037*ii, .143044-.0936847*ii, .703426+.504737*ii, .284409-.372904*ii, -.600119-1.96498*ii, -.202188-.033208*ii, -.402751-.0900185*ii, .826632-1.00201*ii, 1.57495-1.48991*ii, -.0296548+.332657*ii
-.031590-.633823*ii, -.175941+.123451*ii, .596535+.45309*ii, 1.20656-.695802*ii, -1.17045-2.94811*ii, .282804+.115596*ii, -.478654-.742027*ii, 1.35451-.671101*ii, 1.9741-2.53687*ii, .304106+.0455992*ii
.394805-.765275*ii, .341405+.0324091*ii, .963241-.644311*ii, -.060039-1.14914*ii, -.168394+.840009*ii, -.0725757+.423427*ii, -.902211-.407332*ii, .117492-.996198*ii, -.65202+.212189*ii, -.823472-.170903*ii
3.79211+.453984*ii, 1.87678+5.94683*ii, .618523-.139681*ii, -1.30528-.866433*ii, 4.11101+3.23236*ii, .0194306-.273592*ii, -4.55188-3.87433*ii, -.107232-.0829283*ii, -1.97021+6.237*ii, .349615+1.10728*ii
.083444+.894392*ii, -.178246+.34343*ii, -.46674-.698778*ii, -1.13948+.084132*ii, 2.20406+.437263*ii, -.2516+.181805*ii, -.17016-1.01111*ii, -.882362-.200363*ii, .590554+2.14675*ii, -.180933+.461554*ii
.011838-.0174048*ii, .419575-3.18697*ii, -.349302-3.61792*ii, 1.60963-2.86702*ii, .00790649-.0266167*ii, 1.33424+1.84595*ii, -.0308144-.0618937*ii, -.0257838-.0116237*ii, .353908-.576624*ii, -.539814-2.53529*ii
