variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
T*omega-2*Pii
-ad+omega^2*d
-T*j+Tj
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
-.258857+.0033845*ii, 1.61634e-23-9.7683e-23*ii, -.01627-.659663*ii, -.00273396-.000786633*ii, -.45527+.529445*ii, .59416+.021544*ii, -.546992-.401903*ii, -.0052452-.0842771*ii, .435152-.0644947*ii, 6.61669e-18-2.92704e-17*ii, -4.06455e-17-2.57731e-17*ii
-1.30748+2.31164*ii, 1.74155e-23+2.14241e-23*ii, .884298-1.83037*ii, .418603+.213135*ii, .40268+1.0323*ii, -.241588-.59556*ii, -1.1361-2.463*ii, .65406-.860013*ii, 1.49687+.009007*ii, 9.99436e-17+5.26723e-17*ii, -7.64727e-17-6.44626e-17*ii
.470942-3.06833*ii, -6.19965e-23+1.09419e-23*ii, -.837051+.986406*ii, -.568811-.161514*ii, -1.62402+.119967*ii, 1.76309+.575959*ii, .665687+1.97626*ii, -.625583+1.0214*ii, -.880005+.099475*ii, 7.8483e-20+1.97604e-20*ii, -2.45608e-20+1.46806e-20*ii
.250534+.103403*ii, 1.11805e-19+2.9191e-19*ii, -.306119+.598526*ii, 1.46422+1.07114*ii, .856082+1.31984*ii, -.509977+.315557*ii, -.846873+.43842*ii, 1.93131-.625843*ii, -.396435-.873934*ii, -1.04471e-19-1.12203e-20*ii, 2.10786e-19-2.13434e-19*ii
-3.22774-2.63072*ii, 2.00164e-21+1.76991e-21*ii, -.941648-.840905*ii, .804826+4.05046*ii, .170416-2.08617*ii, -1.86824+1.82628*ii, -2.85455+1.34836*ii, 1.06354-1.26315*ii, .105735-.393566*ii, -1.98253e-22-1.67491e-21*ii, 9.08222e-22-6.00633e-22*ii
2.77994+.50507*ii, 1.76426e-21+1.87725e-21*ii, 1.06394-.278404*ii, 2.12653+1.75477*ii, -.158592+.495748*ii, 1.79934+1.48989*ii, -.122224-1.39084*ii, 1.70138+.748945*ii, -.553752-.589122*ii, 1.19985e-21+7.53044e-22*ii, 1.28962e-22-2.07889e-21*ii
1.89006-1.0228*ii, -7.49348e-30-7.66118e-30*ii, .206322+1.8681*ii, 1.64167-1.03155*ii, -1.8162-.503454*ii, -.585359+.165804*ii, .70036-.667564*ii, -.0167634-.165568*ii, -.191321+1.08169*ii, 6.3829e-30-7.78963e-30*ii, 9.72068e-30-6.63988e-30*ii
-2.10683-5.69189*ii, 3.72958e-26+3.72372e-27*ii, -.236893+1.46614*ii, 2.8791+2.82615*ii, -4.77897-2.33778*ii, 1.71928+2.14844*ii, 1.09553-.983845*ii, -2.28007-.117151*ii, 1.01489+2.81721*ii, -7.14729e-27+2.68993e-26*ii, 2.73605e-26+1.08849e-25*ii
.270751-4.77205*ii, -2.01365e-31+1.18463e-31*ii, 1.57012+.96058*ii, -.185564-.163414*ii, 4.50069-3.71613*ii, -1.21767-.712455*ii, -.837755-1.50559*ii, 2.84379+3.10619*ii, 2.30348-1.85317*ii, -2.14981e-31-3.7128e-33*ii, -2.44309e-31+6.46043e-31*ii
.005229+3.31414*ii, 2.65981e-21-5.00055e-21*ii, -1.20127+.692332*ii, -2.25375+1.79308*ii, -4.44809+.827554*ii, -1.49034+.866623*ii, .759719+.125361*ii, -1.50001-1.44253*ii, 3.49514-.144803*ii, 1.33449e-22+3.92423e-21*ii, 8.57231e-21-1.78628e-20*ii
-.0471835+.146278*ii, -9.92161e-21-8.26537e-21*ii, .15408+.326779*ii, -.839476+1.59069*ii, -.963863+.878975*ii, 1.0946-.434126*ii, 1.50637+2.04303*ii, -.634003+2.06858*ii, -1.02462+.301562*ii, 5.86116e-22-2.25785e-21*ii, 1.26584e-20+5.47685e-21*ii
-1.00955-1.31146*ii, 1.41354e-25-1.96529e-25*ii, -.197822-1.15403*ii, .860891+3.06661*ii, 1.52344-2.2118*ii, .375757+1.14727*ii, -1.10451+.664854*ii, -.825486+.297586*ii, .226137-2.48746*ii, -1.27382e-25-6.2125e-26*ii, -4.56892e-25-3.96056e-25*ii
2.54983-7.95604*ii, 7.03336e-21+6.66292e-21*ii, .376843+1.57872*ii, 4.19181-.266464*ii, .011072-.889203*ii, -2.22764+2.25731*ii, -.93026-3.66405*ii, -4.53411-5.18925*ii, 1.74922+8.95015*ii, -3.9342e-21+6.80729e-21*ii, -4.73313e-20+7.46045e-20*ii
1.36629+1.20859*ii, -7.4209e-31+7.5171e-30*ii, .63044+.280162*ii, -1.63427+.582976*ii, .858508+2.48039*ii, 3.80856-.428858*ii, -1.4769-1.55142*ii, .552847+1.98133*ii, 1.5837-1.71857*ii, -1.28693e-30+2.26558e-30*ii, 1.17434e-29+1.31802e-29*ii
.722858-.70599*ii, -3.69996e-33-4.55203e-33*ii, -.424027+1.10503*ii, -.743665+.455548*ii, -1.07203-.163887*ii, -.046425+.719769*ii, -.289863+.0014385*ii, .504051-.056451*ii, -1.41244+.638045*ii, 3.29951e-33-1.0792e-33*ii, 8.13038e-33+4.06874e-33*ii
-1.00469+.596726*ii, 1.47268e-32+1.14748e-31*ii, .669163-.318025*ii, .487612+.894087*ii, -.735568-.311204*ii, -1.99874-.732697*ii, -2.62948+.842473*ii, .432896+.0254574*ii, 2.85705+.028466*ii, 2.31737e-32+3.60508e-32*ii, 3.88089e-32+3.2826e-31*ii
.661519+.686534*ii, -3.70431e-26+5.22368e-26*ii, -.776495-.488952*ii, 1.25508-.074904*ii, -1.55677-2.13727*ii, 1.07479-.356148*ii, -1.38319+.257516*ii, -1.48496+1.52665*ii, -1.02998-.504092*ii, 2.71525e-26-1.12247e-26*ii, 6.44857e-26-3.51296e-26*ii
3.66741+2.67175*ii, -1.84318e-31+7.30984e-31*ii, .026851+.749551*ii, 1.11106+4.37323*ii, 8.41394+3.31987*ii, -6.16273-5.20368*ii, 4.4594-4.15104*ii, .187862+2.61481*ii, -8.07647+1.60039*ii, -2.7643e-31-5.92641e-32*ii, 3.18785e-31-6.19875e-30*ii
