variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
G*M*m+Ugi*r
-1.1*m*ve^2*r+2.2*G*M*m
points:
-1.10934e-30+3.6978e-32*ii, 3.14563+2.00444*ii, -1.65597+.574371*ii, .965342-1.46394*ii, 1.15762+.953036*ii, -1.29301-.721509*ii, -1.57772e-30*ii, -.0326168+.369099*ii, 1.19562e-30
-5.16559e-63-4.86173e-63*ii, -2.24673-.676284*ii, 1.44987-.294935*ii, .644094-1.22159*ii, -2.42278-.126753*ii, .426131+.901861*ii, -3.95016e-63-4.86173e-63*ii, -.863044+.043669*ii, 2.43087e-63+1.21543e-63*ii
4.92261e-205, 1.07653+.970044*ii, .968856+1.70623*ii, .323545-1.19486*ii, .627449-2.57704*ii, .105374-.676466*ii, 4.9836e-205+1.99344e-205*ii, -1.18462-.823657*ii, 6.2295e-206+6.2295e-207*ii
1.52087e-210-3.80218e-211*ii, -4.38669-.325732*ii, -.464465+2.44576*ii, 1.82954+.574543*ii, 3.08718+.086668*ii, -3.41953-.107657*ii, 2.49518e-211+1.90109e-211*ii, 4.00252-.308367*ii, -3.80218e-210+3.61207e-210*ii
-6.82257e-76-1.38179e-76*ii, -.959117+.573541*ii, .130504-.491115*ii, -2.49562-1.93066*ii, -.807794-4.20685*ii, -2.2859-1.97701*ii, 2.07268e-76+6.56349e-76*ii, -2.40134-.81677*ii, 6.07986e-75-8.98162e-75*ii
2.25415e-131-6.76244e-131*ii, -1.64685-2.2301*ii, 3.46528+2.10023*ii, 2.53794+3.36823*ii, -.441565+2.3463*ii, -1.59733+1.69089*ii, 1.40429e-131-2.25415e-131*ii, -1.94739+1.43036*ii, -7.74862e-132+1.23274e-132*ii
2.21209e-61+9.7235e-63*ii, -.608923-.299638*ii, .865426+1.03922*ii, .087116+2.04276*ii, .643683-1.69353*ii, -.064448-1.35295*ii, -1.16682e-61+2.13916e-61*ii, .33949-1.33579*ii, 3.09935e-62-2.43087e-63*ii
-2.81094e-31-5.06308e-32*ii, .0642234-.355647*ii, -1.34756+.848629*ii, -1.41895+.975052*ii, .258943+1.33101*ii, .297625+.0902903*ii, -1.03204e-32-1.24786e-31*ii, -1.69384+1.30117*ii, -6.4045e-34+1.88843e-32*ii
-5.40718e-33-2.47069e-32*ii, .0703504+.421151*ii, -1.19153+.876896*ii, 1.17563+2.47499*ii, .787524+.11739*ii, 1.2809-.146422*ii, -1.37958e-33-1.8405e-32*ii, -1.6514+.116318*ii, 3.72574e-32+5.18083e-32*ii
-9.50546e-211+3.80218e-210*ii, -.598456-.430347*ii, -.209599-.834901*ii, .393156+1.68754*ii, -.395492-1.47075*ii, -1.26449+.145206*ii, -3.46949e-210+2.28131e-210*ii, .972294+.002329*ii, -1.82505e-209*ii
4.86173e-62-1.16682e-61*ii, 1.67203-.709979*ii, -2.89979+.419924*ii, -1.35496+2.10455*ii, -.17815-1.14755*ii, 1.04063+1.02435*ii, -4.25401e-63-7.2926e-63*ii, 3.2216-.652928*ii, -1.51929e-64-7.59645e-65*ii
2.73278e-31+7.96333e-32*ii, 2.69822-3.67581*ii, -1.01443+.929478*ii, -1.97055+4.09839*ii, -.248134-2.13043*ii, -.493328+.821061*ii, -1.1897e-32-2.52683e-32*ii, 1.85581+4.11575*ii, 1.69523e-33-1.31219e-33*ii
0, -.93915+.341642*ii, 1.39387+.312466*ii, .930254+1.53252*ii, -.183899-.831363*ii, -.198048-1.6385*ii, -3.80218e-211-1.33076e-210*ii, -.480029+.0406197*ii, 1.90109e-211+8.91137e-212*ii
1.50807e-87-2.5501e-87*ii, -1.90968+.037106*ii, -.871864-.238379*ii, -.127902-.391733*ii, -3.46039-1.35585*ii, .994657-.878217*ii, 1.00144e-87-7.54037e-88*ii, .31822+2.50742*ii, 7.03768e-87-6.03229e-87*ii
4.97841e-60+7.46762e-60*ii, -.429222+.682992*ii, .166459+.285297*ii, -.236703+.844597*ii, .741522+1.62271*ii, -.122318+.526154*ii, -2.1905e-58+1.49352e-58*ii, .319351-.0835851*ii, 5.49617e-57-2.38964e-57*ii
-3.47914e-32+2.31403e-32*ii, -.18912+2.18421*ii, 2.41428+.434003*ii, -.457872-3.31405*ii, .505714+.437702*ii, -3.26132+3.27915*ii, 3.04811e-33-1.24113e-33*ii, .503681+5.01383*ii, 2.50002e-33-8.3702e-33*ii
0, 1.47743-2.46788*ii, 1.8706-1.40825*ii, -.660164+.257976*ii, -.0587458+.327488*ii, .62817+2.06328*ii, -3.88628e-77-4.31808e-78*ii, .574189+1.06243*ii, -5.39761e-79
-9.05568e-72+4.07506e-71*ii, -1.49985+4.16435*ii, 2.82615-7.35275*ii, -2.06229-4.76255*ii, 3.5618+1.84445*ii, -.597751-1.1268*ii, -3.62227e-71+3.62227e-70*ii, .070273-.913048*ii, -5.6598e-73-3.11289e-72*ii
4.14536e-76-1.17903e-76*ii, -.61882-1.14645*ii, -.610892+.500419*ii, -2.81611+2.44922*ii, .580831+.107419*ii, 1.31671+4.85025*ii, -2.9363e-76+9.06798e-77*ii, -.108939+2.15799*ii, 7.77255e-77+9.49979e-77*ii
-1.1227e-76-1.1227e-76*ii, .759066+.019179*ii, -3.14259+.734001*ii, -2.74167+2.50679*ii, -1.843+.58273*ii, 1.53183+.2773*ii, -1.38179e-76+1.72723e-77*ii, -1.06404+.542694*ii, -5.39761e-78*ii
0, 1.80063+1.32726*ii, .951663-.162425*ii, .495358+2.05373*ii, .177337+1.61533*ii, -2.79823+.354191*ii, -1.86885e-205-9.96719e-206*ii, .331442+.341419*ii, 3.98688e-205+4.9836e-205*ii
2.0373e-205*ii, -.240668-1.17196*ii, 1.31504-2.77749*ii, .376726-.418075*ii, .75583-.506089*ii, .28212+1.86471*ii, -3.7377e-205-4.60983e-205*ii, .629682-.949159*ii, 5.45081e-207+1.71311e-206*ii
