variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
-theta*L+d
-ad+omega^2*d
1.01*g*Tj^2-4.04*L*j^2*Pii^2
points:
-5.49024e-62+1.01666e-62*ii, .394713-.220983*ii, -.252925-.731324*ii, -.514703-.393239*ii, -.35787+.722874*ii, 5.30525e-18+1.20614e-17*ii, 4.82455e-17-2.1221e-17*ii, -5.66797e-18-4.70438e-18*ii, -1.06197-.219894*ii, -.0242724+.0885394*ii, -.035022-.621767*ii
-1.04177e-31+1.85083e-31*ii, .256478-2.72254*ii, -2.98089+.393561*ii, 2.52792+2.61829*ii, -1.13592+5.50647*ii, -1.64416e-32+1.67803e-32*ii, 3.59834e-32+1.1496e-32*ii, 7.06255e-34-7.51174e-34*ii, -1.047-1.48227*ii, -3.66021+1.89292*ii, 2.46217-.207761*ii
-2.84703e-59-6.34748e-59*ii, .634205-1.64964*ii, .814707+2.0153*ii, -.768026+4.39826*ii, -.615635+.930398*ii, 7.841e-59+1.29439e-58*ii, -2.86259e-59+2.42698e-59*ii, 5.72517e-59-1.36906e-59*ii, .56931-.881392*ii, -.140093-.264706*ii, 3.33844-1.28813*ii
8.04657e-32+1.8027e-32*ii, 2.33595-.785894*ii, .590165-2.37532*ii, -1.24441+.319986*ii, .547067-.419427*ii, -1.32788e-32+3.62729e-33*ii, 7.67235e-32+9.17748e-32*ii, 2.8755e-34-1.60221e-34*ii, 1.90324+1.32976*ii, -1.8543+1.37077*ii, -.693278+.285314*ii
-4.3993e-32+2.84455e-30*ii, 3.90008+.213738*ii, 1.87322+1.85696*ii, .481404+2.15389*ii, 1.47723+.302663*ii, 4.08791e-31+9.8877e-33*ii, 3.50053e-31+1.85388e-30*ii, 1.56225e-31-8.49059e-32*ii, .422498-.696172*ii, -1.88017-3.33837*ii, -1.17809+1.51063*ii
2.18953e-47-3.28429e-47*ii, -.204528+3.29108*ii, -1.88936-1.21386*ii, .226033+.973255*ii, 1.55093-.986248*ii, -8.21073e-48-1.5053e-47*ii, 8.21073e-48, -1.23161e-47+6.8423e-49*ii, -.829464-.241546*ii, -.309534+.907139*ii, 3.47326+.155211*ii
4.84192e-32+1.7191e-32*ii, 1.36754+1.67285*ii, -.993254+1.87465*ii, .369716+.335978*ii, -.240438+.0354368*ii, -9.20198e-33+6.75586e-33*ii, -1.86784e-31-9.9028e-32*ii, -2.33735e-32+3.58232e-32*ii, .606966-.496449*ii, 1.27958+.412097*ii, .418188-.851106*ii
-1.30375e-32+5.39855e-33*ii, .13103-1.03331*ii, .342488-.169782*ii, -1.30867-.044828*ii, .323737+1.49678*ii, 1.78553e-32-7.82334e-32*ii, 1.64583e-33+9.06634e-33*ii, 2.32498e-34+1.79171e-34*ii, -2.61731+1.14106*ii, .864129+1.57946*ii, 1.75742+.527762*ii
-2.01936e-31+3.68328e-31*ii, -.749111-.334502*ii, .78876-1.83698*ii, -.462497-.0469535*ii, -2.26086-.617334*ii, -3.20268e-32-1.00103e-31*ii, 4.17229e-32-1.74308e-31*ii, -3.5542e-33+1.93788e-31*ii, -.653556-1.10693*ii, -.0485262-.444629*ii, -.174774-1.2745*ii
6.94844e-30+1.96449e-30*ii, 4.38878+2.29174*ii, 2.06365-3.31233*ii, -8.71859+2.63953*ii, -1.41108-3.66494*ii, -3.16868e-31+3.52669e-31*ii, -1.10255e-30+1.47141e-30*ii, -3.9509e-35-4.88992e-35*ii, -8.63331+13.1329*ii, 3.09236+10.3221*ii, -.717751-1.84585*ii
-2.09131e-32-2.80057e-31*ii, .623462+.552879*ii, .448787-.644625*ii, -1.32238-1.76629*ii, -.823829-1.1512*ii, 4.34796e-31-2.21919e-32*ii, 1.6948e-31+1.03118e-31*ii, -1.10049e-31+1.63773e-31*ii, .103386+.320211*ii, -.08938+1.82072*ii, 1.04641+.633922*ii
3.26985e-32-1.30705e-32*ii, -.651061-.155405*ii, -1.30273+.894607*ii, -.290531-1.40996*ii, 1.41628+.175385*ii, 9.58596e-33+1.03403e-32*ii, 2.16133e-32-1.19053e-32*ii, -1.06393e-34-2.01348e-34*ii, -.221886-1.11267*ii, -.242974-1.4648*ii, .16162-.331808*ii
-2.24404e-31+2.25141e-31*ii, -1.90068-1.3951*ii, 3.52852+2.66185*ii, 4.34725+.364189*ii, -.302718-1.28429*ii, 7.92685e-33+1.421e-32*ii, -1.2706e-31-2.04679e-31*ii, 3.59605e-33+3.9803e-33*ii, -2.74992-5.69154*ii, .228775-.750944*ii, .357695+1.43704*ii
-3.70446e-32+2.0816e-32*ii, -1.12321-.361718*ii, -.796032+.57314*ii, .813197+.669039*ii, .898317-.117944*ii, -3.27296e-32-2.96515e-32*ii, -4.35298e-32+1.7457e-32*ii, 6.40087e-33+8.1139e-33*ii, 1.38851-.750345*ii, .232807-1.62038*ii, -2.3248-.692214*ii
1.08282e-31+1.3946e-31*ii, 1.38504-1.38214*ii, -2.04326-.282451*ii, 2.98742+1.56491*ii, 3.55566+1.48532*ii, 3.33878e-32+2.46445e-32*ii, 3.9879e-32+2.25633e-32*ii, -2.09078e-33+8.67088e-33*ii, 1.76047-1.41316*ii, -.325218+1.58173*ii, .552603-3.16897*ii
-7.60493e-32-5.60793e-32*ii, .154993-2.01362*ii, -3.24328+1.01701*ii, 3.24654+.584008*ii, 1.68664-.088028*ii, -2.63226e-33-7.74354e-33*ii, -4.3236e-32-3.55056e-32*ii, -3.99745e-33-3.5062e-34*ii, 1.62628-1.26438*ii, 1.90994+.803562*ii, -1.4143-.010355*ii
4.94158e-31-9.71728e-31*ii, -4.34589+1.69316*ii, 1.62415-.764766*ii, -.60315+.232621*ii, 4.94965+.161393*ii, 3.30103e-31-7.38854e-32*ii, 9.33363e-32-1.99366e-31*ii, -1.7194e-33+5.07556e-34*ii, -1.08986+2.03337*ii, .570196-3.11192*ii, -.882913+.908086*ii
