variable ordering: Fc, Fg, w, m1, m2, d1, d2, p

component_1:
equations:
Fg*d1^2+2*Fg*d1*d2+Fg*d2^2-m1*m2
-w^2*m2*d2+Fc
Fc-Fg
-1.02*m2*d1^2*d2-2.03*m2*d1*d2^2-1.01*m2*d2^3+1.01*m1*m2*p^2
points:
-1.18637e-31-5.54668e-32*ii, -1.54074e-33-8.01187e-32*ii, .0291724-.444294*ii, 6.16298e-32+1.97215e-31*ii, -.267294-.859306*ii, 1.25492+.960991*ii, 1.47911e-31-3.32801e-31*ii, -.810331+.777839*ii
-8.1196e-33+3.47291e-32*ii, -1.78329e-32+4.41029e-33*ii, .608736+.125235*ii, 2.17063e-32-4.25388e-33*ii, -1.32792+.667991*ii, 1.30885-.277021*ii, 1.77606e-32-5.95274e-32*ii, -1.64512+1.53947*ii
3.35168e-34+1.10623e-33*ii, 8.1668e-34+1.31539e-32*ii, -.387002+1.94527*ii, 4.44795e-32+1.53265e-32*ii, .967169+.585161*ii, 1.90906-.625076*ii, -2.45076e-34-8.66201e-35*ii, -.151101+.0127376*ii
-8.31307e-32+1.78247e-32*ii, -2.03193e-34-6.20819e-35*ii, 4.27528+1.51889*ii, -4.35067e-35+3.46197e-35*ii, 1.41979-2.58101*ii, .460805-.747349*ii, -1.38093e-33-2.42643e-34*ii, 3.66876-2.48436*ii
-9.41847e-33+2.34282e-32*ii, -5.0332e-33-4.98847e-33*ii, 3.31262-.05187*ii, 6.3244e-32+4.50489e-32*ii, .128143+2.93372*ii, -3.5781+4.40151*ii, 7.02941e-34+3.4583e-34*ii, .324109-.472016*ii
2.8299e-71+1.81114e-71*ii, 2.9431e-71+1.13196e-71*ii, -2.82932-1.02095*ii, 1.35835e-71-3.33928e-71*ii, .801817-2.93337*ii, .209261+2.77989*ii, 2.8299e-73+1.80406e-72*ii, .317325-.486832*ii
-9.72346e-63*ii, 7.2926e-63-9.72346e-63*ii, .282801-.908941*ii, 7.2926e-62+6.80642e-62*ii, -.02593+1.62897*ii, .64969+2.89246*ii, -3.6463e-62-4.86173e-63*ii, -1.83099+1.24344*ii
1.08903e-60+5.63961e-61*ii, 1.12792e-60+5.44514e-61*ii, 2.77322+2.67896*ii, -2.17806e-60+4.35611e-60*ii, .485893+1.55624*ii, -.307501-2.75235*ii, -2.30932e-62-6.32025e-62*ii, -.055080-1.25014*ii
-2.73691e-48+6.2949e-47*ii, -3.42114e-48+6.0212e-47*ii, -.084005-.603678*ii, -1.77472e-48-9.49366e-48*ii, -.350319-2.29796*ii, .853062+.299139*ii, 9.03181e-47, -1.19315-1.6059*ii
5.52715e-76, 5.28965e-76-5.1817e-77*ii, 1.75435+.526043*ii, 1.72723e-76-9.67251e-76*ii, .5352+2.11917*ii, 2.24277-.313442*ii, 8.98162e-76-3.4545e-77*ii, .247061+2.20112*ii
9.34574e-33+4.372e-32*ii, 7.86631e-33+4.12853e-32*ii, -.060026-.506316*ii, 2.68126e-33-3.37579e-32*ii, 2.89118+.686444*ii, -.383311+1.49914*ii, -1.19344e-32-5.66316e-32*ii, .216789-2.02128*ii
3.23522e-31+3.72532e-32*ii, 4.65025e-34+1.75699e-35*ii, -2.29987+4.90824*ii, -7.2275e-34-8.3104e-33*ii, 4.03632-3.35559*ii, 3.56511-9.02114*ii, -2.1068e-33+1.4385e-34*ii, -1.90881-4.51788*ii
-1.06376e-35-1.83129e-34*ii, 1.66909e-32+1.76723e-32*ii, -.061637-.710929*ii, -6.07287e-32+9.08331e-33*ii, -.375378-1.1522*ii, -1.7308-.25577*ii, -2.70221e-34-1.23893e-34*ii, -.0923929+.0203437*ii
-1.7604e-31-3.03064e-32*ii, -1.67239e-34-6.68183e-35*ii, 3.49471-2.28134*ii, 1.83212e-33+1.72761e-33*ii, -5.59075+5.32663*ii, -10.1989+1.98933*ii, -6.57123e-34+1.15416e-33*ii, 6.74911+3.45834*ii
-5.59099e-62+5.83408e-62*ii, -5.3479e-62+5.3479e-62*ii, .504612+4.43822*ii, 2.62533e-61+2.91704e-62*ii, -1.51331-2.03678*ii, 1.87653+2.41407*ii, 3.03858e-64+2.04155e-63*ii, .560787-.087699*ii
-8.43739e-32+1.01012e-31*ii, -8.43739e-32+1.01012e-31*ii, -.977635-.936661*ii, -1.70818e-32+8.06116e-33*ii, .701135-.171823*ii, -.591903+.033636*ii, 5.54824e-32+8.25472e-32*ii, -.830871+1.08571*ii
2.33363e-61-4.66726e-61*ii, 8.75112e-62-4.66726e-61*ii, -1.86728-.611813*ii, 1.40018e-60, .329936-.928166*ii, -1.80941-.277219*ii, 5.0562e-61+2.33363e-61*ii, -1.65382-.254921*ii
3.2675e-121-8.22926e-121*ii, 3.35826e-121-8.22926e-121*ii, 1.01683-.275777*ii, -4.12219e-122+2.49601e-122*ii, -.264483+2.50538*ii, -.838486-.487544*ii, -2.42037e-121-3.99361e-121*ii, -1.0069-1.35683*ii
-4.67449e-32+3.26031e-32*ii, -4.67449e-32+3.26031e-32*ii, 1.12088+2.47573*ii, 5.52867e-34-1.00878e-33*ii, .453639-2.44636*ii, -.435875-.364234*ii, -1.79459e-34+3.09623e-33*ii, .428134-.833794*ii
4.10537e-48, 4.27642e-49+3.42114e-48*ii, -2.38755-.019669*ii, -3.76325e-48+9.57919e-48*ii, -.689405-1.5521*ii, .927503-2.67036*ii, -1.02634e-47-4.10537e-48*ii, 2.6513+1.23483*ii
-5.86004e-103+3.9067e-103*ii, -5.86004e-103+3.3486e-103*ii, -2.29274+.930999*ii, 2.00916e-102-1.1162e-102*ii, .658726+.843807*ii, .851898-1.16975*ii, -8.02268e-104-2.44168e-104*ii, 1.77653-.968168*ii
-1.28389e-32+4.58812e-32*ii, 1.35862e-33+2.51861e-32*ii, -.478255+.533673*ii, -1.2797e-32-2.99045e-32*ii, .829417+.693437*ii, -.203187+1.16315*ii, -8.16181e-32+2.65114e-32*ii, -1.03571-1.62543*ii
