variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
S*r^2-ap^2*sintheta^2*qc^2
-sintheta^3*dtheta+1.33333
75.89*P-319.1*qc^2*x0^2*w^4
points:
-3.32839+1.51721*ii, -2.74405+.194006*ii, .694751-.159348*ii, .152171+.545784*ii, 2.87118+2.30468*ii, -.120829+.316675*ii, -.466066+.2302*ii, .298163+.142818*ii, 2.11875-1.79238*ii, -.431996-.443402*ii
-.165343-.0007826*ii, -.19795-.0818214*ii, 1.28282-.255251*ii, .37879-.575552*ii, .495386+.331141*ii, -.120908+.677776*ii, -.0256481+.00726099*ii, -.999129+.016632*ii, .585819+.046552*ii, -.232992+.285133*ii
2.41894-.288533*ii, -3.74654+3.95649*ii, .750312+.194857*ii, -.768763+1.72514*ii, 2.07013-1.9765*ii, .513127+2.89118*ii, -1.02852-.362342*ii, .34496-1.02871*ii, -.0214857-.024279*ii, -3.33859+1.82506*ii
4.56166-.789451*ii, 2.69395-2.31145*ii, -.723599+.159531*ii, -.635789-3.29441*ii, -2.60709-1.98601*ii, -.7366+.12798*ii, .456578-.267592*ii, -.47998-.379031*ii, -2.41667+2.52255*ii, -.0257865-.406676*ii
.99305+1.51731*ii, .625542-.18051*ii, -.230601-1.04152*ii, .519776-1.7601*ii, .667959-.871973*ii, -.0678991+.203884*ii, -.00315356+.000350422*ii, .105042+.403204*ii, -.886072-.452081*ii, -.034938-.255064*ii
-3.74532+1.5879*ii, -2.80932+1.56792*ii, .691052-.127492*ii, .601901+1.23132*ii, 3.28113+1.99957*ii, .390317+.375411*ii, -.710579+.443568*ii, .459535-.149166*ii, 2.25961-2.26445*ii, -.500095+.196701*ii
.156439-.585003*ii, -.0491561+.0526655*ii, .198418+1.51818*ii, -.178396-.221556*ii, -.14119+.343603*ii, -.19449+.0960389*ii, -.202151+.41223*ii, -.249258-1.50986*ii, .3385+.71393*ii, -.378589+.360508*ii
-1.2303-.035235*ii, .311138-.0943359*ii, 1.05534-.406753*ii, .764146-.564324*ii, .415041+.822836*ii, .214626+.190211*ii, -.099148+.218227*ii, -.852892+.145574*ii, .953881-.266988*ii, .396708+.348147*ii
2.49644+4.81141*ii, 1.63233+1.8487*ii, -.143534-.679335*ii, 1.86526-2.03792*ii, 2.32951-3.23102*ii, -.486825-.0881518*ii, .385243+.463954*ii, .057757-.670182*ii, -2.90367-1.94794*ii, -.315411-.248054*ii
-2.00462-3.61707*ii, -2.00284-3.43912*ii, .084619+.686745*ii, -2.10391-.339321*ii, -1.44713+3.75555*ii, -.226594+.424487*ii, -.504167-.356081*ii, -.0361273+.353493*ii, 2.87067+2.09681*ii, -.116217-.538335*ii
-.13957-.0514992*ii, .130891+.0566444*ii, 1.43506-.24492*ii, .578067-.58215*ii, .377757+.209876*ii, -.062027+.635683*ii, .01639+.0607708*ii, -1.18578-.041075*ii, .535956+.063907*ii, -.108218+.423482*ii
.0336005-.00241358*ii, -3.2354+.130358*ii, .891367-.126057*ii, -1.01398+.308783*ii, 1.66762+.747645*ii, -.393343+1.67513*ii, -.461456-.432658*ii, -.039737+.100792*ii, 1.10505-.04039*ii, -1.79899-.033821*ii
1.55929-.111997*ii, -2.34623+.973074*ii, -.305068-.956941*ii, -.904375-.211281*ii, 1.05158-.791093*ii, .310916+1.75447*ii, -.723523-.511756*ii, .770297+.411376*ii, -.0452335+.140329*ii, -1.83087+.462168*ii
-3.96657+2.60137*ii, -1.67638+2.52765*ii, .695273-.0831*ii, 1.60253+1.17936*ii, 3.6389+1.35671*ii, .613482-.134429*ii, -.606732+.839609*ii, .362704-.532218*ii, 1.7638-2.98894*ii, .0077833+.471164*ii
.232315+1.79427*ii, -.05267-.320931*ii, -.446557-.936747*ii, .333438-1.53291*ii, 1.15994-.27927*ii, -.129753+.0885196*ii, -.105793+.0368249*ii, .466547+.417384*ii, -.482837-.792782*ii, -.092349-.521885*ii
4.05703+2.55509*ii, 2.35197+.910157*ii, -.021617-.720909*ii, 1.17521-2.50359*ii, .31917-3.5396*ii, -.389362+.373203*ii, .425054+.0922181*ii, -.475794-.441785*ii, -3.08281-.150704*ii, -.376983+.135557*ii
-6.02233-3.77975*ii, -4.31742-1.3148*ii, -.016138+.615329*ii, -1.74786+2.04*ii, .449258+5.69933*ii, .966732+.42744*ii, -1.41577+.053404*ii, .944169+.37134*ii, 5.29166+.372237*ii, -.172635+.279376*ii
-1.04681-1.86422*ii, -.235051-1.12167*ii, .731355-.577189*ii, -.222014-.60458*ii, -.692644+1.49614*ii, .375977+.54819*ii, -.31955-.143748*ii, -.654975+.632196*ii, 1.524+.849678*ii, .22289+.363405*ii
6.01501-4.011*ii, 2.76395-3.91797*ii, -.627316+.06789*ii, -1.96632-3.66523*ii, -5.03239-1.68673*ii, -.654836+.865691*ii, .380124-.875382*ii, -.953424+.147051*ii, -2.0821+4.87218*ii, -.28467-.110316*ii
1.03848+.941074*ii, -1.20902-.215743*ii, -.4084-.9801*ii, -.453193-1.16276*ii, 1.03175-.41972*ii, -.132188+.879496*ii, -.314283-.318034*ii, .598679+.541756*ii, -.345526-.214054*ii, -.940369-.330687*ii
.612102-.138927*ii, .0556118-.261994*ii, 1.83746+.035863*ii, .349408-.716831*ii, .214433-.0125684*ii, -.454781+.885851*ii, .200145-.0657211*ii, -1.58836-.214171*ii, .299576+.461356*ii, -.403008+.302429*ii
.891805+2.96932*ii, -.000720+1.2928*ii, -.251186-.767638*ii, .940325-1.15938*ii, 2.05645-1.4746*ii, -.0765944+.27017*ii, -.099483+.232433*ii, .446532-.157626*ii, -1.19579-1.49557*ii, -.508021-.111105*ii
2.06227+1.91962*ii, 1.6577-.845202*ii, -.043581-.962617*ii, .6793-2.59027*ii, .201639-1.4765*ii, -.520525+.019006*ii, .390409-.0274374*ii, -.367953+.319962*ii, -1.70146-.114023*ii, .182979-.577428*ii
