variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh

component_1:
equations:
Eph1-Eph2+Eel1-Eel2
-f1*h+Eph1
f1*lambda1-c
f2*lambda2-c
-mel*c^2+Eel1
-mel^2*c^4-pel2^2*c^2+Eel2^2
2*p1*p2*cosTh-p1^2-p2^2+pel2^2
.9981*lambda1*mel*c-1.0045*lambda2*mel*c-.9955*h*cosTh+1.0089*h
points:
-.137861+.656251*ii, -.00019462-.0381361*ii, -2.01931+1.87368*ii, -1.64688+.465204*ii, .461742-.200527*ii, .089312+1.20794*ii, 1.08227-.686096*ii, -2.12464+2.91117*ii, .30817+4.55074*ii, .108902+.408613*ii, -.358973-7.42698*ii, 3.35353+2.37255*ii, 5.9753-1.86743*ii, -.283166+.0151353*ii, -1.92277-1.75683*ii
.220793+.0158506*ii, .289578+.230682*ii, .000550705+.00313078*ii, .0319437+.00001695*ii, -.00169141-.00299631*ii, -.0330844+.00011751*ii, -.441276+.206909*ii, .128773+.460394*ii, .360287+.0248059*ii, .410461-.0614241*ii, .181644-.169066*ii, .00349416+.0139288*ii, -.143662-.381496*ii, .0916006-.007056*ii, .375011-.165966*ii
1.20601-.905926*ii, -.896077+1.07683*ii, 1.47246-.476222*ii, 1.70215+3.69032*ii, -1.54961+.656029*ii, -1.77929-3.51051*ii, 1.61072-1.88419*ii, -3.27045+3.54733*ii, .199958+1.07223*ii, 2.42405+.940479*ii, -2.30645-1.58677*ii, .97014+.333871*ii, -.108209-.016114*ii, 3.77544-1.06178*ii, -1.24154-.075044*ii
-1.13319-3.18109*ii, .137281-.451477*ii, 2.21292-2.83618*ii, -.779205+1.93064*ii, 4.40097+.147033*ii, 7.3931-4.61978*ii, -.15743+.244422*ii, .905076+1.26785*ii, -.19099-2.644*ii, -.906606+.252912*ii, -4.13685+5.31544*ii, .571274+.899149*ii, -.132505-.415255*ii, 1.83189+2.5974*ii, -6.69732-1.65539*ii
.184714+.382961*ii, .182177+.341958*ii, 1.01752-.632274*ii, 1.09325-.808739*ii, -3.50491-.625155*ii, -3.58064-.44869*ii, -1.16172+.671573*ii, -1.75871+.337881*ii, -.097286+1.13297*ii, 2.4013-.347559*ii, 2.64826-.275488*ii, -.299739-2.80155*ii, .690755+3.27319*ii, .576656+.855407*ii, 1.15458+.304301*ii
-.276601-.903714*ii, .517658-.301964*ii, .905449-.782921*ii, -.947004+.786469*ii, -.456977+1.12597*ii, 1.39548-.443418*ii, -.850606+3.0088*ii, -.822046-.661182*ii, .271347+1.56177*ii, 1.01747+.469113*ii, 1.08759-1.39251*ii, .511738+1.15855*ii, .124951-1.07653*ii, .142511-1.04926*ii, -.278897-1.1056*ii
-.806576+.009139*ii, -.0155878+.012278*ii, -3.14905-3.71365*ii, -1.13939-2.72966*ii, -.80023-.545503*ii, -2.80989-1.52949*ii, 1.40798+.621373*ii, -6.79145+2.06021*ii, -5.21135+10.6366*ii, .0141323-.319173*ii, 8.36772-9.93261*ii, 3.85155+4.64785*ii, 12.5636+7.40332*ii, -.0084817+.257567*ii, -6.35067-3.1299*ii
-.022382-.76846*ii, .20188-1.03139*ii, -.294636+.188414*ii, 1.61135+.75329*ii, -2.59352-.142046*ii, -4.49951-.706922*ii, -2.75178+1.28985*ii, -.208146+.54614*ii, .147897+1.2882*ii, 3.55493+1.28578*ii, 2.74387+.343777*ii, -.233818-.390221*ii, .257037-.168825*ii, .9085-2.7606*ii, 2.01143+2.20764*ii
-.667531-1.28571*ii, 2.10291+2.10332*ii, -.268494+.238517*ii, -.314002-.404509*ii, .170989+.905394*ii, .216496+1.54842*ii, .071741-.490824*ii, -.91514+.834305*ii, .59059-2.40745*ii, .0438233-.349664*ii, -.0717242+.155939*ii, -.0607225-.240356*ii, -1.76203+3.065*ii, -.47882+.177067*ii, 3.27933-3.04257*ii
.248181-2.24815*ii, .494596-.0584493*ii, .302033-2.91062*ii, .450916-.695526*ii, 3.47226+.702912*ii, 3.32338-1.51219*ii, -.0893785-.404878*ii, .768736+1.51476*ii, 1.85674-.239235*ii, -.697649-.600584*ii, -3.37203+2.47126*ii, 1.29374-.008473*ii, -.105204+.810395*ii, -1.52335+1.41937*ii, -4.36263-.557588*ii
.439169+2.41586*ii, -.151894-.305149*ii, -3.44218-1.88501*ii, 1.30091-1.9264*ii, .506435-1.98788*ii, -4.23666-1.94649*ii, -.046055+.144595*ii, 1.11475-1.76211*ii, -1.72959+1.79005*ii, -.815281+.154049*ii, 5.94979+.568683*ii, -1.00603+1.24194*ii, -.411175+.274232*ii, -.730206-1.90195*ii, 1.02811+4.30525*ii
-.435383-2.04553*ii, .0251013-.0863321*ii, -1.82041-6.03015*ii, 1.1806-4.96746*ii, -.986724-2.74512*ii, -3.98773-3.80781*ii, -5.58777+.457556*ii, .602689+.846128*ii, -1.75609+9.0043*ii, .212674+.16101*ii, 6.13017+.960039*ii, 3.00141-.251106*ii, 8.80776+3.20644*ii, .236757-.505132*ii, -7.82046+5.60683*ii
1.02974-.25003*ii, -.323506-.949722*ii, .228652+.941361*ii, -.114614+1.65075*ii, 1.04123-.774201*ii, 1.38449-1.48359*ii, .293014-.936294*ii, -.458514+.67629*ii, -.318946-1.12927*ii, .531567+1.18594*ii, -1.298+.446436*ii, .000075+.914188*ii, -.532052-.430063*ii, .8439+1.08831*ii, -.86977-.799554*ii
2.58661-3.46724*ii, -.417435+1.19202*ii, 4.25153-1.747*ii, -2.24217-3.14154*ii, -2.12799+.719136*ii, 4.36571+2.11368*ii, -5.98247+4.36597*ii, 1.36379-3.83141*ii, 1.11397+4.02755*ii, -.266224-.0500367*ii, .818661+.436541*ii, .911394+.546287*ii, -.649906-1.50126*ii, -.862105+.793636*ii, -1.05125-.639033*ii
