variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
-.5*m*ve^2+Eki
Ekf
Eki-Ekf+Ugi-Ugf
-1.1*m*ve^2*r+2.2*G*M*m
points:
1.38733e-22-1.20832e-22*ii, 3.16866e-27-9.36948e-27*ii, -.649596+.497003*ii, -.649596+.497003*ii, .206982+.101211*ii, -.38213-.0424769*ii, -1.34382e-21+2.28186e-21*ii, .755552-.10068*ii, 1.10719-1.0705*ii
-2.48921e-60+1.2446e-60*ii, 0, -.747192+.422387*ii, -.747192+.422387*ii, -.807915-1.21759*ii, -.883078+.306398*ii, 7.77877e-61-2.06137e-60*ii, -.99015+.404634*ii, -.661569-.034731*ii
-7.85455e-90-1.17818e-89*ii, 0, .351937-.0519956*ii, .351937-.0519956*ii, 3.76566+.101344*ii, -.211139+.846377*ii, 4.41818e-90-7.85455e-90*ii, -1.18686+.655871*ii, 1.19871-.280747*ii
3.29481e-183+4.70687e-183*ii, 0, .618366-.493843*ii, .618366-.493843*ii, .826734-.310093*ii, -.392649-.722177*ii, -6.58962e-183-7.61479e-183*ii, .905239-1.61929*ii, -.041463+2.14967*ii
-2.06373e-135-4.29944e-136*ii, 0, -.394337-.770668*ii, -.394337-.770668*ii, -2.0989+3.56451*ii, -2.15095-3.40817*ii, -2.57966e-136-4.29944e-136*ii, 1.65552-1.98648*ii, .631863+1.06379*ii
-1.88873e-136*ii, 0, .958887+.503879*ii, .958887+.503879*ii, 3.17462+.938848*ii, -.073458+2.04054*ii, -1.47793e-137-9.33785e-137*ii, -2.5979+.769681*ii, -1.83254+3.22366*ii
-1.22477e-201+1.4289e-201*ii, 0, .080112-1.96398*ii, .080112-1.96398*ii, -1.00373-.196934*ii, .500964-1.68785*ii, 6.12384e-201-2.44954e-201*ii, .44395-.0608047*ii, 1.69659+1.08211*ii
7.48447e-133+7.26434e-133*ii, 0, 2.42428+1.48522*ii, 2.42428+1.48522*ii, -5.39638-6.87237*ii, .363058-.639841*ii, -1.43085e-133-2.20131e-133*ii, 1.98858+2.33199*ii, -1.19831-1.68707*ii
1.94308e-99*ii, 0, -.310923-3.3432*ii, -.310923-3.3432*ii, -.507443+4.84109*ii, 5.28465+.856862*ii, -4.57195e-100-4.8577e-100*ii, 3.76981+3.24254*ii, -.69821+1.63279*ii
-8.97765e-190+2.6933e-189*ii, 0, -.226598-.146032*ii, -.226598-.146032*ii, -.445986-.789793*ii, .847516+.492352*ii, -7.85544e-190+4.48883e-190*ii, -2.68179+1.71737*ii, 2.24828+2.003*ii
-2.33363e-61+2.33363e-61*ii, 0, -.608713-.112189*ii, -.608713-.112189*ii, -.458856+.319603*ii, .697819-.8834*ii, 7.77877e-62-3.40321e-61*ii, -.732587+1.69119*ii, .373106-.949295*ii
0, 0, -3.31374+.098074*ii, -3.31374+.098074*ii, -3.00173+1.86568*ii, 3.60129+8.16944*ii, -7.33185e-150-1.98571e-150*ii, -5.86533+4.59102*ii, -2.83594+.035700*ii
2.46314e-69-8.40367e-69*ii, 0, 1.39948-.754049*ii, 1.39948-.754049*ii, .0233794-.400595*ii, -3.05087-.591852*ii, -1.23157e-69-2.81632e-69*ii, -3.10528-1.14699*ii, -1.492+.19815*ii
1.45106e-136+1.61229e-136*ii, 0, .083896+1.46364*ii, .083896+1.46364*ii, -.211977+.671971*ii, -3.0078+1.36503*ii, -9.13631e-137+6.98659e-137*ii, 1.66618-1.61692*ii, -1.82382+2.754*ii
-8.09641e-79+1.78796e-78*ii, 0, 1.2019+.463988*ii, 1.2019+.463988*ii, .696208+3.7436*ii, 2.90694+1.03251*ii, 8.4338e-81-4.7229e-79*ii, 3.23055+.67165*ii, .320176-.469635*ii
0, 0, 1.27309-.361262*ii, 1.27309-.361262*ii, .74277+.305572*ii, 4.75891+6.2655*ii, -1.88916e-76-1.72723e-77*ii, 1.63988-4.87505*ii, 3.37+2.66735*ii
8.92959e-103+4.46479e-103*ii, 0, .776946+.330551*ii, .776946+.330551*ii, -1.22775+.047522*ii, -1.25747+1.19691*ii, -4.46479e-103+7.08786e-102*ii, -1.14848-.798556*ii, -1.2883+1.97285*ii
-1.44775e-85-4.02153e-86*ii, 0, .691222-.423821*ii, .691222-.423821*ii, 6.4573-.524943*ii, 4.40348-2.33768*ii, -3.21722e-86+6.03229e-87*ii, -3.14119+.879613*ii, .683284-.424923*ii
4.21345e-135+4.2994e-137*ii, 0, -2.35711-1.10668*ii, -2.35711-1.10668*ii, -.802027-2.073*ii, 1.2902-2.28206*ii, 2.14972e-135+1.71978e-135*ii, -2.65986+1.59599*ii, -1.61304-.243622*ii
-1.45222e-121+2.08757e-121*ii, 0, -2.12132+1.19237*ii, -2.12132+1.19237*ii, 9.63256+2.14261*ii, .257977+6.23547*ii, 1.27069e-121-6.50474e-122*ii, -.318643-3.59523*ii, 1.09235+.485032*ii
0, 0, 1.6058+.818899*ii, 1.6058+.818899*ii, -1.65755-1.73683*ii, .302988+2.20638*ii, 1.18182e-124-6.50002e-125*ii, -2.30221-3.07853*ii, .26032-1.81643*ii
5.07588e-116-3.17243e-116*ii, 0, -.462333-2.29122*ii, -.462333-2.29122*ii, .182797+5.14101*ii, 1.38373+4.04994*ii, -6.34485e-116-8.56555e-116*ii, -.57515-.077797*ii, -1.58342+.031348*ii
5.99521e-104-5.31938e-104*ii, 0, 5.59837-.554585*ii, 5.59837-.554585*ii, 2.53703+4.27787*ii, 4.51287-10.6495*ii, 4.68716e-105+1.96207e-105*ii, 4.35516-4.61388*ii, 1.54122+2.06802*ii
-9.7235e-63+1.16682e-61*ii, 0, -2.29682-1.0986*ii, -2.29682-1.0986*ii, .161815-1.12633*ii, .896534+1.32804*ii, -4.66726e-61-2.08082e-60*ii, .887374-1.74454*ii, -2.34488-.300124*ii
-7.66013e-122, 0, 1.33046-1.0894*ii, 1.33046-1.0894*ii, 1.70521-.734553*ii, -.442991-.641655*ii, 1.664e-122-1.21018e-122*ii, -.025771+4.03931*ii, -.378153-1.10105*ii
