variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Eki-.5*m*ve^2
Ekf
2.00002*G*M*m-1.00082*m*ve^2*r
points:
-5.54848e-17+3.01474e-16*ii, 1.45004e-16+4.58678e-17*ii, -2.36086-.862735*ii, -1.27964-.456755*ii, .298352-.254886*ii, -.414882+1.34429*ii, -7.16685e-18+2.26568e-17*ii, -.385406+1.5599*ii, -.549471+.674448*ii
-2.11979e-168*ii, 0, -1.24264+.390202*ii, -.989116-.057248*ii, .349044-1.45521*ii, -.52006-.47432*ii, 5.29947e-169, -.189+2.92934*ii, -1.02366-.760155*ii
0, 0, -.968081+1.46254*ii, -1.9535+1.12992*ii, -2.64589+1.25157*ii, .45608-1.0096*ii, 4.90909e-91+1.84091e-90*ii, .656448+.049269*ii, -.717528+.119435*ii
1.89911e-65+1.13947e-64*ii, 0, .499529-.0129326*ii, .776616-.430277*ii, .934195+.608786*ii, .87279+.285069*ii, 1.51929e-64-6.07716e-64*ii, .0403989+.343807*ii, 1.23219+.846326*ii
8.1491e-89-1.13891e-88*ii, 0, 4.25969+3.13599*ii, -1.516-4.72604*ii, .859126-1.96782*ii, -1.09345+5.91318*ii, 1.404e-88-2.27782e-88*ii, .732429+.31556*ii, .51822+1.40658*ii
-1.67122e-63, 0, .631602-.383029*ii, .312063+.336257*ii, -.554496+.063032*ii, 1.18551+.999754*ii, -3.85563e-63+3.40321e-62*ii, .527589-.1787*ii, -.815477+.478274*ii
0, 0, 2.96173-1.9701*ii, -.659618+.772195*ii, 1.30018+1.6102*ii, -3.66949-.857753*ii, -1.54904e-119-3.09807e-120*ii, 1.73497+1.05343*ii, 1.06307+1.45194*ii
-2.69665e-94-1.79776e-94*ii, 0, .312191-1.18163*ii, -.710367+.434766*ii, -1.13486-.639351*ii, -.320084-1.98406*ii, -8.08994e-94+7.19105e-94*ii, -.435474-.0867928*ii, -.300636+1.31643*ii
-6.45547e-161*ii, 0, 1.80127+5.52956*ii, -4.09862-1.80517*ii, 1.80385+1.81729*ii, .273806+3.29884*ii, 8.89103e-161-6.66828e-161*ii, -1.97758-.683099*ii, -2.11422-2.09867*ii
1.47155e-196-7.49154e-196*ii, 0, 1.57007+2.48011*ii, -.803583+1.11692*ii, 1.90205+.295146*ii, -.579625-.530663*ii, 1.07022e-195+5.88621e-196*ii, -.806958+.402665*ii, -1.0356-.876649*ii
-4.75611e-118, 0, -.525394-.964052*ii, 1.18355+1.46924*ii, .467169+.434577*ii, .332256-3.05948*ii, -3.96553e-118-4.91045e-118*ii, 1.28564-.739468*ii, 2.73028-.313462*ii
2.13916e-61+1.16682e-61*ii, 0, -.236741-2.58601*ii, 3.76012+1.14705*ii, 1.5644-.306858*ii, -.122869-.207938*ii, -4.61864e-62-2.13916e-61*ii, -.283665-1.57409*ii, -.516629-.677098*ii
6.07716e-62-5.83408e-62*ii, 0, -.154805+1.08144*ii, .998905-1.44683*ii, -1.71637+.372517*ii, .100733-.302675*ii, -7.77877e-62+1.36128e-61*ii, -1.09056+1.38207*ii, -1.06858-.613488*ii
-3.83523e-93*ii, 0, .157909-.427381*ii, .190662-.149333*ii, -.925212-.467275*ii, .333321-1.48913*ii, -3.06818e-92-6.4392e-92*ii, .359931+.565439*ii, -1.69919-1.24571*ii
9.68148e-122+3.63055e-121*ii, 0, .553406-.499123*ii, .610561+.978162*ii, .912245+.623336*ii, -3.25253-.020116*ii, -2.90444e-121-6.29296e-121*ii, -.023946-.623884*ii, 2.09724+.390804*ii
-4.38362e-193+6.55499e-192*ii, 0, .620281-1.08954*ii, -.913743+.842554*ii, .679901+1.00176*ii, -1.73644-1.1046*ii, -2.70646e-193-8.76724e-193*ii, -1.47398-3.57733*ii, -.317798-.940581*ii
1.72723e-77+1.72723e-77*ii, 0, .557748+1.00226*ii, -1.08236-.081215*ii, -.014037-.858182*ii, -2.93904-2.3275*ii, 1.18747e-77+2.15904e-78*ii, 2.54833+.511257*ii, -2.73279-.642908*ii
1.00136e-196*ii, 0, 1.63346+.804617*ii, .275143-.317324*ii, .63475-.486192*ii, .258325+.2166*ii, 8.02665e-197-1.33777e-196*ii, 1.11485-1.61207*ii, .144521-.919836*ii
-2.07391e-118, 0, -5.19761-3.40672*ii, -1.04157+.350878*ii, 1.73341-9.70303*ii, 2.01108-.345369*ii, 1.85884e-119+3.48533e-119*ii, -.71633-7.29441*ii, 3.15766+3.58615*ii
1.45887e-189+1.00999e-189*ii, 0, -1.62979+1.3232*ii, .427513+.421412*ii, -.996708+.882818*ii, 1.72614-.524618*ii, 5.38659e-189-1.79553e-189*ii, -.216118+.257148*ii, .338096-.402625*ii
0, 0, -.0617318-.0275039*ii, .913648-1.0117*ii, .743176-.588599*ii, -.201756+.411665*ii, 4.39022e-186+1.83862e-186*ii, -1.02439+.771583*ii, .270478+.311353*ii
0, 0, -.508503-2.06175*ii, -.864909-2.33774*ii, -.048887+.601653*ii, -1.40839-.690899*ii, 5.44583e-122+4.23565e-122*ii, .401827-1.48778*ii, .171566-.238996*ii
8.7203e-106-1.58055e-105*ii, 0, 4.56482-1.12989*ii, 3.3998+1.40842*ii, -2.09419-2.3881*ii, -.165206-2.05496*ii, -2.48049e-106-2.72509e-106*ii, 1.61485-.087645*ii, .362563+3.55424*ii
0, 0, -.762952+2.07393*ii, .888072-.083122*ii, -.834399+.867139*ii, .209597+.945269*ii, 2.37416e-166-1.18708e-166*ii, -.456761-1.69607*ii, 1.57891-.196535*ii
1.93041e-193, 0, -1.62987+.181609*ii, 1.64097+1.6795*ii, .338367-1.81995*ii, -5.91665-.172591*ii, 2.39729e-193+8.90423e-194*ii, 1.54906+.044018*ii, 1.34061-2.32198*ii
2.21028e-188*ii, 0, -2.21182-2.30063*ii, -3.29922-1.97422*ii, -.055445-3.75044*ii, -3.28102-3.96447*ii, 2.60352e-188-4.48883e-189*ii, .323656-7.67863*ii, -2.52955+.567808*ii
